year,quels_DET nombres_NOUN
1986,5.994485352545098e-09
1987,2.4443267410134695e-09
1988,6.596209134457354e-09
1989,2.7440609784434855e-09
1990,5.993515905799995e-09
1991,3.5168792322792797e-09
1992,4.4079553340736766e-09
1993,2.7696036575264316e-09
1994,6.857404755145069e-09
1995,7.049185846152994e-09
1996,6.4057106285986265e-09
1997,3.3564261370244708e-09
1998,3.814503379828693e-09
1999,1.8280804647829996e-09
2000,5.3016377954406835e-09
2001,3.943090742808408e-09
2002,3.0668551032064784e-09
2003,9.167230086148948e-09
2004,7.04766583980998e-09
2005,2.2068373239925165e-08
2006,6.58862386870851e-09
2007,8.388407135573317e-09
2008,7.2376473703172906e-09
2009,6.675469510497578e-09
2010,6.14093115247627e-09
2011,9.94232685069818e-09
2012,6.127654716969744e-09
2013,1.589801268409019e-08
2014,1.0827226060161621e-08
2015,9.974589709749182e-09
2016,8.906762438698479e-09
2017,1.2074934385708502e-08
2018,1.471436017475014e-08
2019,1.5816123966061468e-08
