year,seuls_ADJ nombres_NOUN
1939,1.2235240376412548e-08
1940,2.028626333583361e-08
1941,8.854508237732261e-09
1942,1.517105907566929e-08
1943,1.4516175816936538e-08
1944,6.4263723231761105e-09
1945,1.9606536838523425e-08
1946,6.960552134671616e-09
1947,1.1920871401116528e-08
1948,1.4133454406817236e-08
1949,6.8719057111366055e-09
1950,1.0635361480382244e-09
1951,9.595261474260042e-09
1952,3.4797853487589236e-08
1953,2.0470272588113403e-08
1954,1.8567819282111486e-08
1955,1.783265446420046e-08
1956,1.1337483840634377e-08
1957,8.835037701437898e-10
1958,1.3235589513271862e-08
1959,2.1702094343822864e-08
1960,1.1073333361366622e-08
1961,1.459113452284555e-08
1962,1.3952304200870458e-08
1963,8.405868889838075e-09
1964,1.3384730657151067e-08
1965,4.924839203113152e-09
1966,1.38476865529924e-08
1967,4.930335695263466e-09
1968,7.635406973349745e-09
1969,1.725867981861029e-08
1970,8.277704743875347e-09
1971,6.679916619845017e-09
1972,6.156176013405457e-09
1973,3.3079223804577396e-09
1974,9.00091468025721e-09
1975,6.282628195464213e-09
1976,8.570290255249802e-09
1977,3.526069214387917e-09
1978,1.0693064211864112e-08
1979,1.0533551808578068e-08
1980,6.822181042309694e-09
1981,1.8976649140967083e-09
1982,1.1794254461960918e-08
1983,6.315316269933646e-09
1984,2.3196033982486597e-09
1985,1.0828004270990732e-08
1986,5.994485352545098e-09
1987,5.49973533381376e-09
1988,1.1993107618124554e-09
1989,5.488121956886971e-09
1990,6.538381391862913e-09
1991,6.4476117778156095e-09
1992,6.060938417817852e-09
1993,7.754890063438324e-09
1994,1.160483886764041e-08
1995,7.591431483433553e-09
1996,1.1743802375008272e-08
1997,5.753873377756236e-09
1998,6.675381136744818e-09
1999,7.312321859131998e-09
2000,5.3016377954406835e-09
2001,6.571817756650944e-09
2002,8.762443215459825e-09
2003,7.500461585152607e-09
2004,7.488145215006625e-09
2005,8.557123898356167e-09
2006,3.706100981659688e-09
2007,7.190063211481856e-09
2008,7.663391698997657e-09
2009,4.76819250749827e-09
2010,2.8342759250676863e-09
2011,3.059177577924288e-09
2012,4.425528388196653e-09
2013,3.904775169871755e-09
2014,6.496335469563519e-09
2015,4.211493376260478e-09
2016,6.006886099640951e-09
2017,5.7859059765519305e-09
2018,4.130346731301415e-09
2019,4.846876677788714e-09
