year,premiers_ADJ nombres_NOUN
1983,5.5574780333245144e-08
1984,5.161117400120929e-08
1985,6.015557829641693e-08
1986,6.593933932208529e-08
1987,7.088547704370285e-08
1988,6.356346915481481e-08
1989,5.4332410570623324e-08
1990,4.5223803368799054e-08
1991,4.1616402768340777e-08
1992,5.67524232053529e-08
1993,5.483815357365529e-08
1994,5.485923537662529e-08
1995,3.5788175978268555e-08
1996,4.964425670550554e-08
1997,6.76080134098811e-08
1998,4.291316457738503e-08
1999,4.798711117359744e-08
2000,6.361965176893136e-08
2001,5.1698300751468196e-08
2002,7.053766637454828e-08
2003,5.8336919295243206e-08
2004,6.695282905866407e-08
2005,1.0313586784604922e-07
2006,6.794518014885398e-08
2007,5.1129337208521974e-08
2008,4.12971665753048e-08
2009,6.818515174700224e-08
2010,5.337886221923327e-08
2011,6.691951170978427e-08
2012,5.1063789641148105e-08
2013,8.172136034545474e-08
2014,4.612398285530617e-08
2015,6.49456595169795e-08
2016,6.545434416693752e-08
2017,8.100268189537019e-08
2018,4.827342792168565e-08
2019,4.9744262042850096e-08
