year,pourras_VERB être_VERB
1985,3.0077789148208467e-09
1986,3.5966913891627428e-09
1987,8.555143260480236e-09
1988,8.395175221664886e-09
1989,1.0976243913773942e-08
1990,4.90378582185258e-09
1991,8.20605094986604e-09
1992,6.060938417817852e-09
1993,9.970573700002205e-09
1994,1.5824779264761446e-09
1995,9.21816667442954e-09
1996,4.270473752399084e-09
1997,8.630809844589749e-09
1998,1.144351013948608e-08
1999,1.3253583119876566e-08
2000,4.859834756842929e-09
2001,8.324302136486494e-09
2002,8.762443215459825e-09
2003,8.750538071922165e-09
2004,1.2773894830786503e-08
2005,5.404499514582994e-09
2006,9.471146533712727e-09
2007,1.3181781888249589e-08
2008,1.4901038625225738e-08
2009,1.192048149079028e-08
2010,2.645324137517946e-08
2011,2.4091024286576612e-08
2012,2.3148919225945974e-08
2013,2.8170163091090217e-08
2014,2.3819897165822113e-08
2015,3.657349267882637e-08
2016,4.101253381350034e-08
2017,3.1696703928218994e-08
2018,3.639868140226099e-08
2019,3.826481531632453e-08
