year,voudrez_VERB être_VERB
1874,1.0754296120296658e-08
1875,1.94531928343622e-08
1876,1.934724735974669e-08
1877,1.1132669008873108e-08
1878,1.5701630218245555e-08
1879,6.109325489944695e-09
1880,8.343199908722454e-09
1881,6.2752567586699115e-09
1882,4.6587693702804245e-09
1883,1.2006744043446815e-08
1884,9.902545450302114e-09
1885,1.353583467533781e-08
1886,2.5813855497602844e-09
1887,3.9173548849191775e-09
1888,1.9021844099853524e-09
1889,3.759081934617825e-09
1890,3.2771931834929546e-09
1891,1.9122659011827636e-09
1892,1.0656471260972467e-08
1893,1.3548516086814288e-08
1894,8.822155450616265e-09
1895,7.824199066419624e-09
1896,6.486732040400511e-09
1897,5.2440420894583895e-09
1898,1.1882545614128048e-08
1899,9.39688327150634e-09
1900,7.786579381274805e-09
1901,1.676621685930968e-08
1902,3.928227076954727e-09
1903,2.376096830403185e-08
1904,8.599400302955473e-09
1905,7.741138396966107e-09
1906,1.0288369267641428e-08
1907,4.6285588695127444e-09
1908,1.3751889405000384e-08
1909,1.265226234892225e-08
1910,5.878565634276356e-09
1911,1.0640748726586935e-08
1912,5.730363294986773e-09
1913,1.0075680734189518e-08
1914,1.0045115850232378e-08
1915,1.0602685840410686e-08
1916,2.197492410260793e-09
1917,4.386569774084137e-09
1918,1.033773866510046e-08
1919,5.524709134618888e-09
1920,1.741613253614105e-08
1921,3.7863738810983705e-09
1922,7.377935595798135e-09
1923,5.307974060286824e-09
1924,3.867487219366694e-09
1925,1.3197813508725176e-08
1926,8.916910765321973e-09
1927,1.0034302277972529e-08
1928,9.14083297942625e-09
1929,6.684243825105796e-09
1930,2.100720708497761e-09
1931,4.5621426636444085e-09
1932,7.6716757391182e-09
1933,9.176529758292418e-09
1934,4.7926320689839486e-09
1935,0.0
1936,6.0623572828433225e-09
1937,5.0364472592434595e-09
1938,2.5930428915188486e-09
1939,0.0
1940,0.0
1941,1.4757512545315876e-08
1942,9.102635090130207e-09
1943,2.9032352077962287e-09
1944,2.8918675454292497e-08
1945,2.178504043826024e-09
1946,4.1763312808029696e-09
1947,9.536696765621855e-09
1948,6.523132700664291e-09
1949,1.3743811422273211e-08
1950,1.2762433776458693e-08
1951,3.1984206394497505e-09
1952,4.2179215675730575e-09
1953,3.232148326759443e-09
1954,4.886268278880834e-09
1955,3.754243138587299e-09
1956,4.360570571293465e-09
1957,1.7670075402875796e-09
1958,4.1361216673863055e-09
1959,1.007597205671118e-08
1960,5.536666680683311e-09
1961,6.25334317660986e-09
1962,3.170978146727066e-09
1963,7.759263453976928e-09
1964,6.083968329129164e-10
1965,7.1136563306595235e-09
1966,5.539074976468328e-09
1967,4.437302081328198e-09
1968,7.186265360559219e-09
1969,4.541757636644661e-09
1970,6.438214850135182e-09
1971,8.221435976452085e-09
1972,0.0
1973,2.7566018356850464e-09
1974,3.3753431161187564e-09
1975,5.711480177694739e-09
1976,3.9994687561772935e-09
1977,2.938390863960194e-09
1978,2.3762365408686037e-09
1979,3.5111840102075575e-09
1980,1.7055452605774235e-09
1981,3.795329828193417e-09
1982,0.0
1983,2.5261264191556165e-09
1984,5.219107812592938e-09
1985,1.2031116103372597e-09
1986,1.1988970927134801e-09
1987,6.721898593298192e-09
1988,2.99827696004229e-09
1989,4.390497743145261e-09
1990,2.724325431913144e-09
1991,2.344586080837985e-09
1992,3.30596661157756e-09
1993,4.985286850001103e-09
1994,2.637463358823311e-09
1995,3.253470381991974e-09
1996,5.871901187504136e-09
1997,3.835915585170824e-09
1998,1.9072516899143466e-09
1999,9.140402323914998e-10
2000,1.7672125984802278e-09
2001,1.7524847129024579e-09
2002,3.504977197366088e-09
2003,3.7502307925763034e-09
2004,1.3214374039449694e-09
2005,4.053374524914943e-09
2006,2.8825228870488218e-09
2007,4.393927444112933e-09
2008,2.1287198670449925e-09
2009,3.814554005998616e-09
2010,3.7790344187271785e-09
2011,4.206369030868018e-09
2012,5.1063788752969685e-09
2013,6.693900100884775e-09
2014,7.145969149746634e-09
2015,1.2856137487915476e-08
2016,9.528164035543796e-09
2017,6.037467414898856e-09
2018,1.290733386838383e-08
2019,9.94885240857002e-09
