year,voudriez_VERB être_VERB
1911,9.576673676292558e-09
1912,1.82329742415277e-08
1913,1.3257474229533273e-08
1914,9.37544086809794e-09
1915,1.1780762143587253e-08
1916,2.5271162940043723e-08
1917,1.2063066989753679e-08
1918,1.6080926812378493e-08
1919,1.4732557396257562e-08
1920,1.514446346106979e-08
1921,2.2718241510233383e-08
1922,1.0329110011753073e-08
1923,1.6985516992917837e-08
1924,1.675911143195208e-08
1925,1.0998178368026856e-08
1926,1.3375366592072169e-08
1927,1.0034302277972529e-08
1928,1.4853853258500749e-08
1929,1.7824650200282122e-08
1930,4.201441416995522e-09
1931,6.843213995466613e-09
1932,2.301502632917618e-08
1933,5.735331320977366e-09
1934,7.188948103475923e-09
1935,1.555876849579363e-08
1936,1.8187071404440758e-08
1937,5.0364472592434595e-09
1938,1.6854778905894818e-08
1939,1.8352860564618823e-08
1940,5.0715658339584024e-09
1941,8.854508237732261e-09
1942,3.034211770724937e-09
1943,8.709705845433291e-09
1944,1.927911696952833e-08
1945,8.714016175304096e-09
1946,1.1136883415474585e-08
1947,2.9802176726434482e-08
1948,3.4790041070209554e-08
1949,1.47255123650325e-08
1950,2.5524867552917385e-08
1951,1.1727541604500402e-08
1952,5.272402070488624e-09
1953,2.0470272588113403e-08
1954,1.2704297169818801e-08
1955,5.631364707880948e-09
1956,1.657016923672927e-08
1957,1.5903067307476704e-08
1958,1.2408365002158916e-08
1959,9.300897829689347e-09
1960,1.2457499920515147e-08
1961,1.389631876236308e-08
1962,8.8787386332001e-09
1963,1.0345685197421517e-08
1964,1.764350798794112e-08
1965,8.20806533852192e-09
1966,1.0524241922382771e-08
1967,1.4791006641701188e-08
1968,1.8863946849023705e-08
1969,1.3171097990039016e-08
1970,1.241655755990223e-08
1971,1.849823050292798e-08
1972,8.721249500354133e-09
1973,1.4334330167287135e-08
1974,1.012602890426706e-08
1975,1.028066431985053e-08
1976,1.085570122683066e-08
1977,1.057820764316375e-08
1978,7.72276909088987e-09
1979,9.948355028654987e-09
1980,1.2507331170752423e-08
1981,1.3283654176632353e-08
1982,1.5518756057986138e-08
1983,9.47297440490047e-09
1984,4.059305780401701e-09
1985,7.820225356169885e-09
1986,1.019062523255343e-08
1987,9.777306964053878e-09
1988,1.0194141530917022e-08
1989,1.0976243913773942e-08
1990,1.4166492867673242e-08
1991,2.05151273746651e-08
1992,1.2672871640972971e-08
1993,1.772546376344053e-08
1994,1.8989736005892155e-08
1995,7.591431483433553e-09
1996,8.540947504798169e-09
1997,9.110299181713799e-09
1998,1.1920323395031573e-08
1999,5.0272213059088244e-09
2000,9.277866475088103e-09
2001,1.2267393323384113e-08
2002,9.63868718173444e-09
2003,1.4167538253673229e-08
2004,1.3654853248112886e-08
2005,1.216012357474483e-08
2006,1.317724773741702e-08
2007,1.3980677948666198e-08
2008,1.1920831433087642e-08
2009,1.7642312499788204e-08
2010,2.5508482437430757e-08
2011,2.562061141020422e-08
2012,2.8936147700164838e-08
2013,3.458514896692577e-08
2014,3.789529046116513e-08
2015,4.7213056575401424e-08
2016,3.956259320148092e-08
2017,3.2954506679061524e-08
2018,3.872199982879465e-08
2019,3.826481531632453e-08
