year,deux_DET aînés_NOUN
1937,8.813782592653752e-09
1938,7.779128452511941e-09
1939,1.070583532936098e-08
1940,7.607348750937604e-09
1941,8.854508237732261e-09
1942,2.1239483061208375e-08
1943,5.806470415592457e-09
1944,9.639558484764166e-09
1945,6.535512131478072e-09
1946,6.960552134671616e-09
1947,5.960435478513659e-09
1948,1.0871887834440486e-08
1949,9.817008539414473e-09
1950,8.508289184305795e-09
1951,6.396841278899501e-09
1952,2.1089607837865287e-09
1953,1.4005975934594517e-08
1954,0.0
1955,1.595553378308523e-08
1956,1.3953826982771034e-08
1957,1.1485549400447326e-08
1958,7.445019267748876e-09
1959,1.007597205671118e-08
1960,4.8445834566201995e-09
1961,1.459113407875634e-08
1962,1.1415521694591035e-08
1963,1.1638895847099207e-08
1964,6.083968384640315e-09
1965,1.2038495533772675e-08
1966,1.2739871713129958e-08
1967,7.888536934785861e-09
1968,1.2126823101255013e-08
1969,8.175164073476182e-09
1970,1.3796174869185052e-08
1971,1.2332153742633523e-08
1972,1.2312352026810913e-08
1973,1.1026407342740185e-08
1974,1.5189044022534404e-08
1975,1.1994108817248161e-08
1976,7.427584713948221e-09
1977,8.815172591880582e-09
1978,2.1980187447923072e-08
1979,3.5111840102075575e-09
1980,9.66475616204221e-09
1981,1.075343419865149e-08
1982,1.2415004135846175e-08
1983,7.578379146444547e-09
1984,1.1598017324310206e-08
1985,9.624893104742682e-09
1986,1.1988970705090196e-08
1987,1.0999470501094066e-08
1988,8.99483088012687e-09
1989,1.3720305780395847e-08
1990,1.2531897297662908e-08
1991,1.0550637086215175e-08
1992,1.652983222522053e-08
1993,1.4955859939380645e-08
1994,1.002236071911966e-08
1995,8.133675954979935e-09
1996,1.814951344769611e-08
1997,1.6302641014931396e-08
1998,1.7165265431273724e-08
1999,1.5081663917726473e-08
2000,1.899753598877396e-08
2001,7.886181124794334e-09
2002,1.4458030939135114e-08
2003,1.0833999308790254e-08
2004,1.4535811332372361e-08
2005,2.0717247806167904e-08
2006,1.5236193084966487e-08
2007,2.2768532392802854e-08
2008,2.6821870280357984e-08
2009,3.7191902002575716e-08
2010,1.747803501928047e-08
2011,2.3326228837383667e-08
2012,2.28084932052397e-08
2013,1.4782363111365271e-08
2014,1.970555080221814e-08
2015,1.9062547651493844e-08
2016,2.0713400911143154e-08
2017,1.8615523927900668e-08
2018,1.884470707258501e-08
2019,1.6836519844964926e-08
