year,voulions_VERB être_VERB
2002,4.819343502049378e-08
2003,4.2502612984662846e-08
2004,4.2726476578991424e-08
2005,4.053374524914943e-08
2006,4.8591100920702957e-08
2007,4.6335962622379157e-08
2008,4.470311765203405e-08
2009,3.766871969901331e-08
2010,5.763027388638875e-08
2011,4.474047088365296e-08
2012,5.685102166808065e-08
2013,6.331313784357917e-08
2014,6.929424500867754e-08
2015,5.896090726764669e-08
2016,5.779038758646493e-08
2017,6.515433170761753e-08
2018,8.776986959446731e-08
2019,7.448884531413569e-08
