year,aux_ADP airs_NOUN
1908,1.502885083048966e-07
1909,1.4907666123775698e-07
1910,1.1436482716398189e-07
1911,1.500345536697978e-07
1912,1.2346328115420135e-07
1913,1.6386237833287964e-07
1914,1.325955188424821e-07
1915,5.890380805340101e-08
1916,1.0108465020586266e-07
1917,1.5681987053373092e-07
1918,1.1486376561009592e-07
1919,1.1049418369157848e-07
1920,1.0979736009275598e-07
1921,1.4009583387819546e-07
1922,1.7190590284599239e-07
1923,1.910870719434854e-07
1924,1.4825367922188804e-07
1925,2.0236647046978362e-07
1926,1.0700293096022051e-07
1927,1.4939961312521177e-07
1928,1.5996458113676226e-07
1929,1.1697426360868235e-07
1930,1.6385622059189586e-07
1931,1.4370748857572835e-07
1932,9.534796863164274e-08
1933,8.144170404733586e-08
1934,1.3778817731235904e-07
1935,9.095895769917206e-08
1936,1.6125869706229423e-07
1937,1.170974018860349e-07
1938,1.1150084711086805e-07
1939,9.635251796424882e-08
1940,1.0143131645712344e-07
1941,1.9184767552360427e-07
1942,1.5474480608013153e-07
1943,8.419382258040287e-08
1944,1.2210107591670294e-07
1945,1.219962295628818e-07
1946,1.1972149405181653e-07
1947,1.0728783705893363e-07
1948,1.06544502331829e-07
1949,1.0995049448681016e-07
1950,1.2230665924484185e-07
1951,1.3113524643948438e-07
1952,8.96308345321728e-08
1953,1.0342874157132087e-07
1954,1.2508846047865063e-07
1955,1.2764426982059263e-07
1956,1.552363162460324e-07
1957,9.718541371661615e-08
1958,8.603133344609049e-08
1959,8.525822625671253e-08
1960,1.0727291965828556e-07
1961,1.0908610048598888e-07
1962,1.1098423446931349e-07
1963,1.1832877122586183e-07
1964,8.517555871723204e-08
1965,1.1491290985432556e-07
1966,1.2739872157219168e-07
1967,1.1980715464154912e-07
1968,1.6797895230347137e-07
1969,8.720174657361746e-08
1970,1.0439106001847165e-07
1971,1.346260187773396e-07
1972,1.3697492673436784e-07
1973,9.31731425346527e-08
1974,6.075617275946854e-08
1975,8.224531455880424e-08
1976,9.998671690603089e-08
1977,9.344082807505316e-08
1978,9.504946363314559e-08
1979,9.772795150908564e-08
1980,9.835310998962399e-08
1981,9.867857464485041e-08
1982,9.497478570263951e-08
1983,7.767838539063376e-08
1984,1.3627670258919977e-07
1985,9.083492735761922e-08
1986,1.1689246526280783e-07
1987,1.1549443801328607e-07
1988,8.215278701761974e-08
1989,1.1909225272610513e-07
1990,1.0951788154134334e-07
1991,1.2250461961516024e-07
1992,1.1405584365853372e-07
1993,1.3903410955862228e-07
1994,1.0497104285800418e-07
1995,1.3664575782001975e-07
1996,1.1797184074069378e-07
1997,1.2179031649850458e-07
1998,1.2397135984443253e-07
1999,1.2385245440338366e-07
2000,1.3784258490190382e-07
2001,1.2355017253717904e-07
2002,1.58162092089853e-07
2003,1.7001045560238737e-07
2004,1.5064385938678981e-07
2005,1.5582973145189527e-07
2006,1.7583389411157668e-07
2007,1.9652838578743115e-07
2008,2.494859703272567e-07
2009,2.3364142820447853e-07
2010,2.5225053845723266e-07
2011,3.6518933521634267e-07
2012,3.5744652374103403e-07
2013,3.2521199094803777e-07
2014,3.5123521820168424e-07
2015,3.5598200205655406e-07
2016,3.657986657190637e-07
2017,3.569652507473542e-07
2018,4.2852346959776355e-07
2019,5.130036373479641e-07
