year,vingt - trois voix
1893,9.510118914590748e-09
1894,2.3659952219645675e-08
1895,1.99258720634532e-09
1896,1.561044982167914e-08
1897,5.797657465222983e-09
1898,6.24259266501781e-09
1899,1.0980738096577625e-08
1900,8.030406561942982e-09
1901,8.634284398567615e-09
1902,9.19215903394388e-09
1903,6.557091314363106e-09
1904,1.7805680263549561e-09
1905,6.83747547469693e-09
1906,7.945920366125847e-09
1907,1.7051069445273015e-09
1908,4.882378057402548e-09
1909,5.4594586629264086e-09
1910,4.718686774651815e-09
1911,8.220534253311484e-09
1912,3.4486329347771516e-09
1913,8.776650517461348e-09
1914,3.693296779516686e-09
1915,5.195238905741917e-09
1916,9.674688605798565e-09
1917,1.206102329120995e-09
1918,6.318848333464189e-09
1919,9.121452038129974e-09
1920,1.1680727496354848e-08
1921,1.6713919137600897e-09
1922,8.143886676137413e-10
1923,5.865707475294357e-09
1924,5.699622551702532e-09
1925,9.748148954713542e-09
1926,1.2345703348515258e-09
1927,6.171339883564997e-09
1928,3.795495473468691e-09
1929,1.6045415662802043e-08
1930,2.325158732219279e-09
1931,6.3142731043797085e-09
1932,7.277292102259025e-09
1933,1.3956775291035228e-08
1934,2.6548352849431467e-08
1935,2.6527477992033255e-09
1936,1.3422293498877025e-08
1937,8.368554738069633e-09
1938,1.4344111454178687e-09
1939,0.0
1940,2.8146149855245994e-09
1941,6.561927001769163e-09
1942,6.728790857835065e-09
1943,0.0
1944,7.098901022573045e-09
1945,7.208885932641351e-09
1946,3.8493396914418554e-08
1947,7.900696985529976e-09
1948,8.422445851863358e-09
1949,1.081607470254653e-09
1950,4.70510563843618e-09
1951,3.5397178521634487e-09
1952,3.5040845780542895e-09
1953,1.1908261043913626e-09
1954,6.484033754361462e-09
1955,4.1551304619247276e-09
1956,1.2540958493900689e-08
1957,1.9557553354587753e-09
1958,1.829783657925077e-09
1959,4.2872076999600495e-09
1960,4.592019209326281e-09
1961,3.834064621344169e-09
1962,4.1965546593303316e-09
1963,7.132183177382956e-10
1964,0.0
1965,2.413545363566527e-09
1966,3.0552873564460015e-09
1967,8.147829966276277e-09
1968,5.435027539135717e-09
1969,1.4478947818474808e-08
1970,5.563665417263053e-09
1971,5.09969916295816e-09
1972,5.653004286898522e-09
1973,5.4839532914741085e-09
1974,3.7315741607812924e-09
1975,1.010490713326817e-08
1976,6.311368094813474e-10
1977,1.2989321840350954e-09
1978,2.617387862002829e-09
1979,7.729734186057158e-09
1980,3.130833592379645e-09
1981,6.2665432842834434e-09
1982,6.136843033743844e-09
1983,2.082579442230781e-09
1984,1.2736263155233019e-09
1985,2.6433655264668232e-09
1986,3.950126448160063e-09
1987,4.699575839595127e-09
1988,3.2929068360942892e-09
1989,7.233367849135419e-09
1990,3.581997365387224e-09
1991,3.2149625184274555e-09
1992,4.2245250631012254e-09
1993,7.885892827630414e-09
1994,9.814729473589523e-09
1995,4.743086479130909e-09
1996,2.508418717184213e-08
1997,3.2975712827010284e-08
1998,2.7573568317507124e-08
1999,8.474742685393721e-09
2000,7.226029108409193e-09
2001,1.289915996238733e-08
2002,1.3842703872057882e-08
2003,3.176552576533709e-09
2004,3.3576574853810826e-09
2005,3.923948277417821e-09
2006,7.179869587758958e-09
2007,3.926721697800062e-09
2008,5.578605577483131e-09
2009,1.043139352674416e-08
2010,4.659176600085857e-09
2011,4.196426317548685e-09
2012,5.624347654276107e-09
2013,3.6962333194168195e-09
2014,7.185465555892279e-09
2015,5.147974879715633e-09
2016,3.2094831237117205e-09
2017,3.3468237070621853e-09
2018,4.010991538905273e-09
2019,3.3990015246843086e-09
