year,leurs_DET airs_NOUN
1939,6.117620365841958e-08
1940,6.085878911932241e-08
1941,1.6233264865661567e-07
1942,7.58552971547033e-08
1943,9.580676185727555e-08
1944,1.0603514510876266e-07
1945,9.149717072887142e-08
1946,9.744773166175946e-08
1947,7.390940259810463e-08
1948,7.610321417494958e-08
1949,5.006674186347482e-08
1950,6.70027759941405e-08
1951,8.742349344448286e-08
1952,5.588746121443222e-08
1953,4.201792791480585e-08
1954,4.788542540268281e-08
1955,7.414630021074231e-08
1956,4.534993758298356e-08
1957,6.714628852932947e-08
1958,6.038737820901474e-08
1959,9.998464456373313e-08
1960,8.304999910002664e-08
1961,7.087122311233429e-08
1962,6.468795565872654e-08
1963,6.595373935880389e-08
1964,8.517555327713922e-08
1965,6.730613089089843e-08
1966,9.637989828448212e-08
1967,8.677390361810922e-08
1968,1.0420084683993025e-07
1969,6.358461177025099e-08
1970,8.921526339911168e-08
1971,9.40326732035146e-08
1972,8.259536166121961e-08
1973,6.615844849733321e-08
1974,5.5130603415776136e-08
1975,6.682431896720686e-08
1976,4.97076848571254e-08
1977,4.583889934295371e-08
1978,6.178215161689593e-08
1979,6.96384847564957e-08
1980,5.742002096020826e-08
1981,6.768338045581856e-08
1982,5.959202153960064e-08
1983,7.830991677337806e-08
1984,7.19077029032178e-08
1985,6.015558084992989e-08
1986,6.234264771087794e-08
1987,4.277571941102565e-08
1988,5.336932984434384e-08
1989,7.134558510646372e-08
1990,7.192219286800139e-08
1991,6.271768021592905e-08
1992,6.942529445774781e-08
1993,5.705383482323967e-08
1994,6.435410382366058e-08
1995,6.235818617028599e-08
1996,7.313186389801274e-08
1997,6.13746503619339e-08
1998,5.1018981039874234e-08
1999,6.763897908435013e-08
2000,7.554833558742757e-08
2001,7.97380550476845e-08
2002,5.8270244962521645e-08
2003,7.167107307637366e-08
2004,6.386947482006633e-08
2005,8.737274237446968e-08
2006,1.037708292628281e-07
2007,6.950394615401478e-08
2008,8.174284071849058e-08
2009,7.390698275600016e-08
2010,8.644541260593996e-08
2011,8.871615253536191e-08
2012,1.1472331484796428e-07
2013,1.2160585427523074e-07
2014,1.3663958675635968e-07
2015,1.3365950124466508e-07
2016,1.2863022025300097e-07
2017,1.0716504039720576e-07
2018,1.20038200268624e-07
2019,1.2168211460661382e-07
