year,vingt - deux villes
1952,5.840141259483289e-09
1953,7.144956626348176e-09
1954,2.1613446588020224e-09
1955,5.1939128553613045e-09
1956,1.929378212750521e-09
1957,4.889388449669241e-09
1958,1.829783657925077e-09
1959,2.5723245755671087e-09
1960,1.0714711784487463e-08
1961,3.0672516193597232e-09
1962,4.1965546593303316e-09
1963,1.2124711012972966e-08
1964,4.02678779209964e-09
1965,1.8101590226748954e-09
1966,3.0552873564460015e-09
1967,2.715943248077224e-09
1968,2.4704671641728737e-09
1969,4.992740443299226e-09
1970,1.2138906213543521e-08
1971,7.932865309090431e-09
1972,7.914206179293615e-09
1973,3.655968860982739e-09
1974,6.841219146735966e-09
1975,6.315566958292607e-09
1976,6.942504793272519e-09
1977,1.1690389989382766e-08
1978,2.617387862002829e-09
1979,8.373878479517316e-09
1980,3.130833592379645e-09
1981,2.7851303485704193e-09
1982,3.4093572409688022e-09
1983,6.941931474102603e-09
1984,4.4576918822869516e-09
1985,7.93009657940047e-09
1986,3.950126448160063e-09
1987,4.699575839595127e-09
1988,1.1195883331538425e-08
1989,1.0850052134525612e-08
1990,1.1342991212970333e-08
1991,7.715909688954525e-09
1992,7.242043076338689e-09
1993,1.6378393530303015e-08
1994,1.0392065874498257e-08
1995,5.928857904624607e-09
1996,6.416885245386084e-09
1997,5.234240152418579e-09
1998,6.243071837275238e-09
1999,6.9791997736601274e-09
2000,7.226029108409193e-09
2001,7.166200077790563e-09
2002,5.250680779056438e-09
2003,3.176552576533709e-09
2004,5.276318937319502e-09
2005,5.885922416126732e-09
2006,8.077353008673072e-09
2007,3.0541169593334416e-09
2008,7.438140769977508e-09
2009,4.172557410697664e-09
2010,7.247607847205018e-09
2011,4.196426428570987e-09
2012,4.87443463370596e-09
2013,3.3882138761320846e-09
2014,5.269341407654338e-09
2015,4.412549770016483e-09
2016,5.272722480853531e-09
2017,2.3706669072254272e-08
2018,3.7244918260626036e-09
2019,3.6822516424894758e-09
