year,vingt - six ans
1872,1.3167520531709442e-06
1873,1.3645683196727987e-06
1874,1.4277147304397886e-06
1875,1.320263816495526e-06
1876,1.4012153464193489e-06
1877,1.2042573658277433e-06
1878,1.2675519442950645e-06
1879,1.3024385765447732e-06
1880,1.4035028037540087e-06
1881,1.5215097839416103e-06
1882,1.4757853357139084e-06
1883,1.2114933376494719e-06
1884,1.3829474951876364e-06
1885,1.156219235021183e-06
1886,1.216060139697106e-06
1887,1.2114813117136691e-06
1888,1.3432894760967429e-06
1889,1.537687413843969e-06
1890,1.3843486286191364e-06
1891,1.371710785846858e-06
1892,1.3149575188720064e-06
1893,1.3049241509577314e-06
1894,1.4028959895995285e-06
1895,1.451931904483672e-06
1896,1.3639630740414077e-06
1897,1.3862843104561762e-06
1898,1.3215568159807844e-06
1899,1.254244351045486e-06
1900,1.2992050386628762e-06
1901,1.1366418526392863e-06
1902,1.0084339372440354e-06
1903,1.140337773541944e-06
1904,1.078430738488123e-06
1905,1.215361255191283e-06
1906,1.1725907604898111e-06
1907,1.1736819445218316e-06
1908,1.3431964500654203e-06
1909,1.3594052390430988e-06
1910,1.5194171751886643e-06
1911,1.3293778859946315e-06
1912,1.2041476757929104e-06
1913,1.3200081951936227e-06
1914,1.3606105540020508e-06
1915,1.1247692510707452e-06
1916,1.0013302897959875e-06
1917,9.817673394252324e-07
1918,1.0615664622903864e-06
1919,1.1168710223330436e-06
1920,1.0153888716502024e-06
1921,1.1022829973228454e-06
1922,9.788951906841703e-07
1923,1.0147674096572246e-06
1924,1.0002837669276232e-06
1925,8.992667464013948e-07
1926,9.864217069832648e-07
1927,1.1787259133200223e-06
1928,1.0045411205084065e-06
1929,1.047888979144318e-06
1930,1.0149317368757238e-06
1931,8.34746874289749e-07
1932,8.805523599164644e-07
1933,8.729328300205452e-07
1934,1.0194567217070016e-06
1935,8.767331287629077e-07
1936,8.536578643969506e-07
1937,8.201183376854715e-07
1938,8.018358563788297e-07
1939,6.997118422447102e-07
1940,8.725306726020676e-07
1941,9.547604031823198e-07
1942,9.285731401575958e-07
1943,8.15688649069557e-07
1944,7.879779957420396e-07
1945,9.75602569397438e-07
1946,8.391560601950232e-07
1947,9.954877553397523e-07
1948,9.21656230445933e-07
1949,8.56633118218042e-07
1950,9.786619621365844e-07
1951,8.872892962585865e-07
1952,8.047714317171994e-07
1953,8.490590150955768e-07
1954,9.164101371084143e-07
1955,8.829652102804175e-07
1956,8.894433403128232e-07
1957,9.006253147703092e-07
1958,7.996154725020688e-07
1959,7.811292590531593e-07
1960,8.265634967585811e-07
1961,8.342924147086705e-07
1962,8.896696090943124e-07
1963,9.150590827289307e-07
1964,7.778412136616453e-07
1965,8.073309505363113e-07
1966,9.025319140931742e-07
1967,9.098410078678398e-07
1968,9.130846621019373e-07
1969,7.499096348340117e-07
1970,7.531179306852209e-07
1971,8.346507627265964e-07
1972,8.485159526117059e-07
1973,8.140624032648702e-07
1974,7.071332923658247e-07
1975,7.91340532657614e-07
1976,7.996503281759715e-07
1977,6.273842707571475e-07
1978,7.505359960191527e-07
1979,6.396354823579031e-07
1980,6.405685617494328e-07
1981,7.798365118105721e-07
1982,7.323299300310282e-07
1983,6.955815265996534e-07
1984,7.775488839456557e-07
1985,8.016005814681648e-07
1986,7.900252256831664e-07
1987,7.438757094746506e-07
1988,8.370569233306924e-07
1989,8.872931367420733e-07
1990,8.799773745238326e-07
1991,8.616099620439854e-07
1992,8.346454407615056e-07
1993,8.219527103392466e-07
1994,7.944157403017016e-07
1995,8.063246870193552e-07
1996,7.968604940344903e-07
1997,7.819954852550381e-07
1998,7.241963810855623e-07
1999,6.979199902445998e-07
2000,6.912901309163999e-07
2001,7.02287632492471e-07
2002,7.804420967261194e-07
2003,8.013988299637731e-07
2004,8.211870774488261e-07
2005,8.573826875135637e-07
2006,8.647255604898874e-07
2007,8.909295381442917e-07
2008,9.613797189444995e-07
2009,9.675117631502417e-07
2010,1.1420159360397975e-06
2011,1.0046244618422406e-06
2012,1.283101124016639e-06
2013,1.315550989033909e-06
2014,1.5980474969978786e-06
2015,1.3715675208914035e-06
2016,1.3975006751820729e-06
2017,1.2483652653827448e-06
2018,1.1812369606900575e-06
2019,1.3213618501595192e-06
