year,cents_ADJ villes_NOUN
1950,2.1270722072586068e-08
1951,1.5992101864981123e-08
1952,1.1599284199803606e-08
1953,1.0773827163745864e-08
1954,2.9317607896928166e-08
1955,1.3139850985055546e-08
1956,1.657016923672927e-08
1957,1.0602045463770082e-08
1958,1.2408365002158916e-08
1959,8.525822714489095e-09
1960,1.591791587429725e-08
1961,1.181187059273725e-08
1962,1.0781326054143392e-08
1963,1.7458344103715717e-08
1964,2.251068309533366e-08
1965,2.0793764932136583e-08
1966,2.99110034518435e-08
1967,1.873527466500491e-08
1968,2.4253646202510026e-08
1969,9.991866889436096e-09
1970,2.5292987260172595e-08
1971,1.644287195290417e-08
1972,2.975485102751918e-08
1973,1.598829157956061e-08
1974,1.0688586016271984e-08
1975,1.8276736568623164e-08
1976,1.2569759455516305e-08
1977,2.1744092748576804e-08
1978,2.1386128423728223e-08
1979,1.345953837272873e-08
1980,2.1603572264439208e-08
1981,1.5813874654213578e-08
1982,1.8001756529884005e-08
1983,1.7682884490000106e-08
1984,1.8556827185989277e-08
1985,1.5038894574104233e-08
1986,1.9182353483415682e-08
1987,1.3443797186596385e-08
1988,1.199310784016916e-08
1989,1.2073869015694072e-08
1990,1.471135746555774e-08
1991,2.2859714121636898e-08
1992,2.0386792698445788e-08
1993,2.1602909683338112e-08
1994,1.5824779708850656e-08
1995,2.4943274112843028e-08
1996,1.7615704450690828e-08
1997,1.6302641014931396e-08
1998,1.3350762273489636e-08
1999,1.6452723627935484e-08
2000,1.1045078629479121e-08
2001,1.664860427297299e-08
2002,1.5772396722013582e-08
2003,2.2084691408963408e-08
2004,1.0571499231559756e-08
2005,2.522099862289906e-08
2006,1.4000825387938676e-08
2007,1.757570977645173e-08
2008,1.830699147831183e-08
2009,1.8119131084404216e-08
2010,9.447585824773341e-09
2011,1.2619107536693264e-08
2012,1.6340413466764403e-08
2013,1.1156499724052082e-08
2014,1.9272462736807938e-08
2015,1.906254887273917e-08
2016,2.4856079861024227e-08
2017,8.553078245654433e-09
2018,1.4456214003644163e-08
2019,1.9642605764147447e-08
