year,seules_ADJ voix_NOUN
1880,1.6044616302224313e-08
1881,7.669758161910067e-09
1882,4.6587693702804245e-09
1883,5.0554711528150165e-09
1884,1.3203393933736152e-08
1885,9.66845359329227e-09
1886,1.2261581083805595e-08
1887,2.6115698492645834e-09
1888,3.804368819970705e-09
1889,8.771191772893872e-09
1890,2.6217545912032847e-09
1891,1.1473596295275001e-08
1892,3.761107425503951e-09
1893,1.0469308087124318e-08
1894,1.6384001710889606e-08
1895,1.3842813118003505e-08
1896,9.435246361988447e-09
1897,8.740070001067579e-09
1898,1.3580051749784161e-08
1899,6.633094074004475e-09
1900,7.786579381274805e-09
1901,7.265360757457984e-09
1902,3.437198747846537e-09
1903,4.860198465905796e-09
1904,5.912087708281888e-09
1905,6.192911072844254e-09
1906,7.716276506641861e-09
1907,5.65712765521198e-09
1908,3.929111258571538e-09
1909,6.60118004702781e-09
1910,1.7101282168141552e-08
1911,7.980561100850991e-09
1912,8.856016364688912e-09
1913,1.3787773589513108e-08
1914,9.37544086809794e-09
1915,2.709575319670421e-08
1916,8.789969641043172e-09
1917,3.61891991929042e-08
1918,8.040463406189247e-09
1919,1.6574126959767455e-08
1920,1.741613253614105e-08
1921,6.058197943303867e-09
1922,2.2133805899215986e-09
1923,7.431163684401554e-09
1924,1.1602462102189293e-08
1925,7.698724324711748e-09
1926,1.3375366592072169e-08
1927,7.804457524684949e-09
1928,2.2852082892654835e-08
1929,4.4561625500705304e-09
1930,1.7856125467119455e-08
1931,5.7026783295555106e-09
1932,2.082311922890767e-08
1933,1.9500125958415992e-08
1934,5.990790086229936e-09
1935,7.180970484910176e-09
1936,1.33371855781661e-08
1937,8.813782592653752e-09
1938,1.5558256905023882e-08
1939,0.0
1940,2.5357829169792012e-09
1941,1.1806010391524069e-08
1942,1.517105907566929e-08
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,4.357008087652048e-09
1946,2.5057987684817817e-08
1947,1.6689218895749036e-08
1948,1.848220954059343e-08
1949,3.141442661558358e-08
1950,1.4889506516624351e-08
1951,2.3455083209000804e-08
1952,2.003512733494972e-08
1953,1.939288907237824e-08
1954,1.8567819282111486e-08
1955,1.1262729415761896e-08
1956,1.0465369904011368e-08
1957,1.236905244894615e-08
1958,1.4890038535497752e-08
1959,1.4726420971555854e-08
1960,1.6610000486139143e-08
1961,1.667558180429296e-08
1962,1.8391673961559718e-08
1963,2.4571003010009917e-08
1964,1.034274621503073e-08
1965,1.4227312661319047e-08
1966,9.970334780007306e-09
1967,1.2818872185960117e-08
1968,1.6169096284102125e-08
1969,9.083515273289322e-09
1970,1.839489982558007e-08
1971,2.3122789016838396e-08
1972,1.3851396474251487e-08
1973,6.615844760915479e-09
1974,1.2938814464291681e-08
1975,1.5420996035686585e-08
1976,2.1140049710766107e-08
1977,1.3516598507123945e-08
1978,1.6039596317796168e-08
1979,1.8726314721106974e-08
1980,1.591842213599648e-08
1981,1.4548763971333756e-08
1982,1.8622506203769262e-08
1983,1.515675762675528e-08
1984,1.797692661398287e-08
1985,1.564045071233977e-08
1986,2.7574632355253925e-08
1987,2.0776777631681398e-08
1988,1.199310784016916e-08
1989,1.5366742545097622e-08
1990,1.4166492867673242e-08
1991,2.6376593353916178e-08
1992,1.1570882918476855e-08
1993,1.606370148010683e-08
1994,2.5319646823618314e-08
1995,2.114755837112625e-08
1996,1.868332333287981e-08
1997,2.4933450859521145e-08
1998,2.8131962537258914e-08
1999,1.690974471557638e-08
2000,2.164835422036049e-08
2001,2.015357480900093e-08
2002,1.9715496790695397e-08
2003,1.5000923170305214e-08
2004,2.070251881036711e-08
2005,2.7472871977352042e-08
2006,1.8942293067425453e-08
2007,2.4765773432022797e-08
2008,1.958422224390688e-08
2009,2.336414262060771e-08
2010,1.842279218067233e-08
2011,1.873746313663105e-08
2012,1.191488419038933e-08
2013,1.4224537991935904e-08
2014,1.3209215943277286e-08
2015,1.5294370214746777e-08
2016,1.2013772199281902e-08
2017,1.106868996458843e-08
2018,1.5488799576246493e-08
2019,1.0969247732361964e-08
