year,toutes_DET voix_NOUN
1923,6.369568872344189e-09
1924,1.4180786767070686e-08
1925,9.898360353588487e-09
1926,6.687683296036084e-09
1927,4.4596899506643695e-09
1928,5.713020612141406e-09
1929,6.684243825105796e-09
1930,7.352522590764465e-09
1931,5.7026783295555106e-09
1932,6.575722188983946e-09
1933,4.588264879146209e-09
1934,0.0
1935,5.98414207075848e-09
1936,7.274828739411987e-09
1937,7.554670666820584e-09
1938,3.8895642262559704e-09
1939,1.5294050470515685e-09
1940,2.5357829169792012e-09
1941,8.854507793643052e-09
1942,9.102635090130207e-09
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,8.714016175304096e-09
1946,4.1763312808029696e-09
1947,5.960435700558264e-09
1948,8.697510489596993e-09
1949,5.890204768377316e-09
1950,7.444753036267571e-09
1951,3.1984206394497505e-09
1952,1.0544803918932644e-09
1953,5.386913581872932e-09
1954,4.886268278880834e-09
1955,6.569925492527773e-09
1956,7.849027205963921e-09
1957,7.068030161150318e-09
1958,9.099467845885556e-09
1959,2.3252243464000344e-09
1960,4.152500121534786e-09
1961,6.94815938118154e-09
1962,6.341956293454132e-09
1963,9.69907976156037e-09
1964,6.083968440151466e-09
1965,1.094408652591028e-08
1966,1.1078149952936656e-08
1967,1.380493930280835e-08
1968,1.4821671889819754e-08
1969,6.8126366770115965e-09
1970,8.27770510469783e-09
1971,7.707596116901527e-09
1972,1.333838212103089e-08
1973,1.0475087075523248e-08
1974,3.375343005096454e-09
1975,1.1422960355389478e-09
1976,8.570290477294407e-09
1977,7.639816446136649e-09
1978,5.940591463193812e-09
1979,4.681578680276743e-09
1980,5.68515062804309e-09
1981,1.1385989540091401e-08
1982,4.345251602977385e-09
1983,8.209910973278056e-09
1984,9.278413870550395e-09
1985,3.6093347199894765e-09
1986,5.994485352545098e-09
1987,5.499735167280306e-09
1988,4.7972429917386705e-09
1989,4.390497854167563e-09
1990,4.903785932874882e-09
1991,7.033758298025106e-09
1992,4.958949695321735e-09
1993,6.09312805766038e-09
1994,6.329912094482637e-09
1995,7.0491861237087505e-09
1996,5.3380919684542505e-09
1997,7.192341833217597e-09
1998,2.193339465605959e-08
1999,7.76934183654987e-09
2000,3.0926219363180962e-09
2001,7.886181263572212e-09
2002,1.0514931148009055e-08
2003,7.91715359937939e-09
2004,1.321437337331588e-08
2005,4.954124444012109e-09
2006,4.941467846020231e-09
2007,6.391167151065247e-09
2008,6.811903485726134e-09
2009,6.675469510497578e-09
2010,9.447586046817946e-10
2011,3.785732216599058e-08
2012,5.787229695464191e-09
2013,4.183687618564136e-09
2014,4.330890313042346e-09
2015,6.428068632935435e-09
2016,6.628288279353356e-09
2017,2.7671724911471074e-09
2018,3.0977601039872127e-09
2019,4.336679348959649e-09
