year,vingt - trois villes
1877,3.948384863505794e-08
1878,1.3958358469068344e-08
1879,8.736688039689966e-09
1880,6.3602849653676685e-09
1881,8.452832211958139e-09
1882,9.525923161390892e-09
1883,1.4629879530048129e-08
1884,9.457294891657142e-09
1885,1.7755210635073126e-08
1886,6.400316276966578e-09
1887,1.1524198484380577e-08
1888,3.4945096816230148e-09
1889,1.38281242012539e-09
1890,1.5180846801854386e-08
1891,1.194625198763788e-08
1892,4.84203210859846e-09
1893,3.396470882321978e-09
1894,1.3917619057224329e-08
1895,1.1955523682161129e-08
1896,1.3659144204591911e-08
1897,6.441841615689725e-09
1898,1.9352036639830317e-08
1899,7.32049221241482e-09
1900,1.7208013347591589e-09
1901,9.251019505995828e-09
1902,0.0
1903,5.960992255360509e-10
1904,0.0
1905,8.54684423234886e-09
1906,1.02161825665803e-08
1907,7.388796685603438e-09
1908,1.6274592784526476e-09
1909,6.066065427745571e-10
1910,8.25770207768528e-09
1911,4.110267126655742e-09
1912,4.598177394399272e-09
1913,2.9255500244573795e-09
1914,7.386593559033372e-10
1915,0.0
1916,3.6280081161521593e-09
1917,3.6183069873629847e-09
1918,3.791308933465132e-09
1919,1.0134946215600849e-09
1920,1.1680727496354848e-08
1921,0.0
1922,4.886332227727053e-09
1923,1.173141472854411e-09
1924,7.124528078605863e-09
1925,2.4370372386783856e-09
1926,3.70371111557688e-09
1927,9.874144168975363e-09
1928,1.2651650838080286e-09
1929,1.2342626920514022e-09
1930,1.1625793661096395e-09
1931,1.2628545986714812e-09
1932,1.2128820170431709e-09
1933,1.6494370314035223e-08
1934,3.982252749779036e-09
1935,5.305495598406651e-09
1936,1.342229327683242e-09
1937,1.1158072688033371e-08
1938,1.4344111454178687e-09
1939,0.0
1940,1.1258459942098398e-08
1941,9.842890946742955e-09
1942,3.3643954289175326e-09
1943,0.0
1944,1.419780204514609e-08
1945,0.0
1946,7.698679027612343e-09
1947,3.950348492764988e-09
1948,9.625652497291526e-09
1949,8.652859762037224e-09
1950,1.0586488130570615e-08
1951,5.899529753605748e-09
1952,3.5040845780542895e-09
1953,1.1908261043913626e-09
1954,0.0
1955,8.310260923849455e-09
1956,5.788134416206958e-09
1957,1.9557553354587753e-09
1958,7.3191347427226106e-09
1959,3.4297662487858815e-09
1960,4.592019209326281e-09
1961,9.201754913590321e-09
1962,5.595406360470179e-09
1963,7.132183177382956e-10
1964,5.369050537495923e-09
1965,2.413545363566527e-09
1966,2.444229929565722e-09
1967,8.147829966276277e-09
1968,8.399588580232376e-09
1969,7.98838506455013e-09
1970,3.0347264701191534e-09
1971,5.099699329491614e-09
1972,7.348905484150237e-09
1973,5.4839532914741085e-09
1974,6.841219146735966e-09
1975,3.1577834791463033e-09
1976,4.4179575553471295e-09
1977,3.8967966631275885e-09
1978,1.9630408409909705e-09
1979,7.729734186057158e-09
1980,9.39250105469469e-09
1981,4.177695522855629e-09
1982,4.091228689162563e-09
1983,9.024510916333384e-09
1984,2.5472526310466037e-09
1985,3.965048289700235e-09
1986,3.291771855096215e-09
1987,4.02820798939274e-09
1988,6.585813561166276e-10
1989,9.64449053952876e-09
1990,5.9699958310233114e-09
1991,4.50094761461628e-09
1992,1.0259561200598455e-08
1993,6.67267885390288e-09
1994,5.773370226336283e-09
1995,2.964428924556728e-09
1996,2.9167659398865453e-09
1997,6.281088149595604e-09
1998,3.6417919790920905e-09
1999,7.477714447645667e-09
2000,2.40867631395858e-09
2001,2.3887334332783894e-09
2002,3.818676930222864e-09
2003,4.991725255365509e-09
2004,2.3983268704341754e-09
2005,9.809870693544553e-10
2006,7.179869587758958e-09
2007,3.926721614533335e-09
2008,7.438140547932903e-09
2009,7.823544923013515e-09
2010,3.1061175853608347e-09
2011,2.9374986887376053e-09
2012,2.6246955719955167e-09
2013,4.620291704782176e-09
2014,4.0717638150056246e-09
2015,5.393116508933815e-09
2016,2.980234461991138e-09
2017,2.482227579037044e-08
2018,2.2919951492283985e-09
2019,3.399001358150855e-09
