year,soixante - dix vers
1909,0.0
1910,1.1796716936629537e-09
1911,5.871810260238419e-10
1912,1.0920671478231725e-08
1913,8.776650517461348e-09
1914,1.4773187118066744e-08
1915,5.195238905741917e-09
1916,2.418672151449641e-09
1917,2.41220465824199e-09
1918,0.0
1919,9.121452038129974e-09
1920,8.343376545205672e-10
1921,0.0
1922,4.886332227727053e-09
1923,2.346282945708822e-09
1924,5.699622551702532e-09
1925,8.52963033537435e-09
1926,2.4691406697030516e-09
1927,7.405608126731522e-09
1928,3.795495473468691e-09
1929,4.937050768205609e-09
1930,4.650317464438558e-09
1931,0.0
1932,2.4257640340863418e-09
1933,0.0
1934,2.6548352405342257e-09
1935,2.6527477992033255e-09
1936,8.053375744054847e-09
1937,6.973795318998555e-09
1938,2.8688222908357375e-09
1939,5.082652521082309e-09
1940,0.0
1941,0.0
1942,6.728790857835065e-09
1943,0.0
1944,3.5494505112865227e-09
1945,0.0
1946,6.158943577361242e-09
1947,0.0
1948,9.625652275246921e-09
1949,5.40803757331787e-09
1950,1.176276409609045e-09
1951,5.899529753605748e-09
1952,1.1680282296921973e-09
1953,0.0
1954,5.4033617580273585e-09
1955,4.1551304619247276e-09
1956,5.788134416206958e-09
1957,0.0
1958,4.57445903379039e-09
1959,8.574415621964704e-10
1960,3.826682970498041e-09
1961,7.668129242688337e-09
1962,8.393109318660663e-09
1963,5.705746541906365e-09
1964,4.697919386842386e-09
1965,1.2067726817832636e-09
1966,1.1610092442992936e-08
1967,5.431886496154448e-09
1968,5.929121194014897e-09
1969,8.986932975574291e-09
1970,5.057877450198589e-10
1971,7.932865031534675e-09
1972,2.826502143449261e-09
1973,4.874625147976985e-09
1974,1.0572793307517259e-08
1975,7.578680794040338e-09
1976,3.78682063484348e-09
1977,3.247330404576587e-09
1978,4.5804289250384045e-09
1979,6.4414451550476315e-09
1980,9.39250099918354e-09
1981,6.2665432842834434e-09
1982,5.4549715855500835e-09
1983,2.776772589641041e-09
1984,3.820878724525301e-09
1985,1.3216827632334116e-09
1986,2.633417484076972e-09
1987,5.370943689797514e-09
1988,3.2929068360942892e-09
1989,8.438929555154573e-09
1990,1.0148992757308406e-08
1991,5.786932266715894e-09
1992,1.0863064225929975e-08
1993,4.246250018269393e-09
1994,8.08271849450648e-09
1995,6.52174358961588e-09
1996,1.4000477221998153e-08
1997,3.663968239919768e-09
1998,8.84435191750299e-09
1999,6.480685765808403e-09
2000,2.8904114657279933e-09
2001,1.0032680464178156e-08
2002,7.637353860445728e-09
2003,8.168278498033033e-09
2004,5.276318937319502e-09
2005,6.866909707525792e-09
2006,7.179869587758958e-09
2007,1.047125763875556e-08
2008,5.113721890381839e-09
2009,4.694126864990267e-09
2010,3.623803923602509e-09
2011,1.258927961877987e-09
2012,1.1248695308552215e-09
2013,2.156136158504296e-09
2014,2.634670703827169e-09
2015,1.9611332557900596e-09
2016,5.272722258808926e-09
2017,3.3468237070621853e-09
2018,2.86499379775762e-10
2019,1.6995007623421543e-09
