year,ces_DET allées_NOUN,ces_DET vallées_NOUN
1913,2.603767939035606e-07,5.292383988830807e-07
1914,2.645213648122535e-07,5.136402556615849e-07
1915,1.7788950223973643e-07,7.598591196256166e-07
1916,2.0876177586615086e-07,5.845330015574746e-07
1917,2.1055534382696806e-07,5.439346466573625e-07
1918,2.3661934633878445e-07,4.5486049771170656e-07
1919,2.4584954871897935e-07,5.220850027853885e-07
1920,2.3095306644904667e-07,3.8996992657303053e-07
1921,2.3324061437790533e-07,3.884819435029385e-07
1922,2.508498049280661e-07,4.6185877522475494e-07
1923,1.9745662882542092e-07,3.800509418283582e-07
1924,2.2689259537855833e-07,4.576526748678589e-07
1925,2.29861917944163e-07,4.751212934195337e-07
1926,2.3629813838965674e-07,4.7371086964176357e-07
1927,2.675813899344348e-07,5.630358330677154e-07
1928,2.913640599899736e-07,4.810363201102064e-07
1929,2.439749025029414e-07,4.5341454324443475e-07
1930,2.405325147947224e-07,3.875829577282275e-07
1931,1.7450195244350653e-07,4.904303452235581e-07
1932,1.8083235175936352e-07,5.249617984759425e-07
1933,2.2138377886449234e-07,4.783266085439664e-07
1934,2.1566844488063452e-07,4.097700454508413e-07
1935,2.3338154164775915e-07,3.482770623008946e-07
1936,1.8308319127413597e-07,4.1466522304745013e-07
1937,2.1153078577640372e-07,3.563286448127201e-07
1938,1.8799561196658487e-07,3.824738268320971e-07
1939,2.1411671013993328e-07,3.747042320867422e-07
1940,1.3439649038105017e-07,5.578722195309638e-07
1941,1.6233264332754516e-07,5.224159522754235e-07
1942,1.5474479653221351e-07,5.127818027972353e-07
1943,2.0322646498982522e-07,9.174223478680688e-07
1944,2.345625880195712e-07,3.66303225973752e-07
1945,2.2874292326946488e-07,5.097699542488954e-07
1946,1.976796859537444e-07,3.689092658021309e-07
1947,1.9550228813614012e-07,3.6358656174684256e-07
1948,1.5329361247040652e-07,3.392028986581863e-07
1949,1.835780540915266e-07,4.820151104922843e-07
1950,2.265331993100972e-07,4.945443023984808e-07
1951,2.430799614927537e-07,4.754985241106624e-07
1952,1.898064709848768e-07,4.913878512979863e-07
1953,2.2194084081661458e-07,3.598458313547326e-07
1954,1.9251895366778626e-07,5.120808808101174e-07
1955,2.1586897602787758e-07,3.191106614508499e-07
1956,2.0407470735506195e-07,5.023377482871183e-07
1957,2.0055535543406222e-07,3.4279945992921057e-07
1958,1.6296319316211338e-07,4.351200040275671e-07
1959,1.6199062535804387e-07,4.3171664998453707e-07
1960,1.5917916229568618e-07,3.8618250641775376e-07
1961,1.9732772216229932e-07,3.7728504409528796e-07
1962,2.0421099122813757e-07,3.6149150162145816e-07
1963,1.9721462685140523e-07,3.4787368008437625e-07
1964,1.7582668832005766e-07,3.1636636421694675e-07
1965,1.668973261814699e-07,3.075288255161013e-07
1966,1.6728006357880076e-07,3.024334915835425e-07
1967,1.760129766381624e-07,3.392070766494726e-07
1968,1.6932638224886887e-07,3.3056821635568667e-07
1969,1.5759899341105665e-07,3.392693166404115e-07
1970,1.563566538465011e-07,2.8282158481829356e-07
1971,1.5620728177623278e-07,2.337970830268432e-07
1972,2.0469285821889116e-07,2.703587327346213e-07
1973,1.5216441795473656e-07,2.899945101830781e-07
1974,1.2826303752433432e-07,2.5877629106219047e-07
1975,1.3936010923032427e-07,2.256034683512098e-07
1976,1.4112411506062017e-07,2.571087058811372e-07
1977,1.3692901035256e-07,2.673935703967345e-07
1978,1.53267260216694e-07,2.500988998122011e-07
1979,1.6092926991007062e-07,2.2998255566619719e-07
1980,1.608897655103192e-07,2.433244539190582e-07
1981,1.4105975409961502e-07,2.6946841558128654e-07
1982,1.582913107256445e-07,2.3712658325791836e-07
1983,1.24411725366258e-07,2.235621856527814e-07
1984,1.345369984306899e-07,2.267412302359162e-07
1985,1.4918583701728494e-07,2.093414206427724e-07
1986,1.522599273329206e-07,2.3078768407458483e-07
1987,1.4910393275613387e-07,1.6376989719901758e-07
1988,1.4331763331654201e-07,1.9608731172127136e-07
1989,1.5750910264955564e-07,2.069022055906089e-07
1990,1.6291467019868833e-07,2.3265739379496608e-07
1991,1.447781894370337e-07,1.6998249741106974e-07
1992,1.702572696160587e-07,1.8237915178076491e-07
1993,1.7171542765481718e-07,2.0384282706231716e-07
1994,1.3714809021792007e-07,1.962272744293614e-07
1995,1.0736452615844883e-07,1.7134944663155238e-07
1996,1.20107072731912e-07,1.5373704975729652e-07
1997,1.313801085700561e-07,1.826854800768274e-07
1998,1.3016992639336422e-07,2.00738236699749e-07
1999,1.1882523054396188e-07,1.8143699165307225e-07
2000,1.4137701498384558e-07,1.709778167935383e-07
2001,1.3625568406894217e-07,1.6911477906944583e-07
2002,1.463327947703874e-07,1.7481073477654263e-07
2003,1.5167599975995927e-07,1.620933076651454e-07
2004,1.4844146889458898e-07,1.453581122135006e-07
2005,1.1709748903854234e-07,1.5763123428769177e-07
2006,1.50714777547023e-07,1.8077537156102608e-07
2007,1.2862223819354313e-07,1.5778194217830332e-07
2008,1.6348568543378406e-07,1.9456499700254426e-07
2009,1.5878081605080752e-07,1.735622010556881e-07
2010,1.8281079583459814e-07,1.7430795651307562e-07
2011,1.667251776638068e-07,1.4684052018765215e-07
2012,2.2229770735293641e-07,1.5659562713210562e-07
2013,2.2257217224819215e-07,1.4029298789353106e-07
2014,2.6851520829040965e-07,1.619753025039472e-07
2015,2.981293967252441e-07,1.8242415134039902e-07
2016,2.736240336531637e-07,2.087910786485736e-07
2017,1.6150224091404652e-07,1.204977824187381e-07
2018,2.3697865003668994e-07,1.3759217587505645e-07
2019,2.635170250897545e-07,1.6377340728013223e-07
