year,vingt - deux voix
1984,1.2736263599322228e-08
1985,1.3216827632334116e-09
1986,0.0
1987,8.727783828987867e-09
1988,6.585813561166276e-10
1989,1.2658394110687254e-08
1990,2.3879982435914826e-09
1991,5.786932266715894e-09
1992,4.224525174123528e-09
1993,2.001803522944101e-08
1994,7.505381205419326e-09
1995,5.928857849113456e-09
1996,3.09177181634368e-08
1997,1.4655872959679073e-08
1998,2.0289984803412153e-08
1999,2.3430171580685055e-08
2000,8.189499745014928e-09
2001,3.821973404427581e-09
2002,8.592023093001444e-09
2003,7.714485050769326e-09
2004,3.3576574853810826e-09
2005,5.885922194082127e-09
2006,4.936160369339859e-09
2007,2.1815120820889433e-09
2008,8.367908144180092e-09
2009,3.6509877343604558e-09
2010,7.765294185446692e-09
2011,3.776783774611658e-09
2012,5.624347654276107e-09
2013,5.544349868102927e-09
2014,3.3532172594163967e-09
2015,2.941699772662787e-09
2016,2.5217368193608536e-09
2017,3.3468237070621853e-09
2018,3.437992557309144e-09
2019,4.248751822588659e-09
