year,vingt - trois vers
1920,8.343376545205672e-10
1921,8.356959568800448e-10
1922,1.6287773352274826e-09
1923,1.0558273366712001e-08
1924,2.849811275851266e-09
1925,0.0
1926,8.641992010893773e-09
1927,8.639876369898047e-09
1928,2.5303301676160572e-09
1929,1.2342626920514022e-09
1930,0.0
1931,5.051418394685925e-09
1932,0.0
1933,1.2687977335446021e-09
1934,1.3274176202671129e-09
1935,0.0
1936,1.0737834621465936e-08
1937,2.789518172008343e-09
1938,0.0
1939,0.0
1940,2.8146149855245994e-09
1941,0.0
1942,1.0093186730841808e-08
1943,6.422745446599265e-09
1944,0.0
1945,4.805924103123971e-09
1946,1.5397358943403106e-09
1947,0.0
1948,2.4064130688117302e-09
1949,0.0
1950,1.176276409609045e-09
1951,1.1799059507211496e-09
1952,1.2848310859681078e-08
1953,0.0
1954,5.4033617580273585e-09
1955,0.0
1956,4.823445642898605e-09
1957,9.778776677293877e-10
1958,5.489351195819836e-09
1959,3.4297662487858815e-09
1960,3.826682970498041e-09
1961,1.533625781924286e-09
1962,3.497129030805013e-09
1963,3.566091644202629e-09
1964,5.369050537495923e-09
1965,6.033863186871713e-09
1966,3.0552873564460015e-09
1967,9.234207176689324e-09
1968,7.905494925353196e-09
1969,3.994192532275065e-09
1970,5.5636650841961455e-09
1971,1.0199398658983228e-08
1972,5.653004286898522e-09
1973,1.2186562869942463e-08
1974,2.48771603317266e-09
1975,1.8946701985100844e-09
1976,6.942504793272519e-09
1977,1.9483983315637943e-09
1978,5.889122522972912e-09
1979,2.5765780620190526e-09
1980,1.2523334591563184e-09
1981,3.481412935713024e-09
1982,1.3637428963875209e-09
1983,1.3883862948205206e-09
1984,6.368131799661114e-09
1985,5.2867310529336464e-09
1986,1.316708742038486e-09
1987,1.3427359224493784e-09
1988,6.5858136721885785e-09
1989,3.013903349113889e-09
1990,2.3879982435914826e-09
1991,3.2149625184274555e-09
1992,4.224525174123528e-09
1993,6.67267885390288e-09
1994,2.8866851131681415e-09
1995,2.3715431840543033e-09
1996,2.3334127963181572e-09
1997,2.0936961053763525e-09
1998,4.162048039546562e-09
1999,9.970285708149618e-10
2000,6.262558471803459e-09
2001,2.3887334332783894e-09
2002,3.818676930222864e-09
2003,2.7227593513146076e-09
2004,1.4389960334426632e-09
2005,2.452467562363836e-09
2006,1.3462255754603802e-09
2007,8.726048217333471e-10
2008,6.973257082876216e-09
2009,3.6509877343604558e-09
2010,2.0707451309220914e-09
2011,8.39285307918658e-10
2012,7.499130205701476e-10
2013,2.7721749340514634e-09
2014,3.113701740886654e-09
2015,7.354249431656967e-10
2016,1.1462439886145148e-09
2017,1.3945099519574455e-09
2018,5.72998759551524e-10
2019,1.4162505612702603e-09
