year,quelques_DET vivres_NOUN
1897,7.691262027265111e-08
1898,8.544116192332751e-08
1899,9.175780490977559e-08
1900,7.371295207558859e-08
1901,9.277306411981101e-08
1902,7.85645442036298e-08
1903,8.694354880489641e-08
1904,7.094504894666898e-08
1905,7.173455041087351e-08
1906,6.12157933232993e-08
1907,6.685696263275531e-08
1908,7.023286707763532e-08
1909,8.471514689745163e-08
1910,5.985448914280767e-08
1911,6.118430206925041e-08
1912,7.189001394181105e-08
1913,5.992378426800116e-08
1914,8.772734472195509e-08
1915,9.424609714869803e-08
1916,8.46034566848175e-08
1917,9.650453591802943e-08
1918,7.006689628497043e-08
1919,6.997964796529033e-08
1920,3.7861159540852896e-08
1921,5.14946840723951e-08
1922,4.426761179843197e-08
1923,4.777176698667063e-08
1924,3.9964035636330664e-08
1925,6.488924952918751e-08
1926,4.124071395494866e-08
1927,5.351628118432927e-08
1928,6.284322751071159e-08
1929,4.121950425428622e-08
1930,6.19712636762415e-08
1931,9.694553426697894e-08
1932,5.150982218538047e-08
1933,4.3588517684156614e-08
1934,4.07373743627204e-08
1935,4.906996409204112e-08
1936,4.243650231217089e-08
1937,3.273690651894867e-08
1938,5.315737894306949e-08
1939,5.964679861136801e-08
1940,8.621661606866837e-08
1941,3.246652724442356e-08
1942,3.034211815133858e-08
1943,7.258088197126256e-08
1944,5.1410978585408884e-08
1945,9.803267886354661e-08
1946,8.213451252458981e-08
1947,5.245183132274178e-08
1948,7.719040695519652e-08
1949,3.5341230386620737e-08
1950,5.530387880980925e-08
1951,5.2240869630182374e-08
1952,5.377849987553418e-08
1953,7.97263197682696e-08
1954,4.9839933069506515e-08
1955,4.97437211421925e-08
1956,5.6687419203171885e-08
1957,3.7107157180304995e-08
1958,6.700517474200751e-08
1959,3.1778064624177205e-08
1960,6.090333370956102e-08
1961,4.7247482370949e-08
1962,3.1709782188915625e-08
1963,4.7848794926252936e-08
1964,4.74549519124956e-08
1965,3.228505462971043e-08
1966,3.5450078428311826e-08
1967,6.015009507143176e-08
1968,5.344784922978185e-08
1969,4.450922516663347e-08
1970,5.0126104156333895e-08
1971,3.751030086540652e-08
1972,3.796308689629768e-08
1973,3.859242525550144e-08
1974,3.712877472139553e-08
1975,4.683413745709686e-08
1976,4.513686135965145e-08
1977,5.7004783116099134e-08
1978,5.287126392250485e-08
1979,4.4474995797294525e-08
1980,3.6953480275769834e-08
1981,5.566483451957538e-08
1982,3.972801465579323e-08
1983,3.5997300584789116e-08
1984,4.813177112428235e-08
1985,4.511668449946882e-08
1986,2.8773529447967405e-08
1987,4.94976163389893e-08
1988,4.557380961500712e-08
1989,2.853823599657801e-08
1990,3.269190707033687e-08
1991,5.627006471886631e-08
1992,5.1242480481050734e-08
1993,5.926952084678305e-08
1994,5.6969206185808474e-08
1995,4.5006341764519675e-08
1996,5.5516160557544936e-08
1997,5.322332741197755e-08
1998,4.482041304765261e-08
1999,5.301433408932965e-08
2000,4.1971297548570874e-08
2001,5.607950992470023e-08
2002,5.60796346027459e-08
2003,4.541945808345105e-08
2004,4.933366321013821e-08
2005,5.629686827823832e-08
2006,5.394435687033905e-08
2007,3.7148659259855776e-08
2008,4.8534811503131436e-08
2009,4.8635563132393145e-08
2010,4.91274466662972e-08
2011,6.462512291971478e-08
2012,7.31914325813321e-08
2013,6.917030270781055e-08
2014,8.726744082920845e-08
2015,7.558521752937253e-08
2016,9.093182828934232e-08
2017,6.515433403908588e-08
2018,8.0025471249634e-08
2019,8.392749495378382e-08
