year,moindres_ADJ villes_NOUN
1906,1.2860461140462576e-08
1907,1.4399961223432456e-08
1908,2.161011281032188e-08
1909,2.640472018811124e-08
1910,1.8170112525695004e-08
1911,1.1704822888702893e-08
1912,1.8753915753677575e-08
1913,1.113627856597077e-08
1914,9.37544086809794e-09
1915,3.2986132936230206e-08
1916,1.3184954461564757e-08
1917,1.4256351654751143e-08
1918,1.1486376294556067e-08
1919,1.749491218561161e-08
1920,1.817335615328375e-08
1921,1.5145495524393482e-08
1922,3.6889677978990676e-09
1923,2.1231896241147297e-08
1924,1.675911143195208e-08
1925,7.698724324711748e-09
1926,1.5604593173179637e-08
1927,7.804457524684949e-09
1928,1.7139061725401916e-08
1929,1.5596569369336066e-08
1930,8.402882833991043e-09
1931,6.843213995466613e-09
1932,5.4797681947604815e-09
1933,8.02946331646126e-09
1934,3.5944740517379614e-09
1935,4.787313656606784e-09
1936,1.4549657478823974e-08
1937,1.0072894518486919e-08
1938,1.2965214457594243e-09
1939,1.5294050470515685e-09
1940,0.0
1941,0.0
1942,1.517105907566929e-08
1943,1.4516175816936538e-08
1944,9.639558484764166e-09
1945,1.089252066321933e-08
1946,6.960552134671616e-09
1947,3.5762612871081956e-09
1948,1.195907639583993e-08
1949,5.890204768377316e-09
1950,7.444753258312176e-09
1951,5.330700769690111e-09
1952,7.381362632230548e-09
1953,1.0773827163745864e-08
1954,7.818028890937967e-09
1955,6.569925492527773e-09
1956,3.488456634670456e-09
1957,7.951533653738352e-09
1958,7.445019267748876e-09
1959,1.0851047171911432e-08
1960,6.920833239831836e-09
1961,2.779263708063695e-09
1962,3.170978146727066e-09
1963,6.466053248388448e-10
1964,4.867174663303331e-09
1965,3.830430195250756e-09
1966,4.431259803538978e-09
1967,9.860671168482327e-10
1968,4.042274071025531e-09
1969,1.1808570121729645e-08
1970,4.5987250119061684e-10
1971,4.1107179882260425e-09
1972,5.130146973897354e-09
1973,3.3079223804577396e-09
1974,5.06301445213353e-09
1975,2.2845920710778955e-09
1976,3.9994687561772935e-09
1977,1.7630346071939584e-09
1978,6.534650598410963e-09
1979,6.437170796402825e-09
1980,2.8425752862659692e-09
1981,1.2651099057237047e-09
1982,6.207502289967692e-10
1983,1.89459470334441e-09
1984,1.1598016991243298e-09
1985,1.8046674155058895e-09
1986,5.994485463567401e-10
1987,2.4443267410134695e-09
1988,5.396898483667201e-09
1989,4.939309850016116e-09
1990,3.814055737905164e-09
1991,5.861465202094962e-10
1992,5.509944056569793e-09
1993,4.985286850001103e-09
1994,1.0549853213248639e-09
1995,1.626735190995987e-09
1996,3.736664311304594e-09
1997,4.79489448146353e-10
1998,5.2449422582867555e-09
1999,4.113180906983871e-09
2000,2.6508188977203417e-09
2001,2.190605918883648e-09
2002,4.381221607729913e-09
2003,5.416999737661854e-09
2004,8.809582507929292e-10
2005,2.251874686720612e-09
2006,4.529678854225949e-09
2007,3.595031605740928e-09
2008,2.554463751636149e-09
2009,1.430457752249481e-09
2010,1.4171379625338432e-09
2011,1.911985902935953e-09
2012,1.7021263287730903e-09
2013,2.5102124823206395e-09
2014,2.165445156521173e-09
2015,3.32486305154589e-09
2016,5.3854840587064245e-09
2017,1.0062445321423752e-09
2018,1.8070267504555204e-09
2019,2.5509878653906526e-09
