year,toutes_DET voies_NOUN
1934,3.3428609214070093e-07
1935,2.5013714122223973e-07
1936,2.946305661666315e-07
1937,3.676606610270028e-07
1938,2.981999465134777e-07
1939,1.8964622405803766e-07
1940,6.009805662010592e-07
1941,4.899494250309999e-07
1942,2.6701064359535565e-07
1943,2.787105874979545e-07
1944,3.5345047244561556e-07
1945,1.8299434145774285e-07
1946,2.9930372758002477e-07
1947,2.801404692664988e-07
1948,2.7505876865063783e-07
1949,2.89601743475032e-07
1950,2.499310021164547e-07
1951,2.292201388698345e-07
1952,2.889276213835501e-07
1953,2.4564326750464716e-07
1954,2.3649537195247206e-07
1955,2.4027155820505186e-07
1956,2.032025960829742e-07
1957,2.7035214822390685e-07
1958,2.3658616354893525e-07
1959,2.76701689116976e-07
1960,1.799416713410551e-07
1961,1.9385364602442223e-07
1962,1.699644258668087e-07
1963,1.5647848972122347e-07
1964,1.7643508121167883e-07
1965,3.6224927590922107e-07
1966,2.4205756865569583e-07
1967,4.072457109316474e-07
1968,1.8639375332085706e-07
1969,1.925705284122614e-07
1970,1.8946747637471617e-07
1971,1.7830239951166504e-07
1972,1.677558056911721e-07
1973,1.5051046231562282e-07
1974,1.901443194007868e-07
1975,1.71915552016344e-07
1976,1.325538265817272e-07
1977,1.4927025837607744e-07
1978,1.794058555049105e-07
1979,1.5741808034874794e-07
1980,1.785137331289377e-07
1981,8.412980889715982e-08
1982,1.6636106181522337e-07
1983,9.851893079115825e-08
1984,8.350572144877333e-08
1985,1.179049404775867e-07
1986,7.792831402397837e-08
1987,3.1348491091875985e-07
1988,6.116485051776976e-08
1989,7.683371094913127e-08
1990,1.1660113363731739e-07
1991,1.441920449707368e-07
1992,1.0634192193492709e-07
1993,8.031851095324782e-08
1994,1.867324055382369e-07
1995,7.211859331945902e-08
1996,1.0889708157435507e-07
1997,1.7069823776694193e-07
1998,5.149579695995499e-08
1999,1.0100144454128213e-07
2000,7.422293091252641e-08
2001,7.360435566594603e-08
2002,4.819343651929486e-08
2003,7.458792272707626e-08
2004,4.6250308916029326e-08
2005,6.485399439704054e-08
2006,1.2518385084092643e-07
2007,6.830559728943086e-08
2008,7.70596597643447e-08
2009,6.103286454006707e-08
2010,6.046455025554565e-08
2011,6.883149827885404e-08
2012,4.595741232016337e-08
2013,9.427242908532918e-08
2014,5.651812076679086e-08
2015,1.1681352640735554e-07
2016,6.856135370547634e-08
2017,5.006066494672723e-08
2018,3.94964390082464e-08
2019,4.5152482641697134e-08
