year,tout_DET air_NOUN,tout_DET pair_NOUN
1965,2.517140029745235e-08,6.0192477668863376e-09
1966,2.1602390987141007e-08,3.3234448526542337e-09
1967,2.3665610304757223e-08,6.902469984471082e-09
1968,2.290622025391542e-08,3.5931325970128825e-09
1969,2.089208669953102e-08,9.083515606356229e-10
1970,2.1614008027803777e-08,4.5987250119061684e-10
1971,4.162101840954335e-08,2.5691987426412766e-09
1972,3.5398013853438215e-08,1.5390440033513642e-09
1973,3.528450381873327e-08,2.756601946707349e-09
1974,2.644018703978901e-08,1.6876715580593782e-09
1975,3.426888195434685e-08,3.998036124386317e-09
1976,4.513686113760684e-08,2.8567634369203176e-09
1977,4.466354291965402e-08,3.5260691033656144e-09
1978,2.1386128867817433e-08,2.3762365408686037e-09
1979,1.872631405497316e-08,2.925986564150662e-09
1980,2.785723873799384e-08,2.8425753417771205e-09
1981,1.4548763582755697e-08,1.2651099057237047e-09
1982,1.1794254461960918e-08,5.586751949948621e-09
1983,1.0736036948344463e-08,6.315316047889041e-10
1984,1.0438215014563212e-08,5.799008495621649e-10
1985,1.2632671464452017e-08,1.2031116103372597e-09
1986,2.577628693822831e-08,2.3977941854269602e-09
1987,2.0165696001939182e-08,1.8332450557601021e-09
1988,9.594486038988492e-09,0.0
1989,1.3720305114262032e-08,2.1952488715726304e-09
1990,1.3076762006569709e-08,1.634595292454577e-09
1991,1.934283488935762e-08,1.1722930404189924e-09
1992,1.046889380740268e-08,5.509944167592096e-10
1993,1.3294098266669607e-08,1.661762283333701e-09
1994,1.0549853324270941e-08,2.6374632478010085e-09
1995,1.030265628365612e-08,5.422450821690461e-10
1996,1.3345230698291743e-08,1.067618438099771e-09
1997,1.102825741838842e-08,0.0
1998,8.105819682135973e-09,9.536258449571733e-10
1999,1.782378400427831e-08,3.6561609850771504e-09
2000,1.899753554468475e-08,2.6508187866980393e-09
2001,1.358175633070502e-08,4.3812117822561447e-10
2002,1.6210519815373914e-08,2.190610692842654e-09
2003,1.6250998768896352e-08,2.0834614589126943e-09
2004,1.805964400247717e-08,2.202395626982323e-09
2005,1.306087415997581e-08,1.3511248786457486e-09
2006,1.1118302722934459e-08,3.706100981659688e-09
