year,dut_VERB poser_VERB
1916,4.394984820521586e-09
1917,1.315970976634162e-08
1918,1.033773866510046e-08
1919,2.762354567309444e-09
1920,4.543339038320937e-09
1921,9.087297137000405e-09
1922,9.591316185719734e-09
1923,6.369568872344189e-09
1924,5.156649773851996e-09
1925,1.2097995494286806e-08
1926,3.343841648018042e-09
1927,1.1149224654616319e-08
1928,1.3711249025050165e-08
1929,2.0052731031228177e-08
1930,6.302162347537887e-09
1931,1.710803587684495e-08
1932,1.53433514782364e-08
1933,1.8353059516584835e-08
1934,3.5944740517379614e-09
1935,9.574627313213568e-09
1936,6.0623572828433225e-09
1937,5.0364472592434595e-09
1938,1.0372171566075394e-08
1939,3.058810094103137e-09
1940,7.607348528892999e-09
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,0.0
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,1.3921104269343232e-08
1947,1.6689218895749036e-08
1948,1.195907639583993e-08
1949,1.3743811422273211e-08
1950,2.9779013033248702e-08
1951,5.330700769690111e-09
1952,1.1599284199803606e-08
1953,5.386913581872932e-09
1954,1.4658803948464083e-08
1955,8.447047505910632e-09
1956,1.1337483840634377e-08
1957,1.4136060322300636e-08
1958,1.2408365002158916e-08
1959,6.200598257066758e-09
1960,6.2287499602575735e-09
1961,1.320150300188061e-08
1962,9.512934440181198e-09
1963,1.2285501505004959e-08
1964,8.517555549758526e-09
1965,1.3680108601477059e-08
1966,1.0524241922382771e-08
1967,8.381570104631919e-09
1968,1.8414805680322388e-08
1969,1.2716921737876419e-08
1970,8.7375777724219e-09
1971,1.1304474689666222e-08
1972,6.669190977248718e-09
1973,1.1577728109557484e-08
1974,8.438357568252286e-09
1975,3.998036124386317e-09
1976,5.142174241967723e-09
1977,7.639816779203557e-09
1978,5.346532105932056e-09
1979,1.1118749476679568e-08
1980,7.95921106799824e-09
1981,8.223214109648325e-09
1982,7.449002747961231e-09
1983,1.136756910824488e-08
1984,1.333771937339634e-08
1985,8.421781494405423e-09
1986,8.392279760016663e-09
1987,7.332980445085013e-09
1988,1.2592763276586538e-08
1989,5.488121956886971e-09
1990,7.083246433836621e-09
1991,7.033758464558559e-09
1992,7.713921945651236e-09
1993,8.308811416668505e-09
1994,1.318731612798274e-08
1995,4.337960657352369e-09
1996,5.3380921904988554e-09
1997,4.315404922294874e-09
1998,4.7681290027412615e-09
1999,2.285100553223174e-09
2000,5.3016377954406835e-09
2001,8.324302136486494e-09
2002,7.448076377869484e-09
2003,3.333538334260311e-09
2004,7.047666006343434e-09
2005,5.854874363109275e-09
2006,9.059357708451898e-09
2007,9.98619853476157e-09
2008,1.2346575317678798e-08
2009,1.3350939020995156e-08
2010,2.5980861906305108e-08
2011,2.982698177333987e-08
2012,3.5063802528156884e-08
2013,2.7333426189102283e-08
2014,3.204858955996315e-08
2015,3.7016807397094453e-08
2016,3.7076986814099655e-08
2017,3.19482644783875e-08
2018,3.7947561537521324e-08
2019,3.3417940414892655e-08
