year,seraient_VERB heureux_ADJ
1902,1.369969169218166e-07
1903,1.7928731210758997e-07
1904,1.41352643368009e-07
1905,2.1830010155099444e-07
1906,1.733590124786133e-07
1907,1.8257094325235812e-07
1908,1.910530329496396e-07
1909,1.7108058614212496e-07
1910,1.9559591635243123e-07
1911,1.9312957988404378e-07
1912,1.6045017048327281e-07
1913,1.93028824924113e-07
1914,2.2166221924635465e-07
1915,2.9451905447785975e-07
1916,2.2304547542262299e-07
1917,1.414668702182098e-07
1918,2.527002891383745e-07
1919,2.559781933086924e-07
1920,1.5750242710055318e-07
1921,2.1430875563055451e-07
1922,2.058444010799576e-07
1923,1.8577908633687912e-07
1924,1.6243447475972062e-07
1925,1.4957521443648147e-07
1926,1.4935825731754448e-07
1927,1.6946822256613814e-07
1928,1.759610341878215e-07
1929,1.626499397389125e-07
1930,1.575540551357335e-07
1931,1.5511284345848253e-07
1932,1.479537417026222e-07
1933,1.4338327503082837e-07
1934,1.3778817731235904e-07
1935,1.7713060174173734e-07
1936,1.6489612164605205e-07
1937,1.7879388281016872e-07
1938,1.4909996082224097e-07
1939,1.2082300315796601e-07
1940,1.0650288118085882e-07
1941,1.7118715334163426e-07
1942,1.0923162108156248e-07
1943,1.5387146845569077e-07
1944,1.317406344014671e-07
1945,1.5903079031431844e-07
1946,2.2412977784824761e-07
1947,1.7881306746403425e-07
1948,1.728630110164886e-07
1949,1.659074371218594e-07
1950,1.8505528487366973e-07
1951,1.3220137873304338e-07
1952,1.3602796400391526e-07
1953,1.5298834910026926e-07
1954,1.6124684520946175e-07
1955,9.854888105564896e-08
1956,1.5436420142123097e-07
1957,1.2722453845981363e-07
1958,1.166386311979295e-07
1959,1.3873838611289102e-07
1960,1.4810584048063902e-07
1961,1.3757355077359534e-07
1962,1.2430234619387193e-07
1963,1.4289977912085305e-07
1964,1.1985417813775712e-07
1965,1.0451602605598964e-07
1966,1.135510316885302e-07
1967,1.0353704738008673e-07
1968,1.1542938693764881e-07
1969,1.1717735048932809e-07
1970,1.2922417624849913e-07
1971,9.917107490764465e-08
1972,1.2414955108397407e-07
1973,9.207050055692889e-08
1974,9.113426102658195e-08
1975,9.995090266556872e-08
1976,9.770131015329753e-08
1977,9.52038661239385e-08
1978,8.376233751050677e-08
1979,9.889834728937785e-08
1980,8.982537735846563e-08
1981,1.1322733683982733e-07
1982,7.138627466929393e-08
1983,8.462523481966855e-08
1984,8.988462951720066e-08
1985,7.038202909370739e-08
1986,9.051672833493285e-08
1987,6.660790319301668e-08
1988,9.53452072849359e-08
1989,8.780995131019154e-08
1990,8.22746315520817e-08
1991,8.088822056606659e-08
1992,5.895640242670197e-08
1993,7.034793725324562e-08
1994,9.653115995433836e-08
1995,7.916778343997066e-08
1996,8.647709393017067e-08
1997,9.445942339425528e-08
1998,7.438281812710557e-08
1999,6.352579617896481e-08
2000,6.84794869698635e-08
2001,7.448060301840087e-08
2002,7.710949745387552e-08
2003,7.333784424190526e-08
2004,7.972672477762899e-08
2005,6.890736869991088e-08
2006,8.400495232763205e-08
2007,8.907689164061594e-08
2008,1.0473301870206342e-07
2009,1.0776115288990695e-07
2010,1.0486820656296914e-07
2011,1.1433676405658844e-07
2012,1.2493607925989636e-07
2013,1.4615015686558763e-07
2014,1.715032595939192e-07
2015,1.6535652491711517e-07
2016,1.7627104398343363e-07
2017,1.3785549413114495e-07
2018,1.4946692772355163e-07
2019,1.7117127981691738e-07
