sesDETailesNOUN_count,sesDETbellesADJ_count
2167.0000355419925,1184.999986993959
2451.0000216783374,1352.000074439213
2372.0000255347622,1342.0000357435172
2748.0001312315185,1630.9999835969177
3525.000093655291,1942.99998109747
2766.9999142718066,1544.999999962405
2547.0000886537223,1387.000074344356
2768.000025322802,1311.999943561616
2445.0000402916785,1496.0000060838192
2220.9999698938686,1080.0000275887949
1568.999987450465,808.9999564042816
1687.0001052293044,839.0000520758534
1875.9999704926342,929.99999103338
1549.9999485819587,813.9999705751997
2009.9999355328587,1166.9999394879967
1953.9999841132849,1000.0000391946039
1778.999987604064,973.0000619288169
1749.9999839925395,798.0000423050906
1802.000100845525,795.0000583779902
1646.0000158768128,764.9999694697108
1852.0000198294379,842.9999764190802
1735.0000095917392,818.9999815612064
2108.9999508552664,911.0000001976232
1840.9999955678268,770.9999599277343
