year,en_ADP ail_NOUN,en_ADP taille_NOUN
1999,2.0108885889769113e-08,9.00786676361065e-07
2000,1.3695898082310975e-08,7.890604032390058e-07
2001,3.417345248446502e-08,1.0926742604056017e-06
2002,1.7524885320696626e-08,1.002423471785363e-06
2003,2.8751767744417123e-08,7.950489067098943e-07
2004,3.2595454557693415e-08,1.047459416758656e-06
2005,2.5671371806090804e-08,9.084062844166851e-07
2006,1.6883349385210522e-08,8.272841087730853e-07
2007,1.9972396736456233e-08,9.163336180950665e-07
2008,1.8306991117489346e-08,8.902306283253836e-07
2009,2.384096253749135e-08,7.910431447655242e-07
2010,8.975206911010503e-09,7.128203483586226e-07
2011,6.118355155848576e-09,8.55040139802199e-07
2012,9.531907319004773e-09,8.9736100683524e-07
2013,7.80955033974351e-09,7.087166977726156e-07
2014,4.547434873103384e-09,6.422710602527193e-07
2015,7.75801378694041e-09,6.159862914884018e-07
2016,9.528164035543796e-09,6.996986496865532e-07
2017,9.30776167251679e-09,6.721713550206232e-07
2018,4.3884935685412074e-09,8.598865459119587e-07
2019,4.846876677788714e-09,7.196336602732778e-07
