year,aucun_DET tissu_NOUN
1941,1.4757512989405086e-08
1942,9.102635312174812e-09
1943,2.6129117092210663e-08
1944,1.927911696952833e-08
1945,1.089252021913012e-08
1946,1.5313214696277555e-08
1947,2.5033828787712764e-08
1948,3.696441908118686e-08
1949,2.4542521348536184e-08
1950,2.9779012367114888e-08
1951,3.1984205950408295e-08
1952,2.9525450528922192e-08
1953,2.2625038065271497e-08
1954,1.661331139324318e-08
1955,3.191106623390283e-08
1956,1.9186511268642903e-08
1957,1.590306802912167e-08
1958,2.4816730892496253e-08
1959,2.4802393028267034e-08
1960,1.8686250546906535e-08
1961,7.642975308197464e-09
1962,1.6489086374082973e-08
1963,2.133797538661497e-08
1964,1.8251904432275978e-08
1965,1.0944086747954884e-08
1966,1.2185964348709888e-08
1967,1.528404047768106e-08
1968,1.3474247828604291e-08
1969,8.175163990209455e-09
1970,1.1496812613032148e-08
1971,7.707596338946132e-09
1972,1.3851396918340697e-08
1973,8.269805840122046e-09
1974,8.438357790296891e-09
1975,1.599214449754527e-08
1976,1.1998406490576485e-08
1977,9.402850942308305e-09
1978,1.3069300752732715e-08
1979,1.0533551697555765e-08
1980,1.4781392110307934e-08
1981,8.223214109648325e-09
1982,8.069753087980303e-09
1983,1.1999100379966876e-08
1984,1.275781880138993e-08
1985,1.564045071233977e-08
1986,1.1988970760601347e-08
1987,1.0999470334560613e-08
1988,1.6190695673046207e-08
1989,8.232182935330457e-09
1990,7.083246489347772e-09
1991,5.861465202094962e-09
1992,8.264916362410446e-09
1993,7.200969598386564e-09
1994,8.967375175750192e-09
1995,8.675921314704738e-09
1996,8.007138063703678e-09
1997,8.151320729510303e-09
1998,8.105819682135973e-09
1999,5.0272213059088244e-09
2000,5.3016377954406835e-09
2001,4.381211837767296e-09
2002,9.20056508757483e-09
2003,8.750538516011375e-09
2004,7.047665784298829e-09
2005,9.007498968927052e-09
2006,8.64756888319107e-09
2007,9.986198895584053e-09
2008,7.237647536850744e-09
2009,1.0013204265746367e-08
2010,1.0392344762522043e-08
2011,1.2619107425670961e-08
2012,1.2936160587173617e-08
2013,1.031976237797494e-08
2014,1.0827225782605865e-08
2015,1.0639561676129006e-08
2016,1.2635174240216429e-08
2017,1.2074934829797712e-08
2018,1.3423627098774205e-08
2019,8.928457528867284e-09
