year,mon_DET air_NOUN
1875,1.624913661402161e-07
1876,2.569556318832156e-07
1877,1.7131939955561393e-07
1878,1.358794881056724e-07
1879,1.3868168480257737e-07
1880,1.854757591956968e-07
1881,1.3875289717191208e-07
1882,1.6239140165907884e-07
1883,1.6809441660825541e-07
1884,1.0760765789541438e-07
1885,1.1150949896787665e-07
1886,1.1358096596580936e-07
1887,1.3776030716172727e-07
1888,1.2871447729878582e-07
1889,1.1089292373256399e-07
1890,1.0749193646297783e-07
1891,1.332212002935762e-07
1892,1.2537025106951205e-07
1893,1.4287526561851394e-07
1894,1.1216739892461192e-07
1895,1.0472389000426574e-07
1896,1.4624632260762382e-07
1897,1.1478626049665763e-07
1898,9.902120945426418e-08
1899,9.452159055456377e-08
1900,1.1627959217719308e-07
1901,9.109644327764954e-08
1902,1.0016979423710382e-07
1903,1.1988489134751035e-07
1904,1.0158041874319679e-07
1905,8.566860154601841e-08
1906,7.098974830199722e-08
1907,1.1777111375010918e-07
1908,1.1738220173640457e-07
1909,1.1827114576590247e-07
1910,1.3093168682587475e-07
1911,1.5961122468155509e-07
1912,1.3023552636326485e-07
1913,1.5961999189073595e-07
1914,1.4732836106645664e-07
1915,8.482148650124088e-08
1916,1.1317085935047544e-07
1917,9.979446535801628e-08
1918,1.0108011139209339e-07
1919,1.519294960949935e-07
1920,1.1055458104536342e-07
1921,1.15105757814149e-07
1922,1.7190590106963555e-07
1923,1.7940952456996229e-07
1924,1.4438619144740983e-07
1925,1.6827212601100427e-07
1926,1.6942130898200958e-07
1927,2.8876491597884524e-07
1928,1.7824623643747373e-07
1929,2.183519605125639e-07
1930,1.7541018415556664e-07
1931,1.1633463614657558e-07
1932,1.632970887399665e-07
1933,1.3879500571079006e-07
1934,1.317973783443449e-07
1935,1.6875280284267546e-07
1936,1.3822174960154143e-07
1937,1.208747373304675e-07
1938,1.1539040922770027e-07
1939,7.799965739963e-08
1940,8.621661695684679e-08
1941,8.854507971278736e-08
1942,1.608132293995368e-07
1943,1.5677470432962082e-07
1944,1.4780655810398002e-07
1945,1.6338780639557626e-07
1946,2.631088840132634e-07
1947,1.955022828070696e-07
1948,1.5220642346491786e-07
1949,1.688525461673862e-07
1950,1.4889505894899457e-07
1951,1.460612031323194e-07
1952,1.697713489789976e-07
1953,1.572978778341394e-07
1954,1.6417860493334047e-07
1955,1.7738798696598224e-07
1956,1.8052763017806228e-07
1957,1.378265830354053e-07
1958,1.795076887134428e-07
1959,2.0772004205582562e-07
1960,2.3115583580590737e-07
1961,1.9107437410070816e-07
1962,2.2006589173173552e-07
1963,1.4483959898115017e-07
1964,1.6791752344147426e-07
1965,1.8276624391688756e-07
1966,1.7558866360900538e-07
1967,2.164417356453896e-07
1968,1.8998688666727048e-07
1969,1.5260306707176596e-07
1970,1.6003562830491092e-07
1971,1.4849968632546506e-07
1972,1.8571131477074232e-07
1973,1.290089750582979e-07
1974,1.3613883975693852e-07
1975,1.2850830444222083e-07
1976,1.2112676817110923e-07
1977,1.2928920334331906e-07
1978,1.5564349808983025e-07
1979,1.6619604004119992e-07
1980,1.4610836895911916e-07
1981,1.5244573692285712e-07
1982,1.3159904366233377e-07
1983,1.4272613579890958e-07
1984,1.6121243628930415e-07
1985,1.2091271806013992e-07
1986,1.7324062717705146e-07
1987,1.6132557068004871e-07
1988,1.4631591138680733e-07
1989,1.8934021817074154e-07
1990,1.4602385300932497e-07
1991,1.4712277085493497e-07
1992,1.5813539100406615e-07
1993,1.5066644820649344e-07
1994,1.5033540812225965e-07
1995,1.4694841876661258e-07
1996,1.6868371321976383e-07
1997,1.6014947945564018e-07
1998,1.6259320112510522e-07
1999,1.5721492374609625e-07
2000,1.5772373096467618e-07
2001,1.8795399192583773e-07
2002,1.914593834584366e-07
2003,1.875115316352094e-07
2004,2.2552531930841724e-07
2005,1.639364910488439e-07
2006,2.3430793127943161e-07
2007,2.1050906262587432e-07
2008,2.7375337552371093e-07
2009,2.9372066379096395e-07
2010,4.3364418722546816e-07
2011,4.5925904501586956e-07
2012,6.243399468530697e-07
2013,6.417776852174484e-07
2014,7.503267838160355e-07
2015,7.671567487932407e-07
2016,8.167293721328406e-07
2017,9.737931421227586e-07
2018,1.1670810451391844e-06
2019,1.0614659586849484e-06
