year,son_DET oeuf_NOUN
1908,2.9468334439286537e-09
1909,4.950885035270858e-09
1910,4.275320542035388e-09
1911,4.788336838146279e-09
1912,3.646594803896619e-09
1913,7.42418571064718e-09
1914,7.366418142140674e-09
1915,1.295883844676382e-08
1916,6.592477230782379e-09
1917,6.57985488317081e-09
1918,1.1486376294556067e-09
1919,9.207848705727883e-09
1920,4.543339038320937e-09
1921,5.300923255902035e-09
1922,8.853522359686394e-09
1923,7.431163684401554e-09
1924,1.804827398643738e-08
1925,1.8696901804560184e-08
1926,4.458455382660986e-09
1927,1.8953683067479687e-08
1928,9.14083297942625e-09
1929,3.342121912552898e-09
1930,3.1510811737689437e-09
1931,1.1405356659111021e-09
1932,1.0959536611565568e-09
1933,6.882397318719313e-09
1934,2.3963160344919743e-09
1935,3.590485242455088e-09
1936,4.849885826274658e-09
1937,3.777335333410292e-09
1938,7.779128452511941e-09
1939,4.588215141154706e-09
1940,2.5357829169792012e-09
1941,2.9515025978810172e-09
1942,1.2136847082899749e-08
1943,8.709705845433291e-09
1944,3.2131861615880553e-09
1945,6.535512131478072e-09
1946,2.7842208538686464e-09
1947,5.960435700558264e-09
1948,6.523132700664291e-09
1949,1.9634016634739737e-09
1950,4.2541445921528975e-09
1951,1.3859822622919182e-08
1952,1.0544804140977249e-08
1953,5.386913581872932e-09
1954,3.9090144454689835e-09
1955,4.6928039232341234e-09
1956,1.0465369904011368e-08
1957,7.068030161150318e-09
1958,4.9633461784992505e-09
1959,6.975672928177801e-09
1960,3.460416619915918e-09
1961,3.47407969059077e-09
1962,7.610347907416326e-09
1963,2.5864212993553792e-09
1964,5.475571551727398e-09
1965,1.6416130677043839e-09
1966,4.431259803538978e-09
1967,4.437302081328198e-09
1968,4.042274071025531e-09
1969,1.8167031212712459e-09
1970,8.7375777724219e-09
1971,6.679916619845017e-09
1972,5.130146973897354e-09
1973,7.718485406371656e-09
1974,4.500457340128605e-09
1975,7.4249242310031605e-09
1976,9.712995741040231e-09
1977,7.639816779203557e-09
1978,7.72276909088987e-09
1979,7.607565244427406e-09
1980,8.527726080842513e-09
1981,1.3916208629893845e-08
1982,1.1173503899897241e-08
1983,8.209910973278056e-09
1984,9.278413592994639e-09
1985,8.421781494405423e-09
1986,1.4386765556650971e-08
1987,4.888653482026939e-09
1988,1.4991384134077634e-08
1989,1.2622680678475717e-08
1990,1.5801088437683575e-08
1991,1.641210189973208e-08
1992,1.3774860363469088e-08
1993,1.550978012687665e-08
1994,1.476979427650349e-08
1995,1.138714633697191e-08
1996,2.028474987980644e-08
1997,2.013855748828064e-08
1998,1.8118891276230897e-08
1999,1.0968483010742602e-08
2000,5.3016377954406835e-09
2001,9.638665865452367e-09
2002,5.6955880012310445e-09
2003,5.8336921959778465e-09
2004,1.1452457648886138e-08
2005,7.205999352777326e-09
2006,8.64756888319107e-09
2007,6.391167151065247e-09
2008,1.0217855006544596e-08
2009,5.721831008997924e-09
2010,4.2514138876015295e-09
2011,9.55992973672437e-09
2012,9.531907707582832e-09
2013,1.1156499724052082e-08
2014,6.9294245896855955e-09
2015,4.43315073539452e-09
2016,6.006886099640951e-09
2017,6.037467414898856e-09
2018,5.937373259712331e-09
2019,4.846876677788714e-09
