year,ton_DET vif_ADJ
1922,1.2542490601674672e-08
1923,2.441668023323018e-08
1924,1.933743609683347e-08
1925,1.2097995494286806e-08
1926,1.7833821530643945e-08
1927,1.3379070296082318e-08
1928,1.7139061725401916e-08
1929,8.912325100141061e-09
1930,6.302162347537887e-09
1931,1.4826963656844327e-08
1932,1.2055489939655217e-08
1933,4.588264879146209e-09
1934,1.677421224144382e-08
1935,2.393656917121234e-08
1936,1.333718602225531e-08
1937,8.813782814698357e-09
1938,1.0372171566075394e-08
1939,4.588215141154706e-09
1940,1.0143131667916805e-08
1941,2.9515025978810172e-09
1942,6.068423541449874e-09
1943,1.1612940831184915e-08
1944,6.4263723231761105e-09
1945,1.089252066321933e-08
1946,4.1763312808029696e-09
1947,1.907339353124371e-08
1948,1.522064252412747e-08
1949,1.1780409536754632e-08
1950,6.381216888229346e-09
1951,1.3859822622919182e-08
1952,1.687168627029223e-08
1953,4.3095309543161875e-09
1954,8.795282724349818e-09
1955,1.1262729415761896e-08
1956,1.3081712602058815e-08
1957,1.1485549400447326e-08
1958,5.790570245522986e-09
1959,1.0851046838844525e-08
1960,1.176541641889628e-08
1961,9.72742331128984e-09
1962,1.268391242037481e-08
1963,1.681173777967615e-08
1964,1.0951143103454797e-08
1965,1.4774516721161035e-08
1966,1.8278946689598286e-08
1967,1.232583901611406e-08
1968,1.1228539403829174e-08
1969,1.0900218838649778e-08
1970,1.0577067582895339e-08
1971,9.24911525146399e-09
1972,6.6691908662264154e-09
1973,6.6158443723374205e-09
1974,7.875800456247362e-09
1975,4.569184142155791e-09
1976,6.2848797277581525e-09
1977,7.052138428775834e-09
1978,1.3069301196821925e-08
1979,1.3459538594773335e-08
1980,7.390696110665118e-09
1981,8.855769062510177e-09
1982,1.0552754226011984e-08
1983,1.1367568553133367e-08
1984,9.858314442556804e-09
1985,7.2186697730458604e-09
1986,5.395036972721812e-09
1987,1.2221633483022742e-08
1988,1.3792074149421296e-08
1989,1.2073869015694072e-08
1990,1.198703181159999e-08
1991,1.2895223555631219e-08
1992,8.815910668147353e-09
1993,1.0524494165053966e-08
1994,1.002236066360851e-08
1995,1.0844901865425527e-08
1996,9.608566164942545e-09
1997,8.630809955612051e-09
1998,1.4304387896402204e-08
1999,6.8553016596695215e-09
2000,5.301637684418381e-09
2001,1.270551397425379e-08
2002,8.324320677211006e-09
2003,1.3750845351268026e-08
2004,6.607186797680242e-09
2005,9.007498746882447e-09
2006,7.41220168576362e-09
2007,5.192823504529542e-09
2008,8.940623352771127e-09
2009,1.0966842545201416e-08
2010,7.558068837454357e-09
2011,9.942326933964907e-09
2012,1.5659562868641785e-08
2013,1.4782362500742607e-08
2014,1.2559581735738234e-08
2015,1.3521109565317602e-08
2016,1.4499380363020009e-08
2017,1.182337305838388e-08
2018,1.3939919885075369e-08
2019,1.224474122096808e-08
