year,on_PRON aille_VERB,on_PRON vaille_VERB
1943,8.709705667797607e-08,0.0
1944,6.7476911169706e-08,0.0
1945,8.931866801731303e-08,0.0
1946,8.491873604299371e-08,0.0
1947,7.033313909055039e-08,1.1920870957027319e-09
1948,7.284165093324191e-08,1.0871887834440486e-09
1949,1.0504199110528134e-07,9.817008317369869e-10
1950,9.997239658332546e-08,0.0
1951,7.462980988748313e-08,1.0661401761424827e-09
1952,7.065018792218325e-08,0.0
1953,8.834538789415092e-08,1.0773827385790469e-09
1954,9.772536357921524e-08,0.0
1955,7.696198167650437e-08,0.0
1956,7.325758843990116e-08,0.0
1957,7.951533831374036e-08,1.7670075402875796e-09
1958,1.0588471877071015e-07,8.272243445794913e-10
1959,1.147110708643595e-07,7.750747821333448e-10
1960,1.0934916616633927e-07,0.0
1961,1.208979654165887e-07,6.948159270159238e-10
1962,1.0020291230095069e-07,6.341956404476434e-10
1963,1.2285501371778196e-07,0.0
1964,1.0890303059341022e-07,6.083968329129164e-10
1965,9.028871872374111e-08,1.6416130677043839e-09
1966,1.3626123196441853e-07,1.1078149508847446e-09
1967,1.1191862092641003e-07,0.0
1968,1.1363282267917718e-07,8.982831700699023e-10
1969,1.6077822179161316e-07,0.0
1970,1.1220888965213227e-07,0.0
1971,1.3668137910372025e-07,1.541519245584766e-09
1972,9.747279250404972e-08,5.130146862875051e-10
1973,1.2018784900647006e-07,0.0
1974,1.1644933467502838e-07,1.1251143350321513e-09
1975,1.1080271544727793e-07,5.711480177694739e-10
1976,8.97023753054782e-08,5.713526873840635e-10
1977,1.1636028318662284e-07,1.7630346071939584e-09
1978,1.0396034888504602e-07,0.0
1979,1.3518058494810248e-07,5.851973350345929e-10
1980,1.0972340902526412e-07,1.1370301367108482e-09
1981,1.290412114940409e-07,0.0
1982,9.869928874195466e-08,0.0
1983,1.2188560560844053e-07,0.0
1984,1.2119927816911513e-07,0.0
1985,8.662403350179204e-08,0.0
1986,1.1869081362192446e-07,5.994485463567401e-10
1987,1.1243903230706564e-07,0.0
1988,1.1513382958128204e-07,5.996553809062277e-10
1989,1.081160050375729e-07,0.0
1990,1.0243464032555494e-07,0.0
1991,1.4419204319437995e-07,0.0
1992,1.261777242689277e-07,0.0
1993,1.4401939552044496e-07,0.0
1994,1.392580628034601e-07,0.0
1995,1.3068106330393903e-07,0.0
1996,1.3825658817800957e-07,5.338092190498855e-10
1997,1.3809295751343598e-07,1.438468344439059e-09
1998,1.273090529663179e-07,0.0
1999,1.1973926819508485e-07,4.570201161957499e-10
2000,1.2900652468506024e-07,0.0
2001,1.4501810649547586e-07,4.3812117822561447e-10
2002,1.458946771171199e-07,0.0
2003,1.1917399689309605e-07,0.0
2004,1.0791738649928995e-07,4.404791253964646e-10
2005,1.2520423808837222e-07,4.5037495954858286e-10
2006,1.3341963372992538e-07,4.1178899179428186e-10
2007,1.2302997234869828e-07,1.1983438685803094e-09
2008,1.404955156658616e-07,4.257439678578834e-10
2009,1.106220679503167e-07,0.0
2010,1.4596520259146928e-07,0.0
2011,1.4837010553492291e-07,1.529588788962144e-09
2012,1.6919136669457657e-07,3.404252713057332e-10
2013,1.333201732900413e-07,1.6734750252211938e-09
2014,1.628414716958737e-07,0.0
2015,1.5737685661598722e-07,0.0
2016,1.4665088032828066e-07,2.0713400439298368e-10
2017,1.6024444052242792e-07,5.031222660711876e-10
2018,1.520483915995463e-07,7.744400121190154e-10
2019,1.4234511414024098e-07,7.65296326310505e-10
