year,voudraient_VERB étendre_VERB
2006,2.4707338397433887e-09
2007,1.997239706952314e-09
2008,1.2772318758180745e-09
2009,4.291373478793048e-09
2010,5.196172381261022e-09
2011,2.2943831279320648e-09
2012,6.808505426114664e-10
2013,2.2313000336282585e-09
2014,2.165445156521173e-09
2015,1.5516027351836215e-09
2016,1.6570720351438695e-09
2017,1.509366853724714e-09
2018,1.290733298020541e-09
2019,1.02039510174734e-09
