year,tout_DET doute_NOUN
1939,2.829399434745028e-07
1940,3.7276007880393536e-07
1941,2.9810176194189353e-07
1942,3.398317103275872e-07
1943,2.1483940360056408e-07
1944,3.245318076494641e-07
1945,2.875625222387157e-07
1946,1.962875630923122e-07
1947,2.467620281443317e-07
1948,1.9351959856805934e-07
1949,2.297179886312506e-07
1950,2.2546965894321147e-07
1951,2.2282329981138105e-07
1952,2.0246023346714992e-07
1953,2.2409561051262017e-07
1954,2.882898044731519e-07
1955,2.6467414038222614e-07
1956,1.8052763639531122e-07
1957,2.138079064906151e-07
1958,1.9439771836715636e-07
1959,1.5036450129457535e-07
1960,1.854783331367571e-07
1961,1.827365929685243e-07
1962,2.1689490292686742e-07
1963,1.998010477066714e-07
1964,1.7886867231808878e-07
1965,2.0793764443638452e-07
1966,1.8611290641956657e-07
1967,2.055949961388137e-07
1968,1.91783462444306e-07
1969,2.416215183487225e-07
1970,2.846610742679445e-07
1971,1.865238292708682e-07
1972,1.8827639669538598e-07
1973,2.3100323431890502e-07
1974,2.6383931261975135e-07
1975,2.1932083438258587e-07
1976,2.6110817596958213e-07
1977,2.2860681392344873e-07
1978,2.388117787965882e-07
1979,2.820651106016925e-07
1980,3.723773778219197e-07
1981,2.827520515502613e-07
1982,3.122373595232375e-07
1983,3.214495905012882e-07
1984,3.14306246362861e-07
1985,2.70098542642927e-07
1986,3.296967081567459e-07
1987,3.0798515560093165e-07
1988,3.400045889279113e-07
1989,3.7483875381383314e-07
1990,4.2390503773859223e-07
1991,4.677449103596132e-07
1992,3.956139966732053e-07
1993,4.4092089979130833e-07
1994,4.3201649102542206e-07
1995,4.0505706522253604e-07
1996,4.7135354463989643e-07
1997,4.430482389849999e-07
1998,5.483348672896682e-07
1999,3.994355886050016e-07
2000,3.7067284885949903e-07
2001,3.991284058812994e-07
2002,4.7185754148415526e-07
2003,4.037748446705791e-07
2004,4.6911025552986985e-07
2005,3.2967447527454397e-07
2006,3.850227114909899e-07
2007,3.391313208034319e-07
2008,3.4698132411747906e-07
2009,2.908597300788074e-07
2010,2.6453240753454565e-07
2011,2.328798927031528e-07
2012,2.2195727877871718e-07
2013,2.4293279388132305e-07
2014,2.4469530224280334e-07
2015,2.3030218709862993e-07
2016,2.545676824894372e-07
2017,2.8577343691438273e-07
2018,2.6640737260663627e-07
2019,2.482111169932466e-07
