year,tout_ADV dans_ADP
1927,2.2086615274474752e-06
1928,1.9812756022474787e-06
1929,1.9517992200235312e-06
1930,1.9358140832537174e-06
1931,1.7370358023072185e-06
1932,1.7918841876962688e-06
1933,1.7102757965403725e-06
1934,1.7025825229666225e-06
1935,1.7832743424150976e-06
1936,1.5871251122234753e-06
1937,1.745128940910945e-06
1938,1.6699196692115947e-06
1939,1.6792866972537013e-06
1940,1.7294039480475476e-06
1941,1.8269801671522146e-06
1942,1.926724522149925e-06
1943,1.8551673264255442e-06
1944,1.8829271084541688e-06
1945,1.9976882015271258e-06
1946,2.0310891386543517e-06
1947,2.263773438926364e-06
1948,1.8275643753895565e-06
1949,1.7042326305727329e-06
1950,1.8952214020373503e-06
1951,1.758065195645031e-06
1952,1.7314568481197057e-06
1953,1.771217171153694e-06
1954,1.9281213496924465e-06
1955,1.8104837806731666e-06
1956,1.8244628279262542e-06
1957,1.6857251807778084e-06
1958,1.5568362243811862e-06
1959,1.8268513031216571e-06
1960,1.8693171455197444e-06
1961,1.9135230502342893e-06
1962,1.9006843672286777e-06
1963,1.798855976176128e-06
1964,1.9395691595036624e-06
1965,2.018636820366737e-06
1966,1.8783003099542839e-06
1967,2.223581390126128e-06
1968,2.079525586395903e-06
1969,1.8280574636264646e-06
1970,1.8275333388828585e-06
1971,1.942314213465579e-06
1972,1.948429769527138e-06
1973,1.7543014223520004e-06
1974,1.6758578453845985e-06
1975,1.6934538393797993e-06
1976,1.806045787589028e-06
1977,1.6454988838177087e-06
1978,1.8344545935633505e-06
1979,1.918862011507372e-06
1980,1.868140515171035e-06
1981,1.8457953103734326e-06
1982,1.980193189865531e-06
1983,1.8244947455059446e-06
1984,2.0174750261503505e-06
1985,1.8714401051056484e-06
1986,1.8906606840118911e-06
1987,1.815523660297913e-06
1988,1.816955830236111e-06
1989,1.8730960675839015e-06
1990,1.932091663547908e-06
1991,1.9419033776557626e-06
1992,1.8651161326488364e-06
1993,1.9907911052996496e-06
1994,1.9179633170551824e-06
1995,2.02474319621615e-06
1996,1.926517512629289e-06
1997,1.9026141160338739e-06
1998,1.934429974426166e-06
1999,2.084468718521748e-06
2000,1.99209043216797e-06
2001,1.8804160504259926e-06
2002,2.1209492899743054e-06
2003,2.078877798794565e-06
2004,2.0195967351810395e-06
2005,2.0253361583399965e-06
2006,2.131831564611275e-06
2007,2.205751542305734e-06
2008,2.218126098796347e-06
2009,2.362639321518145e-06
2010,2.50313792093948e-06
2011,2.443135713292577e-06
2012,2.7162531637259235e-06
2013,2.7026621864933986e-06
2014,2.964927432458353e-06
2015,2.9030488235548546e-06
2016,3.06972589214638e-06
2017,2.9679183057851333e-06
2018,3.19120908898185e-06
2019,3.204550921509508e-06
