year,profond_ADJ dégoût_NOUN
1998,5.531029856342684e-08
1999,6.215473291604212e-08
2000,5.74344092285628e-08
2001,5.9584479572549753e-08
2002,6.834705601477253e-08
2003,7.917153510561548e-08
2004,7.796480616661938e-08
2005,8.557124431263219e-08
2006,8.771105797222845e-08
2007,7.829179793361618e-08
2008,8.642602722375159e-08
2009,1.049002378294972e-07
2010,1.2895955592284736e-07
2011,1.1930792709335947e-07
2012,1.2936160942444985e-07
2013,1.8352443476032931e-07
2014,1.6890471954411623e-07
2015,1.759960923664039e-07
2016,1.9180609456270759e-07
2017,1.6452098350328015e-07
2018,1.8922150957223494e-07
2019,1.7805894003686262e-07
