year,était_VERB banal_ADJ
1913,1.4318072061314524e-08
1914,2.5447626228469744e-08
1915,8.246533234057551e-09
1916,3.076489463182952e-08
1917,2.7416060532914344e-08
1918,1.033773866510046e-08
1919,1.5653341733923298e-08
1920,6.057785384427916e-09
1921,1.060184651180407e-08
1922,1.2542490601674672e-08
1923,2.441668023323018e-08
1924,2.3204924204378585e-08
1925,1.9796720707176974e-08
1926,2.3406890647947876e-08
1927,1.7838759802657478e-08
1928,2.170947865920425e-08
1929,1.4482528065684619e-08
1930,1.8906487042613662e-08
1931,2.2810713318222042e-08
1932,2.301502632917618e-08
1933,6.882397318719313e-09
1934,1.0783422155213884e-08
1935,1.0771455727365264e-08
1936,1.9399543305098632e-08
1937,1.6368453259474336e-08
1938,1.6854778905894818e-08
1939,9.176430282309411e-09
1940,7.607348528892999e-09
1941,4.7224041566096275e-08
1942,6.068423541449874e-09
1943,2.0322646676618206e-08
1944,3.2131861615880553e-09
1945,2.6142048525912287e-08
1946,3.3410650246423756e-08
1947,2.3841742802233057e-08
1948,2.6092530802657166e-08
1949,9.817008539414473e-09
1950,2.9779013033248702e-08
1951,1.8124383771578323e-08
1952,2.4253049346611988e-08
1953,2.477980309834038e-08
1954,1.6613311615287785e-08
1955,1.595553378308523e-08
1956,2.0930739808022736e-08
1957,2.2087593976038988e-08
1958,2.0680609225109947e-08
1959,1.8601795659378695e-08
1960,2.2838749558218296e-08
1961,2.848745239703021e-08
1962,2.7904608401740916e-08
1963,3.814971449855875e-08
1964,2.3727476872181796e-08
1965,2.3529786119524942e-08
1966,2.3818021332999706e-08
1967,2.267954357648705e-08
1968,2.5601069708613977e-08
1969,2.997560244466513e-08
1970,2.0234390163409444e-08
1971,2.1067430466814585e-08
1972,2.1546616935097518e-08
1973,2.0398854161385316e-08
1974,2.2502286256553816e-08
1975,1.9990180177842376e-08
1976,1.9997344224975677e-08
1977,2.52701610747863e-08
1978,1.900989232694883e-08
1979,1.6970723493159312e-08
1980,2.4446148216838992e-08
1981,2.1506869174459098e-08
1982,1.738100685599875e-08
1983,1.515675762675528e-08
1984,2.667543874679268e-08
1985,2.5866899733273385e-08
1986,2.6375735373562748e-08
1987,3.177624918748734e-08
1988,4.9171742233511395e-08
1989,2.359892548042808e-08
1990,3.214704236143007e-08
1991,2.7548885839223658e-08
1992,2.8100714644097025e-08
1993,2.4372512896775334e-08
1994,3.164955941770131e-08
1995,2.060531301140145e-08
1996,2.2419987644184403e-08
1997,2.5892429533769246e-08
1998,2.3840646790063147e-08
1999,1.5995704316651427e-08
2000,1.8113929911578452e-08
2001,1.9277331730904734e-08
2002,2.6287329646379476e-08
2003,1.8334461060476315e-08
2004,2.114299846311951e-08
2005,1.8465373230469595e-08
2006,2.388376074691223e-08
2007,2.915970043204652e-08
2008,3.1079309792403365e-08
2009,2.6701878041990312e-08
2010,3.4011311100812236e-08
2011,4.0916500410048684e-08
2012,4.4595712012096556e-08
2013,3.7374274342028e-08
2014,4.872251579968179e-08
2015,3.768178302721026e-08
2016,3.4798514292333493e-08
2017,3.496699818583693e-08
2018,4.2594201943302323e-08
2019,3.4948531180134523e-08
