year,grand_ADJ office_NOUN
2004,2.5107309481464668e-08
2005,1.8465373119447293e-08
2006,2.0177659931785996e-08
2007,1.837460603115737e-08
2008,1.532678292615053e-08
2009,1.907277047408229e-08
2010,1.1809482836078189e-08
2011,1.759027118408696e-08
2012,1.5999987418302553e-08
2013,2.8170162869045612e-08
2014,2.1004818190339947e-08
2015,2.0614150594844283e-08
2016,2.6098884498004793e-08
2017,2.3646746005745456e-08
2018,1.368177315885788e-08
2019,1.7091617121600677e-08
