year,tout_DET os_NOUN
1891,3.824531802365527e-09
1892,1.5044429257926595e-08
1893,1.1700991509044911e-08
1894,1.8904617871129403e-09
1895,4.814891596538473e-09
1896,5.307326078618502e-09
1897,1.3401440845939305e-08
1898,4.52668391659472e-09
1899,3.3165470370022376e-09
1900,9.34389543516545e-09
1901,1.2854099340486869e-08
1902,7.365425824801264e-09
1903,4.860198465905796e-09
1904,1.827372564378038e-08
1905,9.28936660926638e-09
1906,1.5432552735727967e-08
1907,7.199980611716228e-09
1908,6.3848057951787496e-09
1909,5.500983391026892e-09
1910,3.2064905175488434e-09
1911,8.512598514975878e-09
1912,1.1981668546212632e-08
1913,1.6969566307700745e-08
1914,2.74566485103378e-08
1915,2.3561523843085297e-09
1916,8.789969641043172e-09
1917,1.0966424435210342e-09
1918,3.44591288836682e-09
1919,2.1178051534676e-08
1920,1.0601124422748853e-08
1921,9.087297137000405e-09
1922,2.3609394439461084e-08
1923,3.1847844361720945e-09
1924,1.0313299436681689e-08
1925,1.3197813286680571e-08
1926,1.2260752413340015e-08
1927,1.0034302388994831e-08
1928,5.713020612141406e-09
1929,7.798284462623428e-09
1930,9.453243521306831e-09
1931,1.1405356659111021e-08
1932,3.2878609834696704e-09
1933,1.9500125958415992e-08
1934,5.990790086229936e-09
1935,4.787313656606784e-09
1936,1.091224310911798e-08
1937,1.7627565185307503e-08
1938,1.5558256905023882e-08
1939,2.5999884911698246e-08
1940,5.0715658339584024e-09
1941,2.066051907334554e-08
1942,9.102635090130207e-09
1943,1.1612940831184915e-08
1944,9.639558484764166e-09
1945,0.0
1946,9.744772988540262e-09
1947,1.549713246618012e-08
1948,1.9569398101992874e-08
1949,8.835307596655184e-09
1950,6.381216888229346e-09
1951,3.0918064553020486e-08
1952,8.435843135146115e-09
1953,8.619062019654677e-09
1954,9.772536113672459e-10
1955,5.631364707880948e-09
1956,4.360570571293465e-09
1957,3.534015080575159e-09
1958,1.6544486891589827e-09
1959,3.1002992395556817e-09
1960,1.038124963770315e-08
1961,6.25334317660986e-09
1962,8.244543381330516e-09
1963,7.112658795271898e-09
1964,1.0951143047943646e-08
1965,8.208065005455012e-09
1966,8.308612020613282e-09
1967,5.423369309198733e-09
1968,3.1439910674890825e-09
1969,4.995933444718048e-09
1970,5.518470125309705e-09
1971,4.624557736754298e-09
1972,5.130146973897354e-09
1973,7.718485517393958e-09
1974,7.875800456247362e-09
1975,1.028066431985053e-08
1976,3.999468700666142e-09
1977,2.9383909749824966e-09
1978,5.940591241149207e-09
1979,5.851973128301324e-09
1980,4.548120546843393e-09
1981,6.958104314946922e-09
1982,6.20750217894539e-09
1983,3.157658134966823e-09
1984,8.118611782848006e-09
1985,5.414002135495366e-09
1986,4.196139935519483e-09
1987,6.110816741511371e-09
1988,3.5979323409485175e-09
1989,3.2928733073589456e-09
1990,1.089730194969718e-09
1991,1.7584396161396398e-09
1992,3.30596661157756e-09
1993,2.7696036575264316e-09
1994,3.1649559639745917e-09
1995,2.1689803286761844e-09
1996,4.270473752399084e-09
1997,1.917957792585412e-09
1998,1.43043876743576e-09
1999,5.941261538300324e-09
2000,3.976228346580513e-09
2001,3.5049695090716426e-09
2002,4.81934359086722e-09
2003,5.000307501390466e-09
2004,3.0833539332864035e-09
2005,1.8014998381943315e-09
2006,4.529678965248252e-09
2007,5.192823282484937e-09
2008,5.108927503272298e-09
2009,4.291373256748443e-09
2010,2.3618964561933353e-09
2011,8.030341169806832e-09
2012,4.085103200157647e-09
2013,3.068037435216553e-09
2014,4.980523993225461e-09
2015,7.314698985405599e-09
2016,5.178350026557865e-09
2017,4.276539400382973e-09
2018,6.195519930418669e-09
2019,5.101975619759003e-09
