year,trop_ADV in_ADJ,trop_ADV fine_ADJ
1876,9.67362345782874e-09,1.2152489214933837e-07
1877,1.9172929910382663e-08,8.967982978447253e-08
1878,1.9325083755461492e-08,8.756678226973236e-08
1879,1.0385853066452455e-08,9.774920783911512e-08
1880,1.1552122813895949e-08,5.904418642899145e-08
1881,1.2550513517339823e-08,7.739483720570206e-08
1882,8.652000893505374e-09,7.853354655473765e-08
1883,8.21514056781325e-09,7.140852886777793e-08
1884,1.3203393933736152e-08,5.677459480324387e-08
1885,9.023890079618013e-09,9.668453426758816e-08
1886,1.0970888586481209e-08,1.0454611754084908e-07
1887,1.1099172247952538e-08,1.0250411719425756e-07
1888,1.6485598663962264e-08,8.686642316568793e-08
1889,7.51816386923565e-09,8.457934708161474e-08
1890,7.209825181320184e-09,9.307228987509575e-08
1891,1.3385862196457765e-08,1.0135009631540015e-07
1892,1.002961980134387e-08,1.3853412417219602e-07
1893,1.539604177480669e-08,1.213208094541507e-07
1894,5.671385139294216e-09,1.1909909014562459e-07
1895,1.2639090662958097e-08,1.1977043090638517e-07
1896,1.6511680911435178e-08,1.0968474062345024e-07
1897,1.6314798068073344e-08,1.0604618694287637e-07
1898,1.6975064909274806e-08,9.619203256150399e-08
1899,8.844125432005967e-09,9.894365149420992e-08
1900,1.349673794948103e-08,9.291984781611973e-08
1901,7.824234593556412e-09,1.1065702709700531e-07
1902,8.347482705062248e-09,1.2373914959340482e-07
1903,6.480264325148255e-09,8.586350475070503e-08
1904,5.374625189347171e-09,8.008191176855917e-08
1905,9.805441791854719e-09,1.3779227003851702e-07
1906,8.745113966313056e-09,1.1677298772383438e-07
1907,8.228549397415463e-09,8.331406498029992e-08
1908,5.893666887857307e-09,9.380753351884152e-08
1909,1.1552065082298668e-08,1.1387035997456607e-07
1910,1.4963621453034648e-08,1.2986285802263353e-07
1911,1.0108711201439746e-08,1.1598415916580507e-07
1912,5.2094213387476884e-09,1.1981668812666157e-07
1913,6.363587878865928e-09,9.121142519052938e-08
1914,8.705766774141921e-09,1.3326519321399388e-07
1915,4.712304768617059e-09,1.0367070735206596e-07
1916,7.69122365795738e-09,6.922100936890274e-08
1917,7.676496771580332e-09,8.882803825827068e-08
1918,6.89182577673364e-09,1.1601240146319469e-07
1919,6.4454939163738345e-09,1.3811772170413406e-07
1920,6.057785384427916e-09,1.196412595660945e-07
1921,7.572747762196741e-09,1.3933854564607273e-07
1922,6.640141769764796e-09,1.5715003232052993e-07
1923,2.1231896241147297e-09,1.1677543199084539e-07
1924,1.1602462102189293e-08,1.4567535433496204e-07
1925,8.798542339150117e-09,1.3637740892136208e-07
1926,5.57306911730393e-09,1.482436413624555e-07
1927,7.804457524684949e-09,1.3936531484404213e-07
1928,6.8556245125250825e-09,1.1426040913420366e-07
1929,1.1140406375176326e-09,1.3034275525569683e-07
1930,1.1553964007759987e-08,1.1869072125136881e-07
1931,7.983749661377715e-09,1.2203732246973686e-07
1932,6.575722188983946e-09,1.4028206696270473e-07
1933,1.0323596200123575e-08,1.2273608018809057e-07
1934,4.7926320689839486e-09,1.1622132589650391e-07
1935,3.590485242455088e-09,1.1010821499013446e-07
1936,6.0623572828433225e-09,1.1639725983059179e-07
1937,3.777335333410292e-09,1.1835651203551123e-07
1938,5.186085783037697e-09,1.1798344945468386e-07
1939,6.117620188206274e-09,9.176430548762937e-08
1940,1.5214697057785997e-08,7.60734906180005e-08
1941,0.0,1.2396310467011062e-07
1942,3.034211770724937e-09,7.888950648293758e-08
1943,0.0,1.567747038855316e-07
1944,1.2852744646352221e-08,1.317406344014671e-07
1945,0.0,9.803267886354661e-08
1946,5.568441707737293e-09,9.605561590575462e-08
1947,5.960435700558264e-09,1.3589793490531576e-07
1948,9.784699273041042e-09,1.435089147516777e-07
1949,9.817008317369869e-10,1.3056620895568471e-07
1950,1.0635361480382244e-09,1.425138407284976e-07
1951,7.462981344019681e-09,1.0554787888139572e-07
1952,1.2653764258629963e-08,1.0228459446093296e-07
1953,5.386913581872932e-09,1.045061281956805e-07
1954,9.772536557761669e-09,1.583150841533154e-07
1955,2.815682353940474e-09,1.210743416635296e-07
1956,4.360570571293465e-09,8.721141675493982e-08
1957,7.068030161150318e-09,9.630191188936266e-08
1958,7.445019267748876e-09,1.1663863430655397e-07
1959,7.750747821333448e-10,1.1393599008702182e-07
1960,1.3841666701708277e-09,1.141937484572253e-07
1961,2.08444772553662e-09,1.1394980914403163e-07
1962,5.0735651235811474e-09,9.956871666050304e-08
1963,5.819448034571906e-09,9.117134736058574e-08
1964,4.867174663303331e-09,1.0525265259353489e-07
1965,7.660860390501512e-09,9.740237061350854e-08
1966,2.769537488234164e-09,1.0191897881206557e-07
1967,3.944268467392931e-09,1.1389075144085936e-07
1968,4.940557296606585e-09,1.104888281977523e-07
1969,4.087581828571274e-09,8.583922317395576e-08
1970,5.978342709767048e-09,7.817832639589462e-08
1971,4.624557625731995e-09,8.375587556841424e-08
1972,2.0520587451500205e-09,9.388168953350373e-08
1973,2.7566018356850464e-09,7.167164600696552e-08
1974,5.625571675160757e-10,9.225937619428137e-08
1975,2.2845920710778955e-09,7.082235242705792e-08
1976,3.9994687561772935e-09,8.113208227467084e-08
1977,1.1753563677885381e-09,6.111853112500398e-08
1978,2.970295565063452e-09,7.366333520941737e-08
1979,2.3407893401383717e-09,8.426841313635691e-08
1980,4.548120602354544e-09,8.698280412611226e-08
1981,6.325549528618524e-10,6.515316208766109e-08
1982,5.586752171993226e-09,9.807853362797658e-08
1983,4.420721011477724e-09,8.336216938964469e-08
1984,4.639206796497319e-09,9.800324018982565e-08
1985,3.0077789148208467e-09,7.699914628123139e-08
1986,4.196139880008332e-09,8.032610598895928e-08
1987,1.8332451112712533e-09,8.066278178731068e-08
1988,5.996553809062277e-10,8.335209844556601e-08
1989,1.6464366536794728e-09,8.726114231194515e-08
1990,5.44865097484859e-10,5.884543230472161e-08
1991,1.1722930404189924e-09,7.502675281045867e-08
1992,3.30596661157756e-09,8.375115051473259e-08
1993,1.1078414852150331e-09,8.530379358440143e-08
1994,1.0549853213248639e-09,7.068401641774358e-08
1995,5.4224509327127635e-09,8.675921225886896e-08
1996,1.067618438099771e-09,8.434185438943587e-08
1997,1.438468344439059e-09,7.480035735252244e-08
1998,1.43043876743576e-09,7.485963104958415e-08
1999,3.656160929565999e-09,6.946705932708852e-08
2000,1.3254094488601709e-09,6.53868695854598e-08
2001,2.190605918883648e-09,6.44038143648995e-08
2002,1.752488598683044e-09,6.352771464435136e-08
2003,8.333845835650777e-10,6.417061532149049e-08
2004,1.3214374039449694e-09,6.739330871141647e-08
2005,1.8014998381943315e-09,7.701411619542853e-08
2006,8.235779835885637e-10,7.576917138152339e-08
2007,2.3966877371606188e-09,8.148737928870275e-08
2008,2.1287198670449925e-09,9.110920595745142e-08
2009,3.814554005998616e-09,1.0394659488710545e-07
2010,2.3618964561933353e-09,1.351004876859463e-07
2011,3.4415748029203996e-09,1.5640045591958085e-07
2012,2.0425516833455504e-09,1.7327646861797774e-07
2013,2.7891249310130206e-09,1.651161964932868e-07
2014,5.630157673408576e-09,1.981382391491593e-07
2015,1.10828768384863e-09,1.7776934413404888e-07
2016,1.0356699942093428e-09,1.7668531127057463e-07
2017,1.0062445598979508e-09,1.5546478460137791e-07
2018,2.5814667070633845e-10,1.9515888771692858e-07
2019,1.7856913725466939e-09,1.7372226723821882e-07
