year,certain_ADJ doute_NOUN
1909,9.021613323056954e-08
1910,9.779795817621562e-08
1911,7.022893555586052e-08
1912,1.0106277414934084e-07
1913,8.696903108784682e-08
1914,7.835190274363413e-08
1915,7.539687629787295e-08
1916,4.9443578120644815e-08
1917,4.7155623406069935e-08
1918,4.135095466040184e-08
1919,7.642513821792818e-08
1920,7.572231908170579e-08
1921,6.891200143854803e-08
1922,7.673052948575787e-08
1923,7.218844899625765e-08
1924,1.1086797258030856e-07
1925,8.35861513337477e-08
1926,7.80229711949687e-08
1927,5.686104742608222e-08
1928,8.6837914636817e-08
1929,7.01845621620123e-08
1930,9.24317120620799e-08
1931,7.755642172924126e-08
1932,6.904507898752854e-08
1933,1.0094182556485976e-07
1934,1.0423974572404404e-07
1935,7.659701850570855e-08
1936,1.0184760412812466e-07
1937,7.051026074123001e-08
1938,1.3224519079813035e-07
1939,1.1317597170545923e-07
1940,8.875240098404902e-08
1941,2.0660517918713595e-07
1942,1.6384743162234372e-07
1943,1.6548440839869727e-07
1944,1.8636480092482088e-07
1945,9.585417615198821e-08
1946,9.32713959400644e-08
1947,9.775114051535638e-08
1948,1.1198044802540608e-07
1949,9.620668350862616e-08
1950,7.87016745107394e-08
1951,1.0021717855579482e-07
1952,1.1704732116868399e-07
1953,1.023513576114965e-07
1954,1.1531592747360264e-07
1955,8.447047150639264e-08
1956,9.069987072507502e-08
1957,1.0248643889099185e-07
1958,9.016745394774262e-08
1959,8.060777645368944e-08
1960,6.644000194455657e-08
1961,8.546236074380431e-08
1962,6.785893447158742e-08
1963,6.401392482757728e-08
1964,6.935724172763003e-08
1965,7.058935835857483e-08
1966,7.699313897546745e-08
1967,8.874604162656397e-08
1968,7.994719908310799e-08
1969,8.084328584345712e-08
1970,8.047769028962648e-08
1971,8.632508041728215e-08
1972,7.849124727954404e-08
1973,6.615844228008427e-08
1974,6.525662854528491e-08
1975,6.853775857962319e-08
1976,7.370449850441219e-08
1977,6.346924408262566e-08
1978,6.475244873627162e-08
1979,7.549045477617256e-08
1980,7.33384410978033e-08
1981,4.680906684484398e-08
1982,6.517877437772768e-08
1983,6.378468953016636e-08
1984,6.030968791037594e-08
1985,4.4515129360434e-08
1986,5.095312616276715e-08
1987,4.460896363411848e-08
1988,6.896036808257122e-08
1989,7.299202309241082e-08
1990,5.339677855431546e-08
1991,5.0994746203514296e-08
1992,4.683452559106627e-08
1993,4.929894714678085e-08
1994,4.641935547056164e-08
1995,5.1513282528503623e-08
1996,4.003569031851839e-08
1997,3.6441196726855196e-08
1998,4.386678753576234e-08
1999,4.8901153348879234e-08
2000,3.534425019324772e-08
2001,4.425023902854264e-08
2002,4.4250338504525644e-08
2003,3.708561280291178e-08
2004,3.4357370282123156e-08
2005,4.098412276221097e-08
2006,4.2414267653612114e-08
2007,3.9545348329284025e-08
2008,4.853481172517604e-08
2009,2.9562793102400065e-08
2010,2.739800031292816e-08
2011,2.562061141020422e-08
2012,2.519147024315771e-08
2013,2.900689999307815e-08
2014,3.074932308777534e-08
2015,2.46039864038039e-08
2016,2.796309139796449e-08
2017,2.3395186232733067e-08
2018,2.220061290358899e-08
2019,2.0663000199760972e-08
