year,mon_DET essai_NOUN,mon_DET décès_NOUN
1879,1.6189712359615527e-07,2.840836259565549e-07
1880,2.2719174985752488e-07,3.946975368762651e-07
1881,2.92845318272672e-07,1.854687070590444e-07
1882,1.83688628530021e-07,3.241172521484259e-07
1883,2.015869153826344e-07,1.8515663668949855e-07
1884,1.9805090811786386e-07,2.5152465354949527e-07
1885,2.6878301051525e-07,2.2495268581224082e-07
1886,2.3748747501883827e-07,2.800803429181542e-07
1887,1.834627849639503e-07,2.1871898070457974e-07
1888,2.498202247291914e-07,1.775372169277034e-07
1889,1.9421923774798344e-07,1.8732758633177582e-07
1890,1.5664983887830886e-07,2.071186173679962e-07
1891,1.625426100382299e-07,2.524191131669795e-07
1892,1.8178685845526843e-07,3.510367037051765e-07
1893,1.6566140215168446e-07,2.3217229738747847e-07
1894,1.5123694296903523e-07,2.1551264239860757e-07
1895,1.9199380107970399e-07,2.1305895359091664e-07
1896,1.6452711149028687e-07,2.7008391612071136e-07
1897,2.254938169521381e-07,1.9927360028759722e-07
1898,1.5334141278966484e-07,1.8955488201299886e-07
1899,1.5753598781031997e-07,1.525611708075303e-07
1900,1.2095154122704344e-07,2.3671202598052332e-07
1901,1.7548640096620716e-07,1.7883964176235168e-07
1902,1.2079298139511252e-07,1.7677021446615981e-07
1903,1.236650426506003e-07,1.6308665351516538e-07
1904,1.709130836857753e-07,9.083116765395971e-07
1905,1.527584623239875e-07,2.0849466864092392e-07
1906,1.234604273814277e-07,1.6615716447176965e-07
1907,1.4297104433680374e-07,2.247422514756181e-07
1908,1.4341255738514747e-07,1.8908848176124593e-07
1909,1.556778324030006e-07,3.00903792549434e-07
1910,2.1269719674421594e-07,1.5658361007808708e-07
1911,1.4205398990441154e-07,1.7770049964838108e-07
1912,1.7868315005387103e-07,1.3596589099051926e-07
1913,1.7711986061152984e-07,1.468928161330041e-07
1914,1.2522910530776699e-07,1.0781757708855366e-07
1915,1.425472211380452e-07,1.2958838624399505e-07
1916,2.0656428123544401e-07,1.274545553542339e-07
1917,1.6888293519201625e-07,8.55381117048637e-08
1918,9.993147376263778e-08,8.844509835626013e-08
1919,1.399592940432015e-07,1.583749877909213e-07
1920,8.708066401297287e-08,1.3251406016934197e-07
1921,1.0601846361923961e-07,1.264648830101578e-07
1922,1.18046971309127e-07,6.935259477813815e-08
1923,1.6985517037326758e-07,6.581888101209188e-08
1924,1.2891624701083515e-07,7.219309594574952e-08
1925,1.6387285484142922e-07,7.588742789721437e-08
1926,1.5381671270020547e-07,1.092321539886143e-07
1927,1.4493992406272582e-07,1.2933101345424802e-07
1928,1.67962803665489e-07,2.856510263882228e-07
1929,1.3034275214707236e-07,1.0249173953980062e-07
1930,1.1133820010389428e-07,8.192810696527886e-08
1931,1.3914535035297604e-07,1.2888052935977612e-07
1932,1.402820695162177e-07,8.87722464426588e-08
1933,1.7205993363411665e-07,2.1450138376621908e-07
1934,2.00092387103723e-07,1.0304158593044122e-07
1935,1.316511273330434e-07,1.48406726907524e-07
1936,1.285219766167245e-07,1.8793308242948115e-07
1937,1.3850229718670448e-07,7.932404599841902e-08
1938,1.737338760632312e-07,9.723910920911294e-08
1939,1.988226596694176e-07,8.564668263488784e-08
1940,1.876479363005501e-07,1.1918179865233469e-07
1941,1.6233264155118832e-07,1.2396310467011062e-07
1942,7.88895078152052e-08,9.102635090130207e-08
1943,1.1322617532449897e-07,1.2774235358392616e-07
1944,1.3816700317192954e-07,1.6708568750800623e-07
1945,1.5031677902399565e-07,1.1546071476686848e-07
1946,1.5870059044686968e-07,7.65660743695662e-08
1947,2.849088112100162e-07,7.152522840669917e-08
1948,1.837349081768025e-07,8.588791189367839e-08
1949,1.1289559376237435e-07,5.104844191805569e-08
1950,9.890886243368868e-08,4.4668517773516214e-08
1951,1.6738401076299425e-07,7.462980988748313e-08
1952,1.3181004754336811e-07,1.1915628306269355e-07
1953,1.0558350949096962e-07,4.8482224457302436e-08
1954,1.6320135554082071e-07,4.29991580119804e-08
1955,1.4547692162025783e-07,1.2858282616434735e-07
1956,8.982775501209517e-08,8.982775767663043e-08
1957,1.5638016825914036e-07,7.509782307124624e-08
1958,1.0092136593087275e-07,6.286904863372911e-08
1959,1.201365936731591e-07,6.588135903484726e-08
1960,1.093491630577148e-07,4.775375117560543e-08
1961,1.2993057713073242e-07,4.168895628708924e-08
1962,9.956871771521492e-08,1.0020291085766075e-07
1963,1.7716985734050894e-07,5.237503231114715e-08
1964,1.411480634039286e-07,5.41473177406715e-08
1965,1.3023463063532859e-07,7.332538132232003e-08
1966,1.2795262371856353e-07,7.090015685662365e-08
1967,1.2670962012961695e-07,5.916402656680475e-08
1968,1.4821672242315564e-07,8.533690021295115e-08
1969,1.1536064986605865e-07,6.63096670905361e-08
1970,1.6877320896391268e-07,8.093756065363777e-08
1971,1.3976441515239912e-07,6.320228607137324e-08
1972,1.4056602903878002e-07,7.336110030564669e-08
1973,1.5547234788471087e-07,6.836372534735347e-08
1974,1.1194887328258574e-07,3.600365872102884e-08
1975,1.4107355950088163e-07,5.197447094928975e-08
1976,1.1941271171878043e-07,5.370715427943651e-08
1977,1.7160202947508196e-07,5.230335986539103e-08
1978,1.3841577661821702e-07,6.891085746474346e-08
1979,1.2172104613128454e-07,6.437170441131457e-08
1980,1.2962143847161656e-07,4.207011627954671e-08
1981,1.6889217668847323e-07,8.412980889715982e-08
1982,1.3097829543173845e-07,4.8418517195614186e-08
1983,2.027216433608814e-07,5.304865524635716e-08
1984,1.0902135977319816e-07,6.088959025873919e-08
1985,1.509905116492405e-07,1.1429560231590585e-07
1986,1.6724614049223874e-07,8.152500186042744e-08
1987,1.607144799464777e-07,4.888653393209097e-08
1988,1.5710970829863058e-07,6.65617463369017e-08
1989,1.4982573182109604e-07,5.2137160366783064e-08
1990,1.7653629713620944e-07,1.0515896065044217e-07
1991,1.541565284313151e-07,9.554188551419429e-08
1992,1.5427843669257868e-07,4.848750734254281e-08
1993,1.5509781192690753e-07,5.206855036021807e-08
1994,1.608852615575529e-07,4.958431176760314e-08
1995,2.0605312833765765e-07,5.097103894513566e-08
1996,1.612103781578611e-07,5.071187558769452e-08
1997,1.3617500327356424e-07,7.384137745702901e-08
1998,1.6640771516307495e-07,9.107127141305682e-08
1999,1.64984257283729e-07,8.317766031495921e-08
2000,1.6655978474222621e-07,4.771473882669852e-08
2001,1.515899255011277e-07,7.27281133094948e-08
2002,1.507140243717231e-07,4.8631559224077137e-08
2003,1.8459468575926508e-07,6.917092321145901e-08
2004,1.7575117255974604e-07,9.382205234942376e-08
2005,1.6393647950252443e-07,8.827349518014671e-08
2006,1.7130421703370757e-07,7.453380845845459e-08
