year,un_DET ecrit_NOUN
1925,4.399271169575059e-09
1926,2.6750731407787498e-08
1927,8.919379901328739e-09
1928,1.9424270192303084e-08
1929,5.570202965543558e-09
1930,2.100720764008912e-08
1931,2.5091784650044247e-08
1932,2.7398840862780105e-08
1933,2.1794257953899887e-08
1934,9.585264137967897e-09
1935,9.574627313213568e-09
1936,8.487300195980652e-09
1937,1.8886677333185276e-08
1938,1.2965214679638848e-08
1939,2.5999885799876665e-08
1940,3.0429395003750415e-08
1941,3.24665290207804e-08
1942,6.068423541449874e-09
1943,1.161294105322952e-08
1944,1.2852744646352221e-08
1945,6.535512131478072e-09
1946,1.6705325123211878e-08
1947,1.4305044926388177e-08
1948,1.9569397657903664e-08
1949,1.1780409536754632e-08
1950,3.296961992305114e-08
1951,4.477788817514039e-08
1952,2.214408867384776e-08
1953,6.464296653518886e-09
1954,2.247683328349126e-08
1955,1.8771216137025704e-08
1956,1.5698055300106262e-08
1957,2.562161011132602e-08
1958,2.729840264947825e-08
1959,3.4878364751911306e-08
1960,7.612916741450704e-09
1961,3.8909690747157555e-08
1962,2.7904609289919335e-08
1963,6.466053026343843e-09
1964,3.553037539183457e-07
1965,1.0561043595203046e-07
1966,6.591498946662e-08
1967,3.5794236752373365e-07
1968,4.895643210267586e-08
1969,4.042164386541813e-08
1970,2.138407161622613e-07
1971,4.778709783437307e-08
1972,2.462470422015528e-08
1973,3.583582547372899e-08
1974,2.4752515648263085e-08
1975,1.2565256390928425e-08
1976,1.428381724011274e-08
1977,2.6445518497286713e-08
1978,1.841583285866477e-08
1979,2.633388052064589e-08
1980,2.217208727728348e-08
1981,1.707898361624771e-08
1982,1.5518755502874626e-08
1983,2.9681984869966982e-08
1984,2.1456331211755497e-08
1985,2.6468455871508922e-08
1986,1.7983456113146445e-08
1987,1.588812326147604e-08
1988,1.3192418601981615e-08
1989,1.3720305336306637e-08
1990,2.0160008773473237e-08
1991,2.5204300257986034e-08
1992,2.0937787559294208e-08
1993,3.212740407043668e-08
1994,1.2132331139724783e-08
1995,1.4640617163053093e-08
1996,1.3879039917341629e-08
1997,9.110299625803009e-09
1998,1.3350761496333519e-08
1999,2.924928726999454e-08
2000,1.2812291116937047e-08
2001,1.3581756608260775e-08
2002,3.0230428549327115e-08
2003,1.2084076406182476e-08
2004,1.1011977996133737e-08
2005,1.7114248684890754e-08
2006,1.1118302722934459e-08
2007,9.586751004153626e-09
2008,9.366367237362283e-09
2009,2.2887324480080906e-08
2010,9.919965293647692e-09
2011,9.177532400705957e-09
2012,2.0425516833455504e-09
2013,1.952387529424726e-09
2014,1.7323561474213989e-09
2015,1.5516027906947727e-09
2016,1.8642060950480044e-09
2017,2.012489092040326e-09
2018,2.323320036357046e-09
2019,1.275493877184175e-09
