year,un_DET dentier_NOUN
1928,3.427812511613837e-08
1929,3.230717782187753e-08
1930,4.3064774857271004e-08
1931,7.413481917240006e-08
1932,6.137340458067797e-08
1933,3.4411986149507356e-08
1934,4.193553237996639e-08
1935,6.103824823355808e-08
1936,2.66743711563322e-08
1937,1.6368453259474336e-08
1938,4.408173026604345e-08
1939,2.5999886688055085e-08
1940,2.2822046474857416e-08
1941,5.60785480274717e-08
1942,1.8205270180260413e-08
1943,2.6129116648121453e-08
1944,2.2492303131116387e-08
1945,5.2284098384092204e-08
1946,3.480276244971492e-08
1947,2.503382945384658e-08
1948,1.4133454406817236e-08
1949,3.730463127293859e-08
1950,3.5096692885261405e-08
1951,2.8785785421980847e-08
1952,6.115986184163091e-08
1953,3.878577947702411e-08
1954,5.0817188679275205e-08
1955,5.162084226739694e-08
1956,2.8779767902165077e-08
1957,3.003912896204497e-08
1958,5.3769582231133484e-08
1959,2.5577467255288866e-08
1960,3.252791813679323e-08
1961,4.446821788572919e-08
1962,2.980719493450579e-08
1963,2.9097239173658807e-08
1964,4.197938152650238e-08
1965,2.7360216592331454e-08
1966,2.2710207048248776e-08
1967,3.303324763725968e-08
1968,2.919420249991589e-08
1969,3.270065546123746e-08
1970,2.8971967935831344e-08
1971,2.3636628876388954e-08
1972,2.6676763020816452e-08
1973,3.363054390526088e-08
1974,2.5315072704756858e-08
1975,2.4559364764087377e-08
1976,3.142439908287997e-08
1977,3.173462248540204e-08
1978,4.158413979826747e-08
1979,3.277105242727174e-08
1980,3.638496437474714e-08
1981,3.542307780435294e-08
1982,5.5867520276642324e-08
1983,3.410270710269003e-08
1984,3.421414973558967e-08
1985,3.489023725489204e-08
1986,3.356912015028968e-08
1987,3.0554083263467646e-08
1988,4.197587655241364e-08
1989,4.1709728004768465e-08
1990,4.195461361655717e-08
1991,3.692722927439718e-08
1992,3.085568700544883e-08
1993,2.8249958816672915e-08
1994,3.164955919565671e-08
1995,5.097103716877882e-08
1996,4.003569298305365e-08
1997,3.06873251254558e-08
1998,4.100591122213615e-08
1999,4.615903104188135e-08
2000,3.269343196166119e-08
2001,3.154472344446546e-08
2002,2.803981824506252e-08
2003,3.2918689552019487e-08
2004,4.404791342782488e-08
2005,3.377812296534444e-08
2006,4.73557356661658e-08
2007,5.232768129914689e-08
2008,4.853481269662119e-08
2009,4.768192685133954e-08
2010,6.424358556245124e-08
2011,8.298019138486268e-08
2012,7.795738765636884e-08
2013,9.594590411055037e-08
2014,9.138178480583292e-08
2015,8.821969998962231e-08
2016,8.119652772364816e-08
2017,8.326673661684936e-08
2018,8.441396071035001e-08
2019,8.316220112547512e-08
