year,ses_DET heures_NOUN
1999,1.1791118490478425e-06
2000,1.1106931108173512e-06
2001,1.105379739740897e-06
2002,1.1439369878019079e-06
2003,1.1988237744731123e-06
2004,1.1276265778903394e-06
2005,1.1295404442890344e-06
2006,1.200776680310156e-06
2007,1.2842251724265452e-06
2008,1.3066082846791005e-06
2009,1.4094777216477894e-06
2010,1.4657929536809888e-06
2011,1.5903899190927717e-06
2012,1.7119987054670105e-06
2013,1.6344272548707295e-06
2014,1.8469081859429082e-06
2015,1.923100839906766e-06
2016,1.8592348567381123e-06
2017,1.595652244112955e-06
2018,1.8052196524287467e-06
2019,1.9507403226093345e-06
