year,mêmes_ADJ ailes_NOUN
1874,1.296490239610648e-07
1875,3.432916173551348e-08
1876,2.5997863417615008e-08
1877,1.855444864418132e-08
1878,8.756678226973236e-08
1879,2.3826368433788048e-08
1880,1.0910338410496934e-08
1881,1.8825771164188154e-08
1882,9.317538740560849e-09
1883,5.624211496524367e-08
1884,2.9047466654219534e-08
1885,3.674012205578947e-08
1886,2.452316216761119e-08
1887,1.1752064210668323e-08
1888,8.242799331981132e-09
1889,3.069916942877171e-08
1890,8.520702365899524e-09
1891,2.8046567734918426e-08
1892,1.002961980134387e-08
1893,1.7859408174558666e-08
1894,9.452309157609307e-09
1895,1.6852119699706236e-08
1896,1.2973464080801023e-08
1897,4.8944393427063915e-08
1898,5.6583546736987955e-09
1899,2.2110313580014918e-08
1900,2.180242297811219e-08
1901,8.941982265753268e-09
1902,2.0132164380015638e-08
1903,1.2420506401156217e-08
1904,4.299700151477737e-09
1905,2.838417501038748e-08
1906,9.259531807970234e-09
1907,1.6457098794830927e-08
1908,4.518478036175111e-08
1909,2.2003934674330594e-08
1910,2.6186338430989053e-08
1911,2.128149745317387e-08
1912,4.532196484774431e-08
1913,2.4393752795504042e-08
1914,2.4108278040557707e-08
1915,8.246533234057551e-09
1916,5.383856560570166e-08
1917,3.070598708632133e-08
1918,5.398596769623509e-08
1919,2.4861190439651182e-08
1920,9.086678076641874e-09
1921,2.3475516641724425e-08
1922,2.5822775029382683e-08
1923,1.1677542488541803e-08
1924,2.0626599095407983e-08
1925,3.739380360912037e-08
1926,2.229227646921572e-08
1927,7.358488574027433e-08
1928,3.884854038460617e-08
1929,1.3368487650211591e-08
1930,9.453243521306831e-09
1931,9.352392282835353e-08
1932,2.520693342944469e-08
1933,2.064719240024715e-08
1934,1.5576054224197833e-08
1935,1.3165112555668657e-08
1936,2.424942913137329e-08
1937,1.0072894518486919e-08
1938,2.074434313215079e-08
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,2.1239483061208375e-08
1943,2.322588166236983e-08
1944,5.462416652335378e-08
1945,2.178504132643866e-08
1946,2.7842208538686464e-09
1947,1.7881307101674793e-08
1948,2.0656587551570738e-08
1949,1.0798709482173763e-08
1950,2.2334258886758107e-08
1951,1.0661401539380222e-08
1952,2.4253049346611988e-08
1953,3.5553629373907825e-08
1954,5.472620046020893e-08
1955,9.385607846468247e-09
1956,2.1802854632824165e-08
1957,1.0602045463770082e-08
1958,2.8952852559882558e-08
1959,2.325224279786653e-08
1960,1.1073333361366622e-08
1961,1.598076693198891e-08
1962,2.980719671086263e-08
1963,9.69907976156037e-09
1964,9.125952438182594e-09
1965,1.3132904541635071e-08
1966,7.754704434148607e-09
1967,2.218651040664099e-08
1968,1.257596426995633e-08
1969,1.2262746373892242e-08
1970,1.977451802304131e-08
1971,2.8261185391897925e-08
1972,1.539044092169206e-08
1973,9.37244681864513e-09
1974,7.875800456247362e-09
1975,1.2565256390928425e-08
1976,1.4855169538918744e-08
1977,7.639816779203557e-09
1978,1.3663360221016774e-08
1979,1.2289143924704149e-08
1980,1.4212877097463661e-08
1981,5.060439622894819e-09
1982,3.7245013739806154e-09
1983,7.57837881337764e-09
1984,8.118611560803402e-09
1985,1.0226449020933615e-08
1986,1.4386765556650971e-08
1987,7.332980445085013e-09
1988,1.0793796967334401e-08
1989,1.92084268491044e-08
1990,8.717841559757744e-09
1991,5.8614650910726596e-09
1992,7.162927584403178e-09
1993,1.550978012687665e-08
1994,7.912389854425328e-09
1995,4.880205572987961e-09
1996,3.736664311304594e-09
1997,3.835915585170824e-09
1998,3.814503379828693e-09
1999,3.656160929565999e-09
2000,9.719669513685858e-09
2001,3.066848330846028e-09
2002,3.504977197366088e-09
2003,2.5001538617175356e-09
2004,4.404791198453495e-09
2005,4.954124666056714e-09
2006,4.941467679486777e-09
2007,3.1955835755326234e-09
2008,6.811903485726134e-09
2009,5.245011536203492e-09
2010,1.8895172093635892e-09
2011,3.059177577924288e-09
2012,6.127654827992046e-09
2013,5.578249862026041e-09
2014,4.980523993225461e-09
2015,6.428068743957738e-09
2016,8.285359953674742e-09
2017,3.773417134311785e-09
2018,5.6792268665617485e-09
2019,5.867272001580659e-09
