year,deux_DET aveux_NOUN
2002,2.1906108038649563e-09
2003,7.91715315529018e-09
2004,1.189293641346012e-08
2005,5.854874474131577e-09
2006,9.882935692040462e-09
2007,7.190063211481856e-09
2008,3.8316958494988285e-09
2009,4.76819250749827e-09
2010,3.779034529749481e-09
2011,7.64794394481072e-09
2012,3.063827413996023e-09
2013,4.462600011745366e-09
2014,2.0788274546212904e-08
2015,4.2114931125825095e-09
2016,2.278474076078396e-09
2017,5.282783821503045e-09
2018,3.0977601039872127e-09
2019,1.9897703706917014e-08
