year,ces_DET heures_NOUN
1984,9.643751179844173e-07
1985,8.776698994239496e-07
1986,9.489270205165212e-07
1987,9.447322879552189e-07
1988,1.035604859644934e-06
1989,9.198092989493034e-07
1990,9.611420201949272e-07
1991,8.856674105217621e-07
1992,9.669951968049872e-07
1993,9.898563932964066e-07
1994,1.0660626710290444e-06
1995,9.033803305413812e-07
1996,9.320309057869736e-07
1997,9.556224433993066e-07
1998,9.445663766705081e-07
1999,9.45117571760079e-07
2000,9.352972600851217e-07
2001,9.331980797000483e-07
2002,8.876354526954344e-07
2003,9.875607522857877e-07
2004,9.342562181657854e-07
2005,9.210167895012944e-07
2006,1.0241192098803253e-06
2007,9.698596445950614e-07
2008,1.084369912751626e-06
2009,1.1581939896032623e-06
2010,1.2655041992104543e-06
2011,1.3628636437168495e-06
2012,1.5101265361527894e-06
2013,1.654787880056574e-06
2014,1.948467519552466e-06
2015,1.825349870920867e-06
2016,1.8229863938401536e-06
2017,1.605211553012964e-06
2018,1.916480867336645e-06
2019,1.8451294394594697e-06
