year,vos_DET heures_NOUN
1879,7.331190388093489e-08
1880,8.856627897735336e-08
1881,1.3875289917031353e-07
1882,8.319231525888426e-08
1883,6.761692328272062e-08
1884,7.65796857038481e-08
1885,5.5432466172788963e-08
1886,4.775563211545375e-08
1887,5.353718068867863e-08
1888,7.164894944011735e-08
1889,6.515742256851809e-08
1890,4.325895225365528e-08
1891,5.736798081024119e-08
1892,5.39092064322233e-08
1893,5.173069805852748e-08
1894,6.364554794302535e-08
1895,5.717683881911739e-08
1896,5.838058569906934e-08
1897,6.118049356018673e-08
1898,6.67685909894189e-08
1899,5.03009616181771e-08
1900,3.73755817406618e-08
1901,6.091725568424522e-08
1902,3.977329843252164e-08
1903,6.264255625332282e-08
1904,7.148251590649579e-08
1905,7.48310065579183e-08
1906,5.349951714972434e-08
1907,5.7599844893729824e-08
1908,6.237464300618001e-08
1909,5.941062175551792e-08
1910,6.519864015341881e-08
1911,6.331245128166074e-08
1912,6.876435953984128e-08
1913,5.621169019143224e-08
1914,4.0180463956041024e-08
1915,5.301342953512034e-08
1916,4.614733883911981e-08
1917,3.838248618937001e-08
1918,8.844509391536803e-08
1919,6.629650606271298e-08
1920,4.921950669256603e-08
1921,5.4523782044846314e-08
1922,5.754789844658603e-08
1923,5.8387715107244276e-08
1924,9.797634659136634e-08
1925,8.138651819145082e-08
1926,5.684530501870455e-08
1927,7.246995847864923e-08
1928,4.684676802035881e-08
1929,5.3473950156757155e-08
1930,5.882018072611572e-08
1931,6.272945984875378e-08
1932,3.2878610278785914e-08
1933,5.047091233834067e-08
1934,5.870974284505337e-08
1935,8.736847156853855e-08
1936,6.06235719402548e-08
1937,6.043736699989921e-08
1938,4.797129449229942e-08
1939,6.270560426457905e-08
1940,5.32514401463402e-08
1941,5.312704587367989e-08
1942,7.888950892542823e-08
1943,8.419382169222445e-08
1944,4.498460803858961e-08
1945,6.317661416233022e-08
1946,7.099763355000732e-08
1947,6.079644321310695e-08
1948,6.523132767277673e-08
1949,5.890204990421921e-08
1950,4.147790888531233e-08
1951,6.929911311459591e-08
1952,5.483298082253896e-08
1953,5.2791754967529414e-08
1954,7.427127712844594e-08
1955,5.819076909219234e-08
1956,9.069987516596711e-08
1957,6.449577372169557e-08
1958,8.106798721208008e-08
1959,8.680837848551448e-08
1960,7.405291757578425e-08
1961,6.18386145623262e-08
1962,9.893451702325251e-08
1963,1.0216364088044827e-07
1964,6.996563817196488e-08
1965,4.8153983300824876e-08
1966,5.1513396215341345e-08
1967,6.951773512398063e-08
1968,7.365922224944477e-08
1969,6.040537792184608e-08
1970,4.920635765515158e-08
1971,8.632507497718933e-08
1972,7.438713250929041e-08
1973,4.520827223686297e-08
1974,2.925297337696975e-08
1975,3.255543568059238e-08
1976,3.999468833892905e-08
1977,4.407586368104788e-08
1978,4.396037667220298e-08
1979,3.4526642878063285e-08
1980,4.09330855322132e-08
1981,4.3646290914800545e-08
1982,4.531476560654113e-08
1983,6.125856211181002e-08
1984,5.799008562235031e-08
1985,4.210890736100481e-08
1986,3.776525964171995e-08
1987,4.460896302349582e-08
1988,3.1182079085478875e-08
1989,3.84168536982088e-08
1990,4.7948126857821904e-08
1991,3.1065765349058694e-08
1992,3.471264764520754e-08
1993,4.597542135886812e-08
1994,3.48145151596313e-08
1995,3.0907969517102174e-08
1996,3.790045521867569e-08
1997,3.596170772279805e-08
1998,4.100591277644838e-08
1999,4.935817088380645e-08
2000,2.9600810913521514e-08
2001,4.6002723741445095e-08
2002,3.417352778534166e-08
2003,3.3335384952426494e-08
2004,4.184551594121899e-08
2005,3.648037194547982e-08
2006,3.9531743545317966e-08
2007,5.7520503693453406e-08
2008,6.173287436794794e-08
2009,7.4860620591366e-08
2010,8.739016849057535e-08
2011,1.1739594163451272e-07
2012,1.106382128135408e-07
2013,1.0682348605683956e-07
2014,1.1650095328719079e-07
2015,1.2368490587277847e-07
2016,1.4209392129593823e-07
2017,1.1043533665322514e-07
2018,1.474017503055869e-07
2019,1.377533425106492e-07
