year,quelques_DET aveux_NOUN
1941,1.4757512545315876e-08
1942,1.5171058853624686e-08
1943,1.4516176038981143e-08
1944,2.2492303131116387e-08
1945,1.5249527862692958e-08
1946,2.227376683094917e-08
1947,2.7418003867296648e-08
1948,1.4133454406817236e-08
1949,2.1597418964347526e-08
1950,1.0635361036293034e-08
1951,2.0256663901818683e-08
1952,1.5817205323287453e-08
1953,2.0470271810957286e-08
1954,1.4658803948464083e-08
1955,2.0648337706319353e-08
1956,1.4825940475304833e-08
1957,3.3573144264664734e-08
1958,2.4816730892496253e-08
1959,2.6352543258667538e-08
1960,1.7302082544468078e-08
1961,1.806521465752553e-08
1962,3.2343976386073336e-08
1963,1.8751554531348802e-08
1964,3.224503286602953e-08
1965,1.477451694320564e-08
1966,1.6617224485315774e-08
1967,1.577707425814978e-08
1968,3.2338192984537883e-08
1969,2.4979667556657148e-08
1970,1.79350284068569e-08
1971,1.5415192788914567e-08
1972,1.333838212103089e-08
1973,1.4334329778709076e-08
1974,1.518904291231138e-08
1975,1.7134440977173426e-08
1976,1.7711933031350213e-08
1977,1.3516598507123945e-08
1978,1.3663360332039076e-08
1979,1.5800328379000916e-08
1980,1.5918422358041084e-08
1981,1.2651098835192442e-08
1982,8.690503427999374e-09
1983,1.1367568886200274e-08
1984,1.391762050051426e-08
1985,1.5038895462282653e-08
1986,1.6185110363053923e-08
1987,1.0999470501094066e-08
1988,6.596209134457354e-09
1989,1.1525056464734007e-08
1990,1.3076762395147767e-08
1991,8.792197470075536e-09
1992,1.5427844113347078e-08
1993,1.7725463152817866e-08
1994,1.74072576353268e-08
1995,1.2471637056421514e-08
1996,1.7615704006601618e-08
1997,7.1923419442398995e-09
1998,8.582632937681467e-09
1999,1.3253583341921171e-08
2000,1.63467162028752e-08
2001,2.322042325086926e-08
2002,9.200564754507923e-09
2003,9.167230363704704e-09
2004,1.0131019939629837e-08
2005,1.1259373877692269e-08
2006,1.1118302722934459e-08
2007,1.1583990489061335e-08
2008,1.0217855450633806e-08
2009,7.629108011997232e-09
2010,1.4171378737160012e-08
2011,1.0324724186716594e-08
2012,1.1234034147378225e-08
2013,1.5061274893923837e-08
2014,2.1654451481945003e-08
2015,1.684597261686349e-08
2016,1.6984987916135452e-08
2017,1.1320251069868448e-08
2018,2.220061290358899e-08
2019,1.3775333485011032e-08
