year,as_VERB eu_VERB,as_VERB bu_VERB
1856,2.2727860482518736e-07,1.6049286344355096e-08
1857,2.5969629291466845e-07,1.122747050885664e-08
1858,2.6915216722045443e-07,2.202154192332273e-08
1859,2.6021007215604186e-07,2.34239969643113e-08
1860,2.842431285898783e-07,2.334363813361051e-08
1861,2.664519627160189e-07,2.971057178058345e-08
1862,2.3041729946271516e-07,1.536115412648087e-08
1863,2.9068692697364895e-07,3.0467187883687075e-08
1864,3.5624827887659194e-07,1.726102105692462e-08
1865,2.574643929165177e-07,8.943004559114343e-09
1866,2.875577251870709e-07,2.1895258939252926e-08
1867,2.7563970661503845e-07,2.523461972714358e-08
1868,2.5341554987790005e-07,1.5807597009143137e-08
1869,2.6517508899814857e-07,2.0510780629479086e-08
1870,2.322289702760827e-07,1.9495765002375265e-08
1871,3.1544897183266585e-07,3.186353225714811e-08
1872,3.0962377195464796e-07,1.7537283625301825e-08
1873,2.2986256453805254e-07,1.1972009161809183e-08
1874,2.820015652105212e-07,8.961913877669758e-09
1875,3.15828287966724e-07,6.865832347102696e-09
1876,2.110059114102114e-07,1.5115036333668286e-08
1877,2.4058934400272847e-07,1.4225077116236662e-08
1878,2.11972007946315e-07,1.9325083755461492e-08
1879,3.4090035683220776e-07,1.1607718342077078e-08
1880,2.2462461402028566e-07,7.701415505323439e-09
1881,2.2660650245143188e-07,1.2550513517339823e-08
1882,2.7353632958693197e-07,1.5972924316542958e-08
1883,2.4961389044619864e-07,1.64302811356265e-08
1884,2.970763546272792e-07,1.7824582698722224e-08
1885,2.507352405700658e-07,1.6114089618213256e-08
1886,1.981213415547245e-07,2.19417763958063e-08
1887,2.428759842132422e-07,2.154545164501087e-08
1888,2.4918614371927106e-07,1.3315291091942072e-08
1889,2.2930400689347152e-07,1.628935564212952e-08
1890,2.7856142992277455e-07,7.209825181320184e-09
1891,1.905891764408807e-07,8.92390783491237e-09
1892,2.137562660209369e-07,1.3790726782758611e-08
1893,1.866000189920669e-07,1.1085149687062312e-08
1894,2.2370464591858763e-07,1.5753848003896564e-08
1895,2.8106930471949454e-07,1.1435367319734269e-08
1896,2.8954411845916184e-07,1.592197840238896e-08
1897,2.2316312708881014e-07,1.3984112534615178e-08
1898,2.682060085135163e-07,9.05336783318944e-09
1899,2.7306236916047055e-07,1.5477219506010442e-08
1900,1.9777912996232772e-07,9.863001082521805e-09
1901,2.0734221095608518e-07,1.5648469187112823e-08
1902,2.131063183696824e-07,1.6694965410124496e-08
1903,1.9602799739004695e-07,1.2420506401156217e-08
1904,2.2519679987453856e-07,1.289910045443321e-08
1905,2.069464386522668e-07,1.857873321853276e-08
1906,2.0525295951756561e-07,1.388929860013377e-08
1907,2.4994218961182924e-07,9.257117739025489e-09
1908,2.9861246275686426e-07,2.6030361865991836e-08
1909,2.8770145377166045e-07,9.901770070541716e-09
1910,3.1797696919966256e-07,2.2979847358328698e-08
1911,2.5112166213148157e-07,1.4365010514438836e-08
1912,2.484893855125847e-07,8.335073964360618e-09
1913,2.2060437743220973e-07,1.3787773589513108e-08
1914,2.089384025794061e-07,1.5402511266415786e-08
1915,1.9673872486691835e-07,1.295883844676382e-08
1916,2.0766303521213558e-07,1.648119329900055e-08
1917,2.1055535626146593e-07,7.676496771580332e-09
1918,1.9526839878380997e-07,1.6080926812378493e-08
1919,2.384832669122261e-07,1.6574126959767455e-08
1920,2.6351366955168487e-07,1.2872794385998532e-08
1921,2.506579335204151e-07,1.438822039290244e-08
1922,3.2905592206589063e-07,1.696925089333945e-08
1923,2.8450742206587165e-07,2.0170300985000722e-08
1924,3.416280378587544e-07,3.738571052736006e-08
1925,3.134480834887654e-07,2.74954441437103e-08
1926,3.5444719514998724e-07,6.018914433525424e-08
1927,4.6269283870969957e-07,1.5608915049369898e-08
1928,3.6906112654833123e-07,2.742249805010033e-08
1929,3.219577422441944e-07,1.893869061575515e-08
1930,3.770793739477085e-07,3.886333388436469e-08
1931,2.7144747605234443e-07,1.9389105432310316e-08
1932,3.6276065884521813e-07,1.53433514782364e-08
1933,3.0167842623995966e-07,9.176529758292418e-09
1934,3.258989806909085e-07,1.9170528275935794e-08
1935,2.9920710176156717e-07,1.196828414151696e-08
1936,3.103926928815781e-07,2.9099314957647948e-08
1937,2.581179217031604e-07,3.021868266728234e-08
1938,3.1116513810047763e-07,4.019216603978748e-08
1939,3.1658683496971207e-07,2.9058696782158222e-08
1940,2.0032685199566913e-07,1.0143131667916805e-08
1941,3.6598632391360297e-07,2.9515025978810172e-09
1942,3.3679751254567236e-07,9.102635090130207e-08
1943,3.135494068828848e-07,2.322588166236983e-08
1944,3.373845345322479e-07,3.855823393905666e-08
1945,4.966989308741177e-07,5.2284097051824574e-08
1946,4.176331174221559e-07,2.645009899993056e-08
1947,4.4584058400687354e-07,2.0265479960812627e-08
1948,4.5770647716381063e-07,3.696441908118686e-08
1949,3.524305896007718e-07,2.4542520904446974e-08
1950,5.28577459135704e-07,2.3397795700930146e-08
1951,4.0086871422317927e-07,2.6653504292539765e-08
1952,3.237254873056372e-07,4.639713679921442e-08
1953,3.835482687009062e-07,2.5857186614075545e-08
1954,4.896040763924248e-07,3.224936762080688e-08
1955,3.557145475951984e-07,2.2525458831523792e-08
1956,4.1163787045661593e-07,1.9186511934776718e-08
1957,3.640035401986097e-07,2.1204090927540165e-08
1958,4.4008334043610375e-07,3.887954491688106e-08
1959,4.286163459710224e-07,2.9452841943111707e-08
1960,3.7856958101656346e-07,3.391208380776334e-08
1961,3.696420662890887e-07,2.987708569435199e-08
1962,4.6042603685236827e-07,4.50278889729816e-08
1963,4.209400685795117e-07,4.396916253313066e-08
1964,4.033670961689495e-07,3.528701597588224e-08
1965,3.649852828857547e-07,3.6662690661160013e-08
1966,3.938282020499173e-07,3.4342264143560897e-08
1967,3.682960709738836e-07,3.451235031093347e-08
1968,3.745840899682662e-07,2.9643343779639508e-08
1969,3.7742006497865077e-07,2.634219598007803e-08
1970,3.168521516272449e-07,2.483311511980446e-08
1971,3.5968781730844057e-07,2.7747345754391972e-08
1972,2.7138477776134096e-07,1.7442499000708267e-08
1973,3.3079223271670344e-07,1.9847533394568018e-08
1974,3.139068951441004e-07,2.981553137715309e-08
1975,2.6501268735046324e-07,1.8276736568623164e-08
1976,2.58251418472355e-07,2.6853577139718254e-08
1977,3.138201520869188e-07,1.7630345183761165e-08
1978,2.7504938771016896e-07,2.7326720442033547e-08
1979,3.429256310027995e-07,2.2822696621460636e-08
1980,3.558904211331537e-07,2.21720881654619e-08
1981,3.5676100651471643e-07,1.9609203150139365e-08
1982,3.0975436970948067e-07,2.9175261317959666e-08
1983,3.479739234535373e-07,3.34711742766558e-08
1984,3.3576259284018306e-07,3.3054348591576854e-08
1985,3.783786155509006e-07,2.8874678648094232e-08
1986,3.7285698795130884e-07,2.038125046510686e-08
1987,3.0309652743198967e-07,2.199894133525504e-08
1988,3.6459047692005697e-07,2.1587593934668803e-08
1989,3.5672795206664887e-07,3.951447880012893e-08
1990,3.6288014371166355e-07,2.5608660081388734e-08
1991,3.3410350397389266e-07,3.458264430378222e-08
1992,3.300456512533856e-07,3.8018615811097334e-08
1993,3.7278866216183815e-07,3.0465642453236796e-08
1994,3.27572934111231e-07,2.5319646823618314e-08
1995,3.6709991491079563e-07,2.7112253775385398e-08
1996,3.36833608116649e-07,2.6156651955488996e-08
1997,3.763992140193295e-07,2.7330898433319817e-08
1998,3.4902706147477147e-07,2.765514928171342e-08
1999,3.190000370523194e-07,2.8792268125243936e-08
2000,3.251671216730756e-07,3.092621980727017e-08
2001,3.662693188744015e-07,3.767842216007011e-08
2002,4.2278787759642e-07,2.891606243338174e-08
2003,4.487775981942832e-07,3.083523125724241e-08
2004,3.8630020071650506e-07,2.8190664025373735e-08
2005,4.0668859924153367e-07,3.467887310648621e-08
2006,4.5749757759949716e-07,3.253132874192488e-08
2007,8.356450962310191e-07,5.0330442036283785e-08
2008,9.779339507076656e-07,5.704969296971285e-08
2009,1.0790419082695735e-06,7.009243319089364e-08
2010,1.5583792674078722e-06,8.455589295408572e-08
2011,1.6825476905069081e-06,1.0745361578301527e-07
2012,2.037785634456668e-06,1.4468074027718103e-07
2013,2.258354470541235e-06,1.6344272069090948e-07
2014,2.4614614630991127e-06,1.7301907462297095e-07
2015,2.4847809072525706e-06,1.7178459188471606e-07
2016,2.4893365662137512e-06,1.8041372129573574e-07
2017,2.871821834560251e-06,2.789813038361899e-07
2018,2.9501002245524433e-06,2.0651734189414128e-07
2019,2.803025381581392e-06,2.2754811368486116e-07
