year,divers_DET os_NOUN
1922,5.902348387820666e-09
1923,7.431163684401554e-09
1924,1.289162443462999e-09
1925,1.0998177923937646e-09
1926,6.687683296036084e-09
1927,8.919379901328739e-09
1928,9.14083297942625e-09
1929,1.2254447234738564e-08
1930,6.302162347537887e-09
1931,1.2545892325022123e-08
1932,4.383814644626227e-09
1933,6.882397318719313e-09
1934,1.7972370258689807e-08
1935,7.180970484910176e-09
1936,6.0623572828433225e-09
1937,5.0364472592434595e-09
1938,2.0744343798284604e-08
1939,1.5294050470515685e-08
1940,1.7750480196809804e-08
1941,2.9515025090631752e-08
1942,1.8205270180260413e-08
1943,1.7419411246777372e-08
1944,3.2131861615880553e-09
1945,3.0499055725385915e-08
1946,6.960552134671616e-09
1947,1.5497132244135514e-08
1948,1.848220954059343e-08
1949,8.835307596655184e-09
1950,1.1698897850465073e-08
1951,1.3859822733941485e-08
1952,6.010538111667074e-08
1953,1.185120990232491e-08
1954,1.172704333640695e-08
1955,1.783265535237888e-08
1956,7.849027205963921e-09
1957,2.8272120644601273e-08
1958,1.5717262158432277e-08
1959,1.0075972278755785e-08
1960,3.460416619915918e-09
1961,6.25334317660986e-09
1962,1.3952304034337004e-08
1963,1.0345685086399214e-08
1964,4.258777774879263e-09
1965,7.660860668057268e-09
1966,8.30861190959098e-09
1967,5.9164028121116985e-09
1968,4.940557268851009e-09
1969,1.4533625303236875e-08
1970,8.737577245065964e-09
1971,8.221436087474387e-09
1972,8.208234980600082e-09
1973,2.756601946707349e-09
1974,9.563471792262135e-09
1975,2.8557400888473694e-09
1976,3.4281160132820787e-09
1977,9.402850942308305e-09
1978,4.158414057542359e-09
1979,5.266776126333639e-09
1980,1.30758464056413e-08
1981,9.488323904349727e-09
1982,4.966001942996456e-09
1983,1.89459470334441e-09
1984,4.059305780401701e-09
1985,3.609334831011779e-09
1986,5.994485352545098e-09
1987,2.4443267410134695e-09
1988,1.1993107618124554e-09
1989,2.744061089465788e-09
1990,2.1794604454505873e-09
1991,1.7584396161396398e-09
1992,4.4079553340736766e-09
1993,3.323524400133948e-09
1994,3.6924485691258724e-09
1995,3.253470548525428e-09
1996,7.473328622609188e-09
1997,2.8769365778558154e-09
1998,1.43043876743576e-09
1999,4.570201106446348e-09
2000,4.4180314962005696e-10
2001,2.6287270138425356e-09
2002,2.6287327870022636e-09
2003,2.0834615144238455e-09
2004,1.3214374039449694e-09
2005,4.503749373441224e-09
2006,4.117890028965121e-09
2007,1.5977918155218873e-09
2008,1.2772319035736501e-09
2009,1.430457752249481e-09
2010,9.919965127114239e-09
2011,2.294383100176489e-09
2012,1.7021263287730903e-09
2013,2.2313000336282585e-09
2014,1.9489005964601347e-09
2015,2.438232948875907e-09
2016,1.4499380585064614e-09
2017,7.54683426862357e-10
2018,1.5488800242380307e-09
2019,2.2958890344426663e-09
