year,certains_DET aveux_NOUN
1900,2.906989848838748e-08
1901,1.3412973176585297e-08
1902,2.1114220594142807e-08
1903,1.4040572704487886e-08
1904,2.0961038238453966e-08
1905,2.167518753370956e-08
1906,2.2119992726388205e-08
1907,2.7257070378539083e-08
1908,2.161011147805425e-08
1909,3.685659039076583e-08
1910,3.366814960159559e-08
1911,2.9262056777668022e-08
1912,2.6568047983843712e-08
1913,1.6439268613055447e-08
1914,2.0090231256375546e-08
1915,2.473960047932877e-08
1916,2.0876177453388323e-08
1917,2.19328495365545e-08
1918,1.033773866510046e-08
1919,2.7623545006960626e-08
1920,2.8774480576032602e-08
1921,2.2718241510233383e-08
1922,3.467629694497987e-08
1923,3.3971034429924885e-08
1924,1.5469949543600592e-08
1925,1.5397449093512705e-08
1926,2.7865346030608862e-08
1927,2.452829506172094e-08
1928,1.1426041002238208e-08
1929,1.6710609784809094e-08
1930,4.831657673953771e-08
1931,2.0529641986399838e-08
1932,2.0823119339929974e-08
1933,2.6382522833046096e-08
1934,2.6359476379411717e-08
1935,2.6330224223158893e-08
1936,1.4549657478823974e-08
1937,2.1404900962807005e-08
1938,4.408172848968661e-08
1939,1.8352860564618823e-08
1940,1.7750480196809804e-08
1941,1.7709016475464523e-08
1942,4.8547387443420575e-08
1943,3.774205747930637e-08
1944,1.927911696952833e-08
1945,2.6142048525912287e-08
1946,2.645009722357372e-08
1947,4.529930830443618e-08
1948,1.8482209318548826e-08
1949,2.1597418520258316e-08
1950,2.4461330738745346e-08
1951,4.051332558319132e-08
1952,3.9015775055162294e-08
1953,2.5857186614075545e-08
1954,1.2704297169818801e-08
1955,2.627970152602188e-08
1956,2.7907652855319043e-08
1957,2.120408987282829e-08
1958,1.8198935358704205e-08
1959,1.9376869220266713e-08
1960,2.007041621787664e-08
1961,1.945484617849047e-08
1962,1.77574772664002e-08
1963,1.61651322327927e-08
1964,1.5209921211400967e-08
1965,1.8057742856569803e-08
1966,9.416427193542631e-09
1967,1.824224149515885e-08
1968,1.527081389118834e-08
1969,8.175163990209455e-09
1970,5.9783426265003214e-09
1971,1.695671192347703e-08
1972,1.539044047760285e-08
1973,1.0475087464101307e-08
1974,1.4626486688484874e-08
1975,7.4249242310031605e-09
1976,1.7140580066410394e-08
1977,1.3516598174057037e-08
1978,2.8514838490423244e-08
1979,1.8141117053005473e-08
1980,1.4212877152974812e-08
1981,1.0120879245789638e-08
1982,4.966001831974154e-09
1983,1.136756910824488e-08
1984,1.333771937339634e-08
1985,1.3234227935754461e-08
1986,1.7983456945813714e-09
1987,4.277571630240118e-09
1988,6.596209300990807e-09
1989,1.0427432473036902e-08
1990,8.717841670780047e-09
1991,2.9307326565586322e-09
1992,9.366905251440016e-09
1993,9.416652624327781e-09
1994,1.2659824188965274e-08
1995,1.1387146670038817e-08
1996,1.4946658133396795e-08
1997,1.1507746311423261e-08
1998,1.621163958631655e-08
1999,1.0054442389773044e-08
2000,1.0161472108194403e-08
2001,8.3243023585311e-09
2002,8.762443215459825e-09
2003,9.583922322420335e-09
2004,1.2333415844167916e-08
2005,1.0358624402684313e-08
2006,8.64756888319107e-09
2007,7.589511158423434e-09
2008,9.366367459406888e-09
2009,5.721831008997924e-09
2010,9.919965515692297e-09
2011,3.0591775501687124e-09
2012,1.0893608487494433e-08
2013,1.0877587719448911e-08
2014,1.2776126157021395e-08
2015,1.728928800126539e-08
2016,1.118523629273227e-08
2017,6.540589680970044e-09
2018,7.744400232212456e-09
2019,1.3010037824834342e-08
