year,trois_DET heures_NOUN
1949,5.94125336306206e-06
1950,6.1525564660769305e-06
1951,6.422428526775548e-06
1952,5.948323746451933e-06
1953,5.9396109008957865e-06
1954,5.921179791812392e-06
1955,6.10064509487529e-06
1956,6.305385312543876e-06
1957,5.379654282933188e-06
1958,5.878256018831962e-06
1959,5.572787614482877e-06
1960,6.1927618446588895e-06
1961,5.8260314403923985e-06
1962,6.371129501303585e-06
1963,5.812335245991562e-06
1964,5.608810283774801e-06
1965,5.3456390958217526e-06
1966,6.096859578974545e-06
1967,5.8552666359901195e-06
1968,6.129884269512331e-06
1969,6.131827092303865e-06
1970,5.357974345088223e-06
1971,5.307450919644907e-06
1972,5.177344291951158e-06
1973,5.438775644961424e-06
1974,5.0354493339455075e-06
1975,4.757663077725738e-06
1976,4.995907886495843e-06
1977,4.237159757281006e-06
1978,4.477423573234773e-06
1979,4.408291630397798e-06
1980,4.475350607435757e-06
1981,4.72455312205966e-06
1982,4.5289937133929925e-06
1983,4.415037551552814e-06
1984,4.38173080397064e-06
1985,4.553175827481937e-06
1986,4.4473089673147115e-06
1987,4.3729007472848025e-06
1988,4.492617890150541e-06
1989,5.571541777271705e-06
1990,4.667314470907513e-06
1991,4.6856551705332095e-06
1992,4.600803436005663e-06
1993,5.163095210036772e-06
1994,4.63877046286143e-06
1995,4.699638012084506e-06
1996,4.48826807541991e-06
1997,4.453497936651729e-06
1998,4.584556137388063e-06
1999,4.418927346705459e-06
2000,4.635840625155652e-06
2001,4.745728531929672e-06
2002,4.870603802942242e-06
2003,4.686954852672898e-06
2004,5.0276287026918e-06
2005,4.69831151406197e-06
2006,5.210777800357391e-06
2007,5.63381371421201e-06
2008,5.817365490656812e-06
2009,5.788585866639551e-06
2010,7.006329724390525e-06
2011,7.763810401684168e-06
2012,1.0010205528487859e-05
2013,1.0299959683379711e-05
2014,1.1058062227675691e-05
2015,1.1057829567562294e-05
2016,1.1387191818812425e-05
2017,9.392034996835719e-06
2018,1.0697855827856984e-05
2019,1.0754453910521988e-05
