year,quels_DET aveux_NOUN
1907,1.54285304532209e-08
1908,1.5716445478375363e-08
1909,9.901770403608623e-09
1910,2.137660271017694e-09
1911,3.1922244847493175e-09
1912,5.2094213387476884e-09
1913,9.545381818298893e-09
1914,9.37544131218715e-09
1915,7.0684572639478915e-09
1916,8.789969863087777e-09
1917,8.773139548168274e-09
1918,3.44591288836682e-09
1919,1.012863348748283e-08
1920,1.0601124422748853e-08
1921,6.058197943303867e-09
1922,4.426761179843197e-09
1923,5.307974060286824e-09
1924,5.156649662829693e-09
1925,5.499088961968823e-09
1926,1.0031524610987219e-08
1927,8.919379901328739e-09
1928,6.8556245125250825e-09
1929,5.570203187588163e-09
1930,8.402882833991043e-09
1931,1.2545892325022123e-08
1932,6.575721855917038e-09
1933,3.4411986593596566e-09
1934,3.5944740517379614e-09
1935,1.196828414151696e-08
1936,7.274828739411987e-09
1937,1.2591118259130951e-08
1938,3.889564337278273e-09
1939,1.2235240376412548e-08
1940,1.7750480196809804e-08
1941,2.9515025978810172e-09
1942,9.102635090130207e-09
1943,2.6129116648121453e-08
1944,1.2852744646352221e-08
1945,4.357008087652048e-09
1946,1.2528993842408909e-08
1947,3.5762612871081956e-09
1948,8.697510267552389e-09
1949,1.472551192094329e-08
1950,3.190608444114673e-09
1951,1.5992102309070333e-08
1952,4.217921456550755e-09
1953,8.619062019654677e-09
1954,1.9545072227344917e-09
1955,6.569925492527773e-09
1956,1.3953826538681824e-08
1957,5.301022731885041e-09
1958,8.272243445794913e-10
1959,5.425523585955716e-09
1960,5.536666680683311e-09
1961,2.0844477810477713e-09
1962,5.7077609305622445e-09
1963,4.526237384894216e-09
1964,6.692365106530929e-09
1965,7.1136563306595235e-09
1966,7.754704656193212e-09
1967,6.409436315024664e-09
1968,4.49141579483836e-09
1969,3.179230406713529e-09
1970,8.277705187964557e-09
1971,4.1107179882260425e-09
1972,4.6171320100540925e-09
1973,1.6539611902288698e-09
1974,1.0126029348356269e-08
1975,1.7134440533084216e-09
1976,2.285410749536254e-09
1977,1.1753563677885381e-09
1978,2.9702956760857546e-09
1979,5.851973461368232e-09
1980,7.3906957220870595e-09
1981,4.427884725544118e-09
1982,7.449002747961231e-09
1983,3.157658134966823e-09
1984,5.219107812592938e-09
1985,2.4062232206745193e-09
1986,1.1988970927134801e-09
1987,6.721898371253587e-09
1988,3.5979323409485175e-09
1989,4.939309850016116e-09
1990,3.269190584909154e-09
1991,2.9307326565586322e-09
1992,7.713921723606632e-09
1993,6.09312805766038e-09
1994,2.1099705871385765e-09
1995,1.626735190995987e-09
1996,3.2028553142993132e-09
1997,3.835915474148521e-09
1998,6.6753810257225155e-09
1999,1.3710603485872497e-09
2000,6.1852438726361925e-09
2001,3.066848275334877e-09
2002,1.314366449012283e-09
2003,4.166922917825389e-09
2004,1.3214373761893938e-09
2005,5.854874363109275e-09
2006,4.1178899179428186e-10
2007,1.9972397347078896e-09
2008,8.514879357157668e-10
2009,5.721830786953319e-09
2010,4.723792912386671e-09
2011,1.1471915639660324e-09
2012,6.808505315092361e-09
2013,4.183687618564136e-09
2014,3.8978013261470323e-08
2015,5.763096222466402e-09
2016,6.628288140575478e-09
2017,5.282783765991894e-09
2018,4.646640183736395e-09
2019,3.673422543926108e-08
