year,aux_ADP heures_NOUN
1892,2.7625335121683747e-06
1893,2.789146847703705e-06
1894,2.635303644638043e-06
1895,3.0207425254502596e-06
1896,2.9903833649314038e-06
1897,3.064851256340262e-06
1898,2.9870454909541877e-06
1899,3.186096236618141e-06
1900,3.1364343158202246e-06
1901,3.155960882850195e-06
1902,2.9383138979710566e-06
1903,3.394038330384319e-06
1904,3.226924988553037e-06
1905,3.321980614146014e-06
1906,3.5546315757528646e-06
1907,3.488904994242148e-06
1908,3.637865887640146e-06
1909,3.5035764938129432e-06
1910,3.5960789261935133e-06
1911,3.5199595345147827e-06
1912,3.653367059541779e-06
1913,3.7439106677084055e-06
1914,3.8379037619051815e-06
1915,4.404826768222847e-06
1916,4.987209024420736e-06
1917,5.0785509415618435e-06
1918,5.46521783917342e-06
1919,5.320294803823344e-06
1920,4.490333225248833e-06
1921,4.034759882642902e-06
1922,4.148613072629814e-06
1923,3.9852268969298166e-06
1924,3.983512016247914e-06
1925,3.5348143399005494e-06
1926,3.689371766313343e-06
1927,3.8877346639765165e-06
1928,3.681470417404853e-06
1929,3.4980875511791965e-06
1930,3.344347248912527e-06
1931,3.455823048170714e-06
1932,3.3897846947184007e-06
1933,3.3723747492331313e-06
1934,3.225441332688206e-06
1935,3.3080337971114204e-06
1936,3.5040425245824736e-06
1937,4.163882778129846e-06
1938,3.7780635011586128e-06
1939,4.179864077968887e-06
1940,3.4080921977874823e-06
1941,3.4030825304398604e-06
1942,3.6046435241132713e-06
1943,3.582592313478017e-06
1944,3.4606014196469914e-06
1945,4.0454820009472314e-06
1946,3.7085822270910285e-06
1947,3.3855274637062394e-06
1948,3.3083154278301663e-06
1949,3.294587898494683e-06
1950,3.2012437145567674e-06
1951,2.89350455773274e-06
1952,2.7416490695486573e-06
1953,2.820588036911431e-06
1954,2.8076496079165736e-06
1955,2.5425611056562047e-06
1956,2.48726961160628e-06
1957,2.3571879950168295e-06
1958,2.4394847031317113e-06
1959,2.478689097529241e-06
1960,2.5814709374571976e-06
1961,2.5638708649466935e-06
1962,2.3655498182506562e-06
1963,2.3413578418285397e-06
1964,2.391607878848845e-06
1965,2.402227011089053e-06
1966,2.393987998061675e-06
1967,2.3172577101604475e-06
1968,2.585708102742501e-06
1969,2.2563451693713432e-06
1970,2.3002822899798048e-06
1971,2.541451465276623e-06
1972,2.27419410236962e-06
1973,2.2130000587594623e-06
1974,2.2446029959155567e-06
1975,2.155512639490098e-06
1976,1.9357429152933037e-06
1977,1.9434518065963857e-06
1978,2.0489099625820018e-06
1979,2.0639909905639797e-06
1980,1.8783737800731615e-06
1981,1.9723062933962865e-06
1982,1.9044616550445426e-06
1983,1.964063272907879e-06
1984,1.9397683956867695e-06
1985,1.8570028004205597e-06
1986,1.8534949219883856e-06
1987,1.9939594864126775e-06
1988,1.9878575585607905e-06
1989,1.9982253149919416e-06
1990,1.8078623469364175e-06
1991,1.931938982124848e-06
1992,1.908644691184236e-06
1993,1.8229531519864395e-06
1994,2.0055271505725614e-06
1995,1.8913508199602802e-06
1996,1.9633503427485266e-06
1997,1.966386264484754e-06
1998,1.8843646500954492e-06
1999,2.105034695887298e-06
2000,2.0645460807600102e-06
2001,1.7844675426204049e-06
2002,1.8620191184481882e-06
2003,1.8855326402444916e-06
2004,1.956167750449822e-06
2005,1.7352946812820846e-06
2006,1.884758205505932e-06
2007,1.906964470776984e-06
2008,2.115096080501644e-06
2009,2.259646393554249e-06
2010,2.2976528839535604e-06
2011,2.4278397887655956e-06
2012,2.3996578448759465e-06
2013,2.281225334854753e-06
2014,2.5747142586851623e-06
2015,2.486776011778602e-06
2016,2.642615740455767e-06
2017,1.993118871723709e-06
2018,2.1663668547944326e-06
2019,2.349714890215182e-06
