year,les_DET heures_NOUN
1879,6.827170832224283e-06
1880,7.014706163488427e-06
1881,7.0171316153277985e-06
1882,7.300957499012384e-06
1883,6.981605523037615e-06
1884,8.06991457835693e-06
1885,7.411191838002651e-06
1886,7.2788619718267e-06
1887,8.180742629093629e-06
1888,7.481925237584619e-06
1889,7.41103033874424e-06
1890,7.805619006262532e-06
1891,7.777186056046048e-06
1892,8.042501494998078e-06
1893,7.931424498508477e-06
1894,7.910952341205757e-06
1895,8.44351431794621e-06
1896,8.466954376729063e-06
1897,8.660244539271389e-06
1898,8.389076981529797e-06
1899,8.628549977629518e-06
1900,8.602613078778631e-06
1901,8.475881422498333e-06
1902,8.128974826604463e-06
1903,9.184154357910757e-06
1904,9.30186344305639e-06
1905,9.435415989855755e-06
1906,9.245128438806205e-06
1907,9.666488381299132e-06
1908,8.794333183459457e-06
1909,9.188292679596088e-06
1910,9.988751671130558e-06
1911,1.0086365563211075e-05
1912,9.555641625524913e-06
1913,1.0245906679529071e-05
1914,9.610497357925851e-06
1915,1.0091400923784022e-05
1916,1.0335905209046814e-05
1917,1.1659502192173932e-05
1918,1.0659357542408543e-05
1919,1.2284190660238892e-05
1920,1.1409081110969055e-05
1921,1.089869824966172e-05
1922,1.0195569231541413e-05
1923,1.074015476376644e-05
1924,1.1317557252255028e-05
1925,1.029209504110895e-05
1926,9.986939801365224e-06
1927,1.0382158563970734e-05
1928,9.634438114858312e-06
1929,9.462661296311126e-06
1930,9.978423250345259e-06
1931,9.311333059258686e-06
1932,8.580221276588418e-06
1933,8.873704217648992e-06
1934,8.578811474535541e-06
1935,8.996558889862172e-06
1936,8.580660434631682e-06
1937,1.2452616132918592e-05
1938,1.0938751245248568e-05
1939,1.167853686467879e-05
1940,8.322439569496964e-06
1941,9.238203517725196e-06
1942,9.06925916410728e-06
1943,9.650353860024552e-06
1944,8.794490447883163e-06
1945,9.742270435708633e-06
1946,9.470527288613084e-06
1947,8.968071384174436e-06
1948,8.19631607384963e-06
1949,8.42790149135908e-06
1950,8.238151181672038e-06
1951,8.088805742545446e-06
1952,7.892785497176646e-06
1953,8.277531648559489e-06
1954,8.289065306144039e-06
1955,7.457804031218984e-06
1956,8.20746654994764e-06
1957,7.509781944747829e-06
1958,8.004222777913128e-06
1959,7.83910614643446e-06
1960,8.46694758394051e-06
1961,8.1064176455925e-06
1962,7.773970118307716e-06
1963,7.82327779802472e-06
1964,8.068558813079107e-06
1965,7.6159898085848e-06
1966,7.781292126196604e-06
1967,7.2865429956436856e-06
1968,8.006846911712273e-06
1969,7.328580572618648e-06
1970,7.2954172836148246e-06
1971,8.131000001299071e-06
1972,7.384846469449258e-06
1973,7.568526370960171e-06
1974,7.711533548615535e-06
1975,7.482610357101294e-06
1976,7.343024542194598e-06
1977,6.815891730127532e-06
1978,6.963561126838158e-06
1979,6.7561033247898195e-06
1980,6.786364451727422e-06
1981,6.946718599465385e-06
1982,6.899018231365517e-06
1983,7.699633215452195e-06
1984,7.646572562691745e-06
1985,7.749241973442622e-06
1986,7.350438195885545e-06
1987,7.480250744151817e-06
1988,7.402146152912792e-06
1989,7.463297507115385e-06
1990,7.243436542125892e-06
1991,7.261183199602783e-06
1992,7.453852404637473e-06
1993,7.84185603208698e-06
1994,7.930324727567495e-06
1995,7.269337629622896e-06
1996,7.264609735102567e-06
1997,7.022122858302282e-06
1998,7.497406528500505e-06
1999,8.051323447944014e-06
2000,7.682515089868502e-06
2001,6.6305259593946175e-06
2002,7.494517404893486e-06
2003,7.223361066621692e-06
2004,7.487263985694881e-06
2005,7.020445096372896e-06
2006,7.256957587742363e-06
2007,7.5595524009486326e-06
2008,8.048263758553276e-06
2009,8.793977684717902e-06
2010,9.431997270326065e-06
2011,1.0512098604920084e-05
2012,1.0946714915860412e-05
2013,1.0485436376939106e-05
2014,1.0991799534565416e-05
2015,1.1103934426159867e-05
2016,1.134742223740659e-05
2017,1.0023956878768558e-05
2018,1.1421441691084055e-05
2019,1.1706737886640894e-05
