year,ces_DET os_NOUN
1957,2.685851470118905e-07
1958,2.705023653959415e-07
1959,2.356227284394663e-07
1960,1.3634041451382473e-07
1961,2.2789961917624169e-07
1962,1.953322623649001e-07
1963,1.357871219909157e-07
1964,1.6974270877767594e-07
1965,1.8495506637350445e-07
1966,2.570130632761902e-07
1967,2.06088021315054e-07
1968,2.3669760906841475e-07
1969,4.1375414738809013e-07
1970,1.5497703209632618e-07
1971,1.8087159503465955e-07
1972,1.55443444782577e-07
1973,1.2404708904512063e-07
1974,1.6201646602098663e-07
1975,1.6163489569009926e-07
1976,1.7254851414350014e-07
1977,1.2870152410471292e-07
1978,1.6990090756507925e-07
1979,1.3518058317174564e-07
1980,2.3365968715438612e-07
1981,1.4422252903045774e-07
1982,1.396688027455184e-07
1983,1.2504325574980157e-07
1984,1.6005264136254027e-07
1985,1.762558579088136e-07
1986,1.624505507891172e-07
1987,1.2099417112665378e-07
1988,1.4511659962579415e-07
1989,1.9373071324935154e-07
1990,1.1660112875233608e-07
1991,1.254353563240329e-07
1992,1.438095402761519e-07
1993,1.390341015650165e-07
1994,1.4769794454139173e-07
1995,1.4369494749644218e-07
1996,1.2491135947811927e-07
1997,1.2226981027652073e-07
1998,1.1824960388651107e-07
1999,1.93776521939526e-07
2000,1.6302536920420607e-07
2001,1.3099823092943552e-07
2002,1.4063721209822688e-07
2003,1.3334153692312611e-07
2004,1.0923882065583257e-07
2005,1.0673886663425947e-07
2006,1.7748105562986893e-07
2007,1.5179022305744638e-07
2008,1.1154492263187876e-07
2009,1.316021158714875e-07
2010,1.8658982625652243e-07
2011,1.430165550431184e-07
2012,1.8961687331398025e-07
2013,1.6874206387740287e-07
2014,1.4876608034342098e-07
2015,2.221008479352804e-07
2016,2.2204766025879508e-07
2017,2.1760037505202945e-07
2018,1.6263240887326447e-07
2019,2.0739529738023066e-07
