year,véritables_ADJ bancs_NOUN
1924,3.480738541838946e-08
1925,2.859526304632709e-08
1926,2.5636119005412183e-08
1927,1.8953683067479687e-08
1928,1.2568645679778001e-08
1929,1.5596569369336066e-08
1930,1.1553964007759987e-08
1931,7.983749661377715e-09
1932,3.1782654730250215e-08
1933,1.4911860191091364e-08
1934,2.156684431042777e-08
1935,8.377798899061872e-09
1936,2.3036957230715416e-08
1937,1.1332006444320086e-08
1938,2.2040865133021725e-08
1939,1.070583532936098e-08
1940,1.5214697057785997e-08
1941,2.9515025090631752e-08
1942,1.2136847082899749e-08
1943,2.0322646676618206e-08
1944,6.4263723231761105e-09
1945,8.714016175304096e-09
1946,5.568441707737293e-09
1947,2.26496545963073e-08
1948,1.9569398546082084e-08
1949,1.2762110479513922e-08
1950,1.1698897850465073e-08
1951,1.3859822622919182e-08
1952,4.74516177462192e-08
1953,3.232148060305917e-08
1954,1.6613311615287785e-08
1955,1.407841132561316e-08
1956,2.1802854632824165e-08
1957,1.6786572132332367e-08
1958,1.4062814024384807e-08
1959,2.1702094343822864e-08
1960,1.6610000486139143e-08
1961,1.80652133252579e-08
1962,1.3952304200870458e-08
1963,1.2932106940866106e-08
1964,1.1559539991878864e-08
1965,1.1491291473930687e-08
1966,1.3293779410616935e-08
1967,2.465167803222812e-08
1968,1.122853987567396e-08
1969,1.1354394757745467e-08
1970,8.277704743875347e-09
1971,1.4387513402880359e-08
1972,7.182205497002769e-09
1973,9.923766697284009e-09
1974,6.1881286761433785e-09
1975,9.138368284311582e-09
1976,6.2848797277581525e-09
1977,4.11374712072643e-09
1978,6.534650598410963e-09
1979,1.1703946700691858e-09
1980,6.253665585376211e-09
1981,2.5302198114474095e-09
1982,5.586751949948621e-09
1983,1.4525227243211702e-08
1984,6.958810416790584e-09
1985,6.617113967877231e-09
1986,4.7955883708539204e-09
1987,8.555143260480236e-09
1988,5.99655392008458e-09
1989,6.036934507847036e-09
1990,2.179460389939436e-09
1991,2.9307325455363298e-09
1992,3.30596661157756e-09
1993,1.661762283333701e-09
1994,1.0549853213248639e-09
1995,2.7112254663563817e-09
1996,2.135236876199542e-09
1997,2.876936688878118e-09
1998,4.291316191284977e-09
1999,4.570201161957499e-10
2000,2.6508188977203417e-09
2001,5.695575122643959e-09
2002,2.6287327870022636e-09
2003,4.1669229178253886e-10
2004,1.7619165015858584e-09
2005,1.3511248786457486e-09
2006,2.0589450144825605e-09
2007,1.5977917877663117e-09
2008,2.9802078582719105e-09
2009,4.76819250749827e-10
2010,1.4171379625338432e-09
2011,3.4415748029203996e-09
2012,1.0212758416727752e-09
2013,5.578250084070646e-10
2014,1.0827225782605865e-09
2015,1.994917786518613e-09
2016,4.764082017771898e-09
2017,1.2578056374223934e-09
2018,1.5488800242380307e-09
2019,2.5509878653906526e-09
