year,nos_DET heures_NOUN
1904,1.193166792035072e-07
1905,8.773290693930846e-08
1906,1.1214322293007228e-07
1907,1.0131401617652358e-07
1908,1.1787333864532457e-07
1909,1.7713166550192838e-07
1910,1.5391153584953798e-07
1911,1.4098991751865242e-07
1912,1.192957461704225e-07
1913,1.26211154860556e-07
1914,1.299168317370203e-07
1915,1.9791679739533663e-07
1916,1.6920692136324078e-07
1917,1.7107621774758996e-07
1918,1.401337943462977e-07
1919,2.2743385530432647e-07
1920,1.7264688123574956e-07
1921,1.363094488393557e-07
1922,1.8002163260089077e-07
1923,1.868406860339178e-07
1924,1.7790442086162983e-07
1925,1.6937193492161384e-07
1926,1.304098180554547e-07
1927,1.6946821956853597e-07
1928,1.0968999442084737e-07
1929,9.135133072213364e-08
1930,1.4600008846343826e-07
1931,1.66518211663913e-07
1932,9.753987262328678e-08
1933,1.1241248798476988e-07
1934,1.1262685184476595e-07
1935,1.5080037929493528e-07
1936,1.3337186643980203e-07
1937,1.0072894207624472e-07
1938,1.0761127722247465e-07
1939,1.39175861946228e-07
1940,1.7496902504632317e-07
1941,1.0035108788386538e-07
1942,1.2440268903901597e-07
1943,9.580676252340936e-08
1944,1.4780656520940738e-07
1945,1.6338780950420073e-07
1946,1.2389782444444108e-07
1947,1.609317532569321e-07
1948,1.5111923645783065e-07
1949,1.168224019743036e-07
1950,9.57182537675294e-08
1951,1.1087857654246136e-07
1952,7.803155188668143e-08
1953,1.1312518832795604e-07
1954,1.1727043425224792e-07
1955,1.0324168364661546e-07
1956,1.1250272446972076e-07
1957,8.7466875742237e-08
1958,7.775908850149449e-08
1959,9.920957211306813e-08
1960,9.896791652863612e-08
1961,1.0144312845294934e-07
1962,1.0464227884199317e-07
1963,9.569759029659508e-08
1964,1.0768623992518656e-07
1965,9.466635114696587e-08
1966,1.1022758505951913e-07
1967,7.642019894671392e-08
1968,1.3653904751276258e-07
1969,1.0627713620259271e-07
1970,8.875539095343221e-08
1971,8.581123889239706e-08
1972,9.798580280495628e-08
1973,7.112032968104032e-08
1974,6.863197166140367e-08
1975,6.739546787315476e-08
1976,6.684826692193724e-08
1977,7.110905775320475e-08
1978,7.900986354059114e-08
1979,8.602400669577293e-08
1980,7.618101705020308e-08
1981,7.970192528183873e-08
1982,6.455802636917696e-08
1983,8.020451192081168e-08
1984,6.726850010352337e-08
1985,7.820225400578806e-08
1986,9.051672877902206e-08
1987,6.599681939833957e-08
1988,7.075933394773415e-08
1989,8.067539936096324e-08
1990,7.573624682954971e-08
1991,6.506226296609796e-08
1992,8.595513023568202e-08
1993,7.810282243170263e-08
1994,7.226649406666397e-08
1995,6.235818528210757e-08
1996,6.138805885846921e-08
1997,7.432086279735017e-08
1998,8.201182311040611e-08
1999,7.586533937176121e-08
2000,8.482620650340778e-08
2001,5.914635869963547e-08
2002,7.710949689876401e-08
2003,6.625407245053339e-08
2004,8.281007382593408e-08
2005,7.836524107407428e-08
2006,1.0418261631173209e-07
2007,9.466916084388544e-08
2008,9.706962264544039e-08
2009,7.915199606856049e-08
2010,9.825489577508506e-08
2011,1.5984202378360735e-07
2012,1.1914884773256418e-07
2013,1.4168755019250412e-07
2014,1.4898262745699498e-07
2015,1.6003674865872064e-07
2016,1.8082799108087855e-07
2017,1.3433365086967797e-07
2018,1.930937157945678e-07
2019,1.823956257140935e-07
