year,soyons_VERB au_ADP
1891,2.422203548846369e-08
1892,3.0715710863660206e-08
1893,2.463366621796581e-08
1894,2.7096618282484997e-08
1895,2.9491210806753543e-08
1896,3.125425468430976e-08
1897,2.5637540090883704e-08
1898,2.546259736391221e-08
1899,2.7085134135518274e-08
1900,3.94520034419088e-08
1901,4.191554126009578e-08
1902,2.7006560987530293e-08
1903,3.510143198326432e-08
1904,3.9772228177525903e-08
1905,2.9416326707831786e-08
1906,3.240836132789582e-08
1907,2.262851062084792e-08
1908,3.094175093920626e-08
1909,3.905698431339033e-08
1910,3.206490450935462e-08
1911,3.2986320008809855e-08
1912,4.167536848953546e-08
1913,3.340883442115583e-08
1914,4.085013838306395e-08
1915,4.5944972160150144e-08
1916,8.460345513050527e-08
1917,2.8512702976435378e-08
1918,4.020231791912465e-08
1919,3.4989823594067104e-08
1920,5.906340660999376e-08
1921,4.240738565863822e-08
1922,5.754789533796156e-08
1923,4.564857603028827e-08
1924,4.2542360301212057e-08
1925,5.49908882874206e-08
1926,4.681378040771733e-08
1927,3.456259556333663e-08
1928,2.6279895593006586e-08
1929,4.3447585085232276e-08
1930,2.8359728787563654e-08
1931,3.079446297959976e-08
1932,3.178265661762936e-08
1933,2.867665482852999e-08
1934,2.516131836216573e-08
1935,2.5133395809007197e-08
1936,1.9399542861009422e-08
1937,2.392312437038413e-08
1938,2.852347158466273e-08
1939,3.364691192331293e-08
1940,4.564409383789325e-08
1941,1.7709015143196893e-08
1942,5.765002475399683e-08
1943,3.774205858952939e-08
1944,2.8918675454292497e-08
1945,3.485606381303796e-08
1946,3.062643116891195e-08
1947,5.722018192599876e-08
1948,4.783630513927051e-08
1949,3.730463127293859e-08
1950,4.9986199845974966e-08
1951,3.4116486968827076e-08
1952,2.9525450528922192e-08
1953,4.848222190378948e-08
1954,4.006739939832471e-08
1955,5.349796383669059e-08
1956,5.494319132992587e-08
1957,4.770920514207688e-08
1958,2.1507833403155985e-08
1959,3.2553141515734296e-08
1960,3.668041564930391e-08
1961,4.168895584300003e-08
1962,3.868593556610733e-08
1963,4.33225566531803e-08
1964,3.224503319909644e-08
1965,4.596516323118749e-08
1966,3.3788357667319247e-08
1967,4.338695491767908e-08
1968,4.266844899625255e-08
1969,3.905911805102136e-08
1970,3.311081897550139e-08
1971,3.494110334401057e-08
1972,3.1806909994713806e-08
1973,3.859242769799209e-08
1974,3.094064493502913e-08
1975,2.969969781219106e-08
1976,2.7424929660568864e-08
1977,3.5260689312810456e-08
1978,2.7326719331810523e-08
1979,3.3941445654050995e-08
1980,2.6720208379238386e-08
1981,2.4037088763861902e-08
1982,2.7933760637921523e-08
1983,3.662883218957802e-08
1984,3.7113654371978555e-08
1985,3.067934639666703e-08
1986,2.577628693822831e-08
1987,2.199894000298741e-08
1988,2.698449264038061e-08
1989,2.963585976623051e-08
1990,2.4518929775396714e-08
1991,3.868566977871524e-08
1992,2.8651709060856234e-08
1993,3.60048471037544e-08
1994,3.7979471789739705e-08
1995,3.687266580953974e-08
1996,3.149474459007706e-08
1997,3.260528147475128e-08
1998,2.1933394545037288e-08
1999,2.8335246871069586e-08
2000,2.6508188089024998e-08
2001,2.4534786202679015e-08
2002,3.5487892402485954e-08
2003,2.8335075841212642e-08
2004,3.6559766436461416e-08
2005,3.1976622683060896e-08
2006,3.788458718956278e-08
2007,4.553706611787334e-08
2008,3.320803121376059e-08
2009,3.5761444694415445e-08
2010,5.5740756899069765e-08
2011,5.2770813940838934e-08
2012,5.3787191145460156e-08
2013,6.080292491716932e-08
2014,6.431371968318444e-08
2015,6.162079291271993e-08
2016,6.731855428654399e-08
2017,5.307939865417666e-08
2018,5.885744136513438e-08
2019,6.020331144718227e-08
