year,es_VERB à_ADP
1917,6.031533672512523e-08
1918,8.729645628591243e-08
1919,8.287063479883727e-08
1920,1.0146790430098918e-07
1921,8.784387262039672e-08
1922,8.853522359686394e-08
1923,9.554353397334125e-08
1924,7.992807127266133e-08
1925,9.128487477028102e-08
1926,8.693987751939858e-08
1927,1.0257286930936971e-07
1928,9.255093402771308e-08
1929,9.803557787790851e-08
1930,8.612954616182833e-08
1931,9.124285327288817e-08
1932,8.110057336807586e-08
1933,8.602996359741155e-08
1934,8.866369682891673e-08
1935,8.976213194955562e-08
1936,6.062357016389797e-08
1937,9.443338910841703e-08
1938,9.983214965814113e-08
1939,7.647025057622159e-08
1940,7.100192078723921e-08
1941,5.60785480274717e-08
1942,7.282108072104165e-08
1943,7.258088174921795e-08
1944,7.711646787811333e-08
1945,1.3942425880486553e-07
1946,1.0023195073927127e-07
1947,1.0251949333905941e-07
1948,1.1850357850562432e-07
1949,8.14811684790584e-08
1950,1.2337019938968297e-07
1951,7.462980988748313e-08
1952,8.857634981040974e-08
1953,9.050015137290757e-08
1954,1.0652064474925282e-07
1955,6.945349895204345e-08
1956,9.942101542037562e-08
1957,1.0160293584249303e-07
1958,8.603133494489157e-08
1959,1.007597205671118e-07
1960,7.751333441774477e-08
1961,7.781938649031872e-08
1962,8.751899827075249e-08
1963,8.211887347897573e-08
1964,8.395875994438029e-08
1965,7.9344630421474e-08
1966,8.862519962349324e-08
1967,9.762064223650668e-08
1968,1.0105685532835196e-07
1969,7.811823365955206e-08
1970,8.691590380749403e-08
1971,7.861748230197918e-08
1972,6.463984902893571e-08
1973,8.545465846054867e-08
1974,7.256987544224103e-08
1975,9.138368284311582e-08
1976,7.82753204475739e-08
1977,6.934602225783237e-08
1978,7.306927329864266e-08
1979,7.841644134032322e-08
1980,8.016062480464825e-08
1981,7.337637697446553e-08
1982,8.442203380809588e-08
1983,8.462523481966855e-08
1984,8.292582265312376e-08
1985,6.978047650818553e-08
1986,6.593933932208529e-08
1987,9.655090593696514e-08
1988,6.776105720973646e-08
1989,7.902895760025785e-08
1990,8.172976606601878e-08
1991,6.330382262831336e-08
1992,6.116037809533736e-08
1993,8.807339924032931e-08
1994,7.490395859122145e-08
1995,6.181593903420435e-08
1996,6.779377059729086e-08
1997,1.3905193441132724e-07
1998,9.107127141305682e-08
1999,9.643124343483578e-08
2000,6.582867229099065e-08
2001,7.185187200775545e-08
2002,9.68249977972846e-08
2003,9.542253565086867e-08
2004,9.558397096043336e-08
2005,7.65637437893929e-08
2006,9.965293656932772e-08
2007,1.2063327403666335e-07
2008,1.3453509950522857e-07
2009,1.4829078054390266e-07
2010,1.9650978799745644e-07
2011,2.3976303964445833e-07
2012,2.597444961338624e-07
2013,2.791914255340089e-07
2014,3.064104987515748e-07
2015,3.1298043268179754e-07
2016,3.3286434586443647e-07
2017,3.763354641250771e-07
2018,4.303304876884795e-07
2019,3.913215209649934e-07
